year,player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
2014,Charles Woodson,330,S,16,OAK,1111,15,486,610,65.4,63.6,62,76.2,63.3,1,1,0,0,0,85,29,20,32,0,47,34,512,15.1,355,48,3,4,4,93.6,0,0
2014,John Abraham,591,ED,1,ARZ,37,20,14,3,54.7,66.7,69.9,47.9,60.4,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0,0,0
2014,Justin Smith,776,DI,16,SF,701,439,260,2,72.9,84.6,69.8,55.8,67,34,5,9,20,1,24,13,3,21,2,0,0,0,,0,,0,0,0,0,2,0
2014,Ryan Pickett,799,DI,13,HST,288,134,154,0,54.6,58.9,75.8,48.6,,1,0,0,1,2,13,1,2,13,0,0,0,0,,0,,0,0,0,0,0,0
2014,Julius Peppers,1010,ED,16,GB,812,470,303,39,79,56.5,35.5,79.1,83.9,50,8,11,31,3,23,8,10,24,3,4,2,12,6,11,7,0,2,1,16.7,3,1
2014,Dwight Freeney,1019,ED,16,SD,580,408,158,14,60.9,43.5,23.7,69.7,61.3,53,4,9,40,0,3,2,9,7,0,1,1,35,35,30,35,0,0,0,118.8,3,0
2014,Larry Foote,1126,LB,15,ARZ,995,197,346,452,46.3,59.8,42.8,49.7,42.7,19,2,4,13,0,64,16,18,37,0,60,49,550,11.2,379,39,3,1,1,114.6,3,0
2014,Brett Keisel,1204,DI,12,PIT,442,289,147,6,59.9,62,66.6,56,72.5,20,1,6,13,4,12,5,2,9,0,0,0,0,,0,,0,1,0,0,1,1
2014,Ryan Clark,1229,S,16,WAS,1018,26,401,591,42.9,35.2,45.7,33.8,50.3,5,1,0,4,0,77,19,24,22,0,26,17,139,8.2,69,16,1,1,2,75.6,2,0
2014,James Harrison,1251,ED,11,PIT,435,224,152,59,77.8,73.9,75.9,74.7,67.3,34,6,13,15,0,26,2,2,24,0,5,5,29,5.8,22,13,1,0,0,130.4,2,0
2014,Terence Newman,1321,CB,13,CIN,867,2,344,521,61.4,77.4,67,55.5,57.9,1,0,0,1,0,64,8,8,24,0,93,54,611,11.3,143,46,2,1,7,80.5,8,1
2014,Kevin Williams,1325,DI,16,SEA,442,210,223,9,63,63.7,53.1,58.6,57.7,13,2,1,10,2,19,9,4,15,0,1,0,0,,0,,0,0,0,39.6,0,0
2014,Terrell Suggs,1326,ED,16,BLT,854,512,287,55,74.9,82.1,74.7,69.2,70.5,57,14,11,32,1,27,13,4,34,0,5,3,19,6.3,17,9,0,0,1,67.9,9,1
2014,Troy Polamalu,1332,S,12,PIT,703,42,259,402,66.6,76.3,53.9,67.8,68.9,6,1,2,3,0,48,8,11,23,1,19,14,181,12.9,88,56,1,0,1,120.7,6,0
2014,Calvin Pace,1334,ED,16,NYJ,831,292,312,227,68.5,75.5,68.6,53.3,73.2,30,5,2,23,1,22,7,3,19,0,24,16,99,6.2,92,35,0,0,2,74.8,4,0
2014,Charles Tillman,1351,CB,2,CHI,97,1,45,51,67.4,46.5,83.2,68.5,68.6,1,0,1,0,0,10,0,0,4,0,9,7,66,9.4,9,22,0,0,1,97.2,0,0
2014,Rashean Mathis,1355,CB,16,DET,1032,2,338,692,78.1,66.1,64.5,58.3,78.9,0,0,0,0,0,44,5,8,14,1,89,54,555,10.3,238,49,3,1,4,85.2,8,2
2014,Osi Umenyiora,1371,ED,16,ATL,339,292,43,4,58.7,61.9,39.4,61.8,36.3,35,3,6,26,0,7,2,3,6,0,1,1,49,49,47,49,0,0,0,118.8,1,0
2014,Cory Redding,1381,DI,16,IND,748,438,306,4,58.2,60.2,62.8,57,75.2,37,4,11,22,1,23,9,5,24,0,1,0,0,,0,,0,0,0,39.6,5,1
2014,Lance Briggs,1383,LB,8,CHI,455,33,175,247,63,73.9,54.2,55.6,54.4,2,0,1,1,0,26,13,6,17,1,35,26,314,12.1,191,56,3,1,2,118,0,0
2014,Jarret Johnson,1421,ED,15,SD,547,137,290,120,66.8,69,73.7,50.2,70.6,9,1,0,8,1,35,12,4,20,1,14,7,86,12.3,96,37,0,0,0,69.3,1,0
2014,Ike Taylor,1437,CB,5,PIT,259,0,110,149,39.1,61.9,39,,39.8,0,0,0,0,0,15,1,4,4,0,26,20,321,16.1,116,81,4,0,2,157.2,3,2
2014,Chris Clemons,1585,ED,16,JAX,793,486,288,19,58.7,59.3,47.2,60.3,67.2,33,8,5,20,2,20,7,4,21,2,1,1,4,4,6,4,0,0,0,83.3,8,4
2014,Colin Cole,1589,DI,16,CAR,375,196,179,0,58.8,59.8,75.8,50,67.1,7,0,2,5,0,15,8,0,9,0,0,0,0,,0,,0,0,0,0,0,0
2014,Cullen Jenkins,1637,DI,12,NYG,363,238,122,3,64.5,50.8,52.3,70.3,60.5,18,1,5,12,1,10,5,4,8,0,0,0,0,,0,,0,0,0,0,1,0
2014,DeAngelo Hall,1729,CB,3,WAS,147,1,54,92,50.9,83.6,76.1,58.6,50.6,0,0,0,0,0,11,2,1,4,0,6,5,76,15.2,18,26,0,0,0,118.8,1,0
2014,D.J. Williams,1738,LB,12,CHI,413,9,210,194,50,63.5,74,58.9,41.6,3,0,0,3,0,38,11,7,21,0,24,19,217,11.4,131,46,1,0,0,118.2,1,0
2014,Vince Wilfork,1742,DI,16,NE,806,461,344,1,64.7,77.9,52.3,46.9,60.1,20,1,2,17,1,35,10,6,30,0,0,0,0,,0,,0,1,0,0,0,0
2014,Jason Babin,1748,ED,16,NYJ,462,274,135,53,72.8,79.8,80.9,65.5,71.3,37,3,7,27,0,18,5,1,15,0,3,2,18,9,10,13,0,0,1,82.6,6,1
2014,Karlos Dansby,1754,LB,12,CLV,824,58,337,429,86.5,73.5,74.9,59.4,90.1,8,3,0,5,0,71,18,8,44,0,34,26,249,9.6,202,30,2,1,2,103.7,0,0
2014,Daryl Smith,1760,LB,16,BLT,1048,68,381,599,78.1,75,84.1,81.7,72.2,14,1,4,9,1,93,16,7,51,2,55,39,375,9.6,239,33,1,1,4,88.1,3,0
2014,Dwan Edwards,1772,DI,16,CAR,582,400,177,5,57.4,62.8,66.9,53.6,57.4,27,4,11,12,1,22,12,3,20,0,0,0,0,,0,,0,1,0,0,1,0
2014,Randy Starks,1792,DI,15,MIA,540,257,274,9,66.3,56.3,52.2,67.9,67.2,20,5,0,15,0,16,8,3,15,0,2,1,6,6,8,6,0,0,1,56.3,0,0
2014,Shaun Phillips,1819,ED,16,IND,454,234,160,60,52.6,60.8,37.8,50.6,64,23,2,3,18,2,18,5,6,12,0,4,4,18,4.5,25,11,0,0,1,85.4,3,0
2014,Will Allen,1832,S,12,PIT,314,6,111,197,51.7,58.2,66.6,67.9,52.2,1,0,1,0,0,22,5,5,9,1,18,15,152,10.1,102,23,0,0,0,101.9,1,1
2014,Robert Geathers,1838,ED,16,CIN,591,400,165,26,47.7,67.9,69.9,40,60.7,22,1,5,16,2,13,6,2,9,0,2,2,16,8,14,10,0,1,0,60.4,1,0
2014,Jared Allen,1847,ED,15,CHI,893,544,341,8,74.2,68.7,68.5,66.5,68.9,58,6,20,32,5,39,11,4,38,2,1,0,0,,0,,0,0,0,39.6,2,1
2014,Antonio Smith,1856,DI,16,OAK,764,470,289,5,52.1,40.4,55.9,69,59.9,43,4,4,35,0,12,3,2,15,0,0,0,0,,0,,0,0,0,0,5,1
2014,Mike Adams,1972,S,16,IND,1021,26,401,594,86.8,72.3,76.5,70.4,89.2,4,0,2,2,0,76,12,10,14,2,36,25,298,11.9,153,39,2,5,4,73.4,1,1
2014,Tommy Kelly,2093,DI,16,ARZ,709,451,258,0,66.2,69.3,71.1,59.2,67.4,41,1,9,31,2,23,10,1,19,0,1,1,-2,-2,2,-2,0,0,0,79.2,3,0
2014,George Wilson,2210,S,16,TEN,821,55,339,427,48.1,31,75.1,33.5,64.6,2,1,0,1,0,60,14,6,29,0,28,15,99,6.6,67,19,2,1,2,70.4,2,0
2014,Adam Jones,2223,CB,16,CIN,778,1,241,536,69.6,54.9,35.2,60,70.6,1,0,0,1,0,56,0,10,14,0,80,49,523,10.7,206,80,2,3,3,73.1,7,2
2014,Antrel Rolle,2225,S,16,NYG,1056,11,429,616,47.7,36.7,52.4,56,56.9,1,0,1,0,0,70,9,17,25,1,47,30,428,14.3,244,74,2,3,4,80.8,6,0
2014,Carlos Rogers,2226,CB,7,OAK,467,9,231,227,59,66.4,57.3,44.9,57,1,0,1,0,0,32,4,7,19,1,39,33,305,9.2,187,32,2,0,1,116.3,2,0
2014,DeMarcus Ware,2228,ED,16,DEN,743,506,222,15,66.4,72.4,47.1,63.4,55.9,53,11,12,30,0,21,4,9,26,1,5,4,25,6.3,28,15,0,1,0,47.9,3,0
