player,player_id,position,player_game_count,team_name,run_snaps,tackles,assists,misses,stops,stop_percent
Nate Stupar,7214,LB,1,ATL,1,1,0,0,1,100.0
Jeremiah George,8789,LB,1,JAX,6,3,0,0,3,50.0
Adam Hayward,3798,LB,1,WAS,2,1,0,0,1,50.0
Chris Cook,5559,CB,2,SF,5,2,0,0,2,40.0
Elbert Mack,4624,CB,3,HST,3,2,0,0,1,33.3
Kenneth Boatright,8413,ED,1,DAL,3,1,0,0,1,33.3
Akeem Davis,9127,S,2,WAS,4,1,0,0,1,25.0
Josh Price-Brent,6072,DI,1,DAL,4,2,0,0,1,25.0
Derrick Johnson,2232,LB,1,KC,9,3,0,1,2,22.2
Ras-I Dowling,6185,S,2,OAK,9,2,0,0,2,22.2
Chris Borland,8712,LB,9,SF,202,55,8,6,43,21.3
Scott Crichton,8707,ED,2,MIN,5,1,0,1,1,20.0
Kevin Pierre-Louis,8767,LB,3,SEA,17,4,1,2,3,17.6
Stephen Tulloch,3061,LB,3,DET,51,11,1,3,9,17.6
Justin Bethel,7654,CB,3,ARZ,6,1,0,0,1,16.7
Mohammed Seisay,9083,CB,2,DET,6,1,0,0,1,16.7
Keith Smith,9302,LB,4,DAL,6,1,0,1,1,16.7
Demarcus Dobbs,6655,DI,9,SEA,43,9,2,0,7,16.3
Darryl Sharpton,5626,LB,3,CHI,31,10,0,0,5,16.1
Danny Trevathan,7177,LB,3,DEN,31,7,0,0,5,16.1
Corey Nelson,8876,LB,4,DEN,25,4,4,0,4,16.0
Ryan Carrethers,8800,DI,6,SD,38,9,3,1,6,15.8
Justin Durant,3664,LB,6,DAL,123,21,7,4,19,15.4
Rolando McClain,5533,LB,13,DAL,244,46,3,5,37,15.2
Marcus Benard,5359,ED,5,ARZ,7,2,1,0,1,14.3
Lawrence Sidbury,5049,ED,1,TB,7,1,0,0,1,14.3
Malik Jackson,7647,ED,16,DEN,149,26,0,0,21,14.1
DeAndre Levy,4999,LB,16,DET,333,61,19,7,47,14.1
Will Clarke,8723,ED,6,CIN,22,3,0,0,3,13.6
Darius Fleming,7157,ED,2,NE,22,4,1,0,3,13.6
Kelvin Sheppard,6220,LB,6,MIA,52,10,0,0,7,13.5
Lavonte David,7060,LB,14,TB,366,69,9,10,49,13.4
Nate Irving,6219,LB,8,DEN,116,22,9,6,15,12.9
Chris Prosinski,6273,S,3,PHI,8,1,1,0,1,12.5
Jamar Chaney,5743,LB,2,OAK,8,2,0,0,1,12.5
Sean Richardson,7456,S,9,GB,48,9,0,0,6,12.5
Frank Alexander,7103,ED,1,CAR,8,1,0,0,1,12.5
Damon Harrison Sr.,7355,DI,16,NYJ,248,39,9,2,31,12.5
LaRoy Reynolds,8500,LB,7,JAX,64,9,1,2,8,12.5
Anthony Hitchens,8754,LB,13,DAL,226,41,9,5,28,12.4
Kerry Wynn,8938,ED,5,NYG,49,7,0,0,6,12.2
Calais Campbell,4364,DI,14,ARZ,273,39,10,1,33,12.1
Denico Autry,8982,ED,10,OAK,58,11,0,0,7,12.1
Sealver Siliga,6483,DI,7,NE,116,16,5,1,14,12.1
Ezekiel Ansah,8094,ED,16,DET,183,26,9,6,22,12.0
Luke Kuechly,7015,LB,16,CAR,349,56,22,7,42,12.0
Sio Moore,7847,LB,11,OAK,292,45,15,8,35,12.0
Brandon Marshall,7648,LB,14,DEN,253,45,16,2,30,11.9
Muhammad Wilkerson,6182,DI,13,NYJ,263,32,10,5,31,11.8
D'Qwell Jackson,2979,LB,16,IND,380,72,18,8,45,11.8
Bobby Wagner,7050,LB,11,SEA,228,35,14,3,27,11.8
Ian Williams,6472,DI,9,SF,111,15,4,1,13,11.7
