year,player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
2014,Micheal Spurlock,3517,WR,1,CHI,9,3,33.3,1,11.1,1,100,1,0,8,8,0,0,100
2014,Branden Oliver,9286,HB,14,SD,158,43,27.2,8,5.1,3,37.5,3,0,13,1.63,0,0,100
2014,Cameron Brate,9207,TE,2,TB,14,1,7.1,5,35.7,1,20,1,0,17,3.4,0,0,100
2014,Damien Williams,9205,HB,12,MIA,89,25,28.1,14,15.7,5,35.7,5,0,30,2.14,0,0,100
2014,Juwan Thompson,8955,HB,12,DEN,42,6,14.3,2,4.8,1,50,1,0,6,3,0,0,100
2014,Jeff Janis,8870,WR,3,GB,9,2,22.2,2,22.2,1,50,1,0,7,3.5,0,0,100
2014,Kevin Norwood,8758,WR,9,SEA,75,10,13.3,45,60,7,15.6,7,0,61,1.36,0,0,100
2014,Jalen Saunders,8739,WR,2,NO,2,1,50,2,100,1,50,1,0,7,3.5,0,0,100
2014,Devonta Freeman,8738,HB,16,ATL,125,34,27.2,2,1.6,1,50,1,0,13,6.5,0,0,100
2014,Crockett Gillmore,8734,TE,14,BLT,109,13,11.9,9,8.3,1,11.1,1,0,11,1.22,0,0,100
2014,Cody Latimer,8691,WR,4,DEN,15,4,26.7,3,20,2,66.7,2,0,23,7.67,0,0,100
2014,Davante Adams,8688,WR,16,GB,465,62,13.3,35,7.5,3,8.6,3,0,29,0.83,0,0,100
2014,Paul Richardson Jr.,8680,WR,15,SEA,300,39,13,28,9.3,3,10.7,3,0,17,0.61,1,0,100
2014,Marshawn Lynch,3628,HB,16,SEA,300,43,14.3,10,3.3,1,10,1,0,7,0.7,0,0,100
2014,Zach Sudfeld,8313,TE,16,NYJ,54,6,11.1,26,48.1,2,7.7,2,0,35,1.35,0,0,100
2014,Zach Miller,3654,TE,3,SEA,69,7,10.1,22,31.9,3,13.6,3,0,26,1.18,0,0,100
2014,Dante Rosario,3771,TE,16,CHI,152,19,12.5,31,20.4,3,9.7,3,0,23,0.74,0,0,100
2014,C.J. Anderson,8101,HB,15,DEN,220,41,18.6,8,3.6,1,12.5,1,0,5,0.63,0,0,100
2014,Ahmad Bradshaw,3866,HB,10,IND,177,45,25.4,9,5.1,2,22.2,2,0,22,2.44,0,0,100
2014,Pierre Thomas,4080,HB,11,NO,206,50,24.3,3,1.5,1,33.3,1,0,12,4,0,0,100
2014,Eric Weems,4097,WR,15,ATL,110,11,10,63,57.3,6,9.5,6,0,49,0.78,2,0,100
2014,Jonathan Stewart,4327,HB,13,CAR,220,29,13.2,9,4.1,1,11.1,1,0,1,0.11,0,0,100
2014,Craig Stevens,4399,TE,5,TEN,19,2,10.5,7,36.8,2,28.6,2,0,26,3.71,0,0,100
2014,Ace Sanders,7883,WR,11,JAX,43,7,16.3,33,76.7,3,9.1,3,0,33,1,0,0,100
2014,Tyler Eifert,7802,TE,1,CIN,6,3,50,2,33.3,1,50,1,0,3,1.5,0,0,100
2014,Brandon Tate,5006,WR,15,CIN,269,27,10,21,7.8,3,14.3,3,0,16,0.76,0,0,100
2014,Jonathan Grimes,7585,HB,9,HST,91,7,7.7,8,8.8,1,12.5,1,0,8,1,0,0,100
