player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr,year
Valentino Blake,7362,CB,1,PIT,1,1,25,1,25,2014
Russell Wilson,7077,QB,1,SEA,1,1,17,1,17,2014
Brian Leonard,3668,HB,1,NO,1,1,15,1,15,2014
Damian Williams,5601,WR,1,SL,1,1,14,1,14,2014
Karl Klug,6294,DI,1,TEN,1,1,9,1,9,2014
Tyler Eifert,7802,TE,1,CIN,3,3,37,6,6.17,2014
Andy Dalton,6187,QB,3,CIN,1,1,18,3,6,2014
Garrett Celek,7274,TE,3,SF,2,2,53,9,5.89,2014
Joe McKnight,5636,HB,1,KC,7,6,64,11,5.82,2014
Silas Redd,8900,HB,6,WAS,9,8,107,24,4.46,2014
Antone Smith,5440,HB,10,ATL,15,13,222,50,4.44,2014
Derrick Coleman,7377,FB,4,SEA,2,2,29,8,3.63,2014
Jalen Saunders,8739,WR,2,NO,1,1,7,2,3.5,2014
Robert Hughes,6564,HB,11,ARZ,12,8,140,40,3.5,2014
Zurlon Tipton,9164,HB,2,IND,6,6,68,21,3.24,2014
Donald Penn,3459,T,1,OAK,1,1,3,1,3,2014
Isa Abdul-Quddus,6722,S,1,DET,1,1,3,1,3,2014
A.J. Green,6156,WR,13,CIN,109,69,1041,352,2.96,2014
Bryce Brown,7213,HB,7,BUF,22,16,176,60,2.93,2014
Phillip Supernaw,7324,TE,4,BLT,2,2,32,11,2.91,2014
Rex Burkhead,7971,HB,5,CIN,8,7,49,17,2.88,2014
Dwayne Harris,6328,WR,16,DAL,11,7,116,41,2.83,2014
Lorenzo Taliaferro,8773,HB,10,BLT,10,8,114,41,2.78,2014
Demaryius Thomas,5547,WR,16,DEN,178,111,1619,583,2.78,2014
Martavis Bryant,8753,WR,10,PIT,48,26,549,199,2.76,2014
Odell Beckham Jr.,8647,WR,12,NYG,129,91,1305,474,2.75,2014
Antonio Andrews,9014,HB,2,TEN,2,2,11,4,2.75,2014
Julio Jones,6158,WR,15,ATL,156,104,1593,585,2.72,2014
Dez Bryant,5549,WR,16,DAL,135,88,1320,492,2.68,2014
Antonio Brown,5718,WR,16,PIT,178,129,1698,636,2.67,2014
Jordy Nelson,4350,WR,16,GB,146,98,1519,570,2.66,2014
Ricardo Lockette,6622,WR,15,SEA,14,11,195,74,2.64,2014
Trey Watts,8950,HB,5,SL,4,3,18,7,2.57,2014
Michael Campanaro,8852,WR,4,BLT,9,7,102,40,2.55,2014
Rob Gronkowski,5567,TE,15,NE,124,82,1124,444,2.53,2014
Lance Dunbar,7332,HB,16,DAL,19,17,205,82,2.5,2014
Theo Riddick,7980,HB,12,DET,46,34,316,129,2.45,2014
Emmanuel Sanders,5606,WR,16,DEN,140,101,1409,574,2.45,2014
DeSean Jackson,4363,WR,15,WAS,87,56,1169,479,2.44,2014
Orleans Darkwa,9173,HB,4,NYG,5,5,48,20,2.4,2014
Adrien Robinson,7127,TE,9,NYG,7,5,50,21,2.38,2014
T.Y. Hilton,7092,WR,15,IND,123,82,1346,570,2.36,2014
Calvin Johnson,3618,WR,13,DET,124,71,1077,469,2.3,2014
Josh Hill,8200,TE,16,NO,18,14,176,77,2.29,2014
DeAndre Hopkins,7808,WR,16,HST,120,76,1210,534,2.27,2014
Travis Kelce,7844,TE,16,KC,80,67,862,379,2.27,2014
Randall Cobb,6216,WR,16,GB,125,91,1287,574,2.24,2014
Josh Gordon,7618,WR,5,CLV,44,24,303,137,2.21,2014
MarQueis Gray,8286,TE,10,BUF,10,9,134,61,2.2,2014
Steve Smith,837,WR,16,BLT,130,79,1068,493,2.17,2014
