player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent,year
DeMarco Murray,6223,HB,16,DAL,392,1845,27,619,33.6,2014
LeSean McCoy,4976,HB,16,PHI,309,1315,18,425,32.3,2014
Le'Veon Bell,7829,HB,16,PIT,290,1361,15,411,30.2,2014
Marshawn Lynch,3628,HB,16,SEA,280,1310,14,346,26.4,2014
Matt Forte,4358,HB,16,CHI,265,1037,8,152,14.7,2014
Alfred Morris,7165,HB,16,WAS,265,1078,14,303,28.1,2014
Arian Foster,5398,HB,13,HST,260,1246,16,445,35.7,2014
Frank Gore,2282,HB,16,SF,255,1103,12,259,23.5,2014
Eddie Lacy,7842,HB,16,GB,245,1140,18,385,33.8,2014
Justin Forsett,4547,HB,16,BLT,234,1270,18,529,41.7,2014
Mark Ingram II,6180,HB,13,NO,226,964,12,246,25.5,2014
Joique Bell,5797,HB,15,DET,223,860,10,236,27.4,2014
Jeremy Hill,8690,HB,16,CIN,222,1124,11,367,32.7,2014
Lamar Miller,7097,HB,16,MIA,216,1101,11,319,29,2014
Andre Williams,8748,HB,16,NYG,216,720,6,175,24.3,2014
Jamaal Charles,4387,HB,15,KC,205,1039,12,338,32.5,2014
Andre Ellington,7968,HB,12,ARZ,201,663,10,183,27.6,2014
Chris Ivory,6007,HB,16,NYJ,198,820,8,184,22.4,2014
Steven Jackson,1745,HB,15,ATL,190,707,3,99,14,2014
Tre Mason,8710,HB,12,SL,179,772,11,288,37.3,2014
C.J. Anderson,8101,HB,14,DEN,179,849,12,246,29,2014
Jonathan Stewart,4327,HB,13,CAR,175,800,11,263,32.9,2014
Terrance West,8729,HB,14,CLV,171,673,6,140,20.8,2014
Alfred Blue,8816,HB,16,HST,168,523,3,84,16.1,2014
Giovani Bernard,7818,HB,13,CIN,168,680,5,162,23.8,2014
Rashad Jennings,5174,HB,11,NYG,167,639,7,114,17.8,2014
Matt Asiata,6432,HB,15,MIN,164,570,2,35,6.1,2014
Branden Oliver,9286,HB,14,SD,159,581,5,130,22.4,2014
Trent Richardson,7009,HB,15,IND,158,515,3,57,11.1,2014
Chris Johnson,4338,HB,16,NYJ,155,663,7,186,28.1,2014
Darren McFadden,4318,HB,16,OAK,154,530,4,72,13.6,2014
Bishop Sankey,8689,HB,16,TEN,152,575,2,40,7,2014
Isaiah Crowell,9295,HB,15,CLV,148,607,10,215,35.4,2014
Fred Jackson,3368,HB,14,BUF,141,525,2,55,10.5,2014
Denard Robinson,7917,HB,12,JAX,135,582,8,197,33.8,2014
Knile Davis,7878,HB,15,KC,134,463,8,176,38,2014
Doug Martin,7035,HB,11,TB,134,503,4,143,28.4,2014
