year,player,player_id,position,player_game_count,team_name,grades_kickoff_kicker,attempts,average_distance,average_starting_field_position,onside_kicks,percent_returned,kicks_returned,return_yards,average_yards_per_return,touchbacks,fair_catches,attempts_with_hangtime,average_hangtime
2014,Phil Dawson,422,K,16,SF,41.5,73,68.2,21.5,1,56.2,41,912,22.2,32,0,69,4.06
2014,Sebastian Janikowski,595,K,16,OAK,68.1,61,66,26.1,6,47.5,29,683,23.6,34,0,52,3.99
2014,Shane Lechler,673,P,1,HST,60,1,67,38,0,100,1,25,25,0,0,1,4.17
2014,Shayne Graham,730,K,2,NO,60,2,10,55,2,100,2,0,0,0,0,0,
2014,Jay Feely,955,K,4,CHI,42.3,14,42.3,35,3,71.4,10,90,9,3,0,7,3.2
2014,Billy Cundiff,1230,K,13,CLV,81.2,63,72,20.1,0,38.1,24,544,22.7,39,0,58,4.01
2014,Josh Brown,1520,K,16,NYG,49,82,65.8,21.6,1,42.7,35,587,16.8,46,0,75,3.87
2014,Josh Scobee,1858,K,16,JAX,67.4,63,66.4,23.4,4,36.5,23,475,20.7,37,0,53,3.94
2014,Mike Nugent,2264,K,16,CIN,54.3,81,69.1,22.1,1,54.3,44,1123,25.5,37,0,78,3.87
2014,Dustin Colquitt,2316,P,1,KC,60,1,70,24,0,100,1,15,15,0,0,1,4.82
2014,Robbie Gould,2607,K,12,CHI,50.8,53,63.9,22.4,2,54.7,29,523,18,21,1,48,3.98
2014,Michael Koenen,2682,P,16,TB,56.9,69,68.3,23.7,0,53.6,37,877,23.7,31,0,62,3.85
2014,Nick Novak,2726,K,16,SD,20.6,78,62.5,25,0,87.2,68,1472,21.6,10,0,61,3.81
2014,Shaun Suisham,2796,K,16,PIT,38.1,89,65.3,24,3,61.8,55,1245,22.6,32,1,73,3.95
2014,Stephen Gostkowski,3063,K,16,NE,51.3,99,69.1,21.6,0,45.5,45,955,21.2,53,0,80,4.14
2014,Jon Ryan,3493,P,1,SEA,60,1,79,23,0,100,1,22,22,0,0,1,5.27
2014,Nick Folk,3794,K,15,NYJ,40.7,69,65,22,1,68.1,47,990,21.1,21,1,59,4.01
2014,Mason Crosby,3809,K,16,GB,46.9,102,65.2,24.9,4,57.8,59,1380,23.4,41,0,85,3.84
2014,Brett Kern,4580,P,2,TEN,60,2,59.5,36.5,0,100,2,32,16,0,0,2,4.42
2014,Stephen Hauschka,4655,K,16,SEA,72.5,88,69.6,21.7,0,47.7,42,1013,24.1,46,0,76,3.92
2014,Connor Barth,4777,K,1,DEN,49.7,8,57,32.9,0,100,8,199,24.9,0,0,7,3.73
2014,Garrett Hartley,4900,K,1,CLV,60,2,61.5,33,0,100,2,44,22,0,0,2,3.72
2014,Thomas Morstead,5088,P,16,NO,69.8,79,71,21.5,0,49.4,39,1029,26.4,40,0,74,4.04
2014,Pat McAfee,5146,P,16,IND,91.8,99,70.4,21.3,0,26.3,26,587,22.6,70,0,99,3.98
2014,Ryan Succop,5180,K,16,TEN,62.6,63,67.6,24.6,3,50.8,32,823,25.7,31,0,58,4
2014,Graham Gano,5443,K,16,CAR,89.2,79,72.6,21.9,1,22.8,18,592,32.9,61,0,69,4.07
2014,Tim Masthay,5510,P,2,GB,60,2,59.5,46,0,100,2,41,20.5,0,0,2,3.94
2014,Matt Bosher,6344,P,16,ATL,63.9,83,67.5,23.8,3,44.6,37,820,22.2,46,0,68,4.08
2014,Spencer Lanning,6566,P,3,CLV,60,6,65,20.8,0,83.3,5,107,21.4,1,0,6,3.84
2014,Dan Bailey,6796,K,16,DAL,71.1,98,67.4,21.5,1,44.9,44,896,20.4,52,0,91,3.99
2014,Chris Jones,6798,P,1,DAL,60,1,57,39,0,100,1,16,16,0,0,1,4.39
2014,Kai Forbath,6860,K,13,WAS,29.6,54,63.8,24.7,2,68.5,37,787,21.3,18,0,46,3.77
2014,Bryan Anger,7072,P,2,JAX,60,2,68,32.5,0,100,2,41,20.5,0,0,2,4.47
2014,Randy Bullock,7154,K,16,HST,64.4,86,69.4,21.8,2,55.8,48,1144,23.8,41,0,82,4
2014,Greg Zuerlein,7163,K,16,SL,69.9,72,70.8,21.8,0,48.6,35,849,24.3,37,0,62,3.92
2014,Blair Walsh,7167,K,16,MIN,61.7,76,68.2,21.9,1,38.2,29,574,19.8,48,0,69,4.11
