year,player,player_id,position,player_game_count,team_name,grades_punter,attempts,yards,average_yards_per_attempt,average_net_yards,long,inside_twenties,blocks,percent_returned,returns,return_yards,average_yards_per_return,touchbacks,out_of_bounds,downeds,fair_catches,attempts_with_hangtime,average_hangtime
2014,Shane Lechler,673,P,16,HST,63.6,83,3822,46.05,38.78,71,42,0,38.6,32,403,12.6,10,4,12,25,83,4.31
2014,Dave Zastudil,1113,P,1,ARZ,47.5,11,467,42.45,36.27,53,3,0,54.5,6,48,8,1,2,0,2,11,4.03
2014,Mike Scifres,1458,P,13,SD,74.3,55,2514,45.71,39.51,72,27,0,38.2,21,221,10.5,6,7,9,12,55,4.58
2014,Mat McBriar,1659,P,3,SD,56.9,13,610,46.92,35.38,58,2,0,76.9,10,130,13,1,1,0,1,13,4.15
2014,Ben Roethlisberger,1732,QB,1,PIT,60,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0
2014,Andy Lee,1906,P,16,SF,75.4,72,3370,46.81,40.19,71,36,0,48.6,35,336,9.6,7,3,3,22,72,4.49
2014,Donnie Jones,1939,P,16,PHI,60.1,76,3331,43.83,38.86,68,42,0,38.2,29,238,8.2,7,5,13,22,76,4.29
2014,Dustin Colquitt,2316,P,16,KC,71.8,71,3158,44.48,40.44,69,38,0,39.4,28,187,6.7,5,2,13,20,71,4.41
2014,Michael Koenen,2682,P,16,TB,51.1,79,3154,39.92,37.04,56,21,0,40.5,32,188,5.9,2,6,14,26,79,4.33
2014,Nick Novak,2726,K,1,SD,52.6,6,240,40,36.67,51,1,0,66.7,4,20,5,0,0,0,2,6,4.33
2014,Sam Koch,3148,P,16,BLT,69.6,60,2820,47,42.9,73,33,0,38.3,23,166,7.2,4,11,7,14,60,4.22
2014,Jon Ryan,3493,P,16,SEA,80.1,61,2687,44.05,38.72,66,34,0,26.2,16,205,12.8,6,7,9,22,61,4.53
2014,Steve Weatherford,3552,P,16,NYG,61.8,80,3640,45.5,39.08,71,32,0,46.3,37,394,10.6,6,5,15,17,80,4.12
2014,Brandon Fields,3841,P,16,MIA,61.2,58,2686,46.31,38.97,60,26,0,62.1,36,366,10.2,3,5,3,11,58,4.1
2014,Brett Kern,4580,P,16,TEN,73.2,88,4118,46.8,41.23,79,38,0,48.9,43,350,8.1,7,7,6,25,88,4.38
2014,Kevin Huber,5066,P,16,CIN,65.1,73,3409,46.7,41.96,69,35,0,41.1,30,226,7.5,6,8,14,15,73,4.31
2014,Thomas Morstead,5088,P,15,NO,85,58,2680,46.21,42.81,63,26,0,41.4,24,97,4,5,5,10,12,58,4.58
2014,Pat McAfee,5146,P,16,IND,92.5,68,3169,46.6,42.71,61,32,0,48.5,33,205,6.2,3,7,5,19,68,4.54
2014,Britton Colquitt,5192,P,16,DEN,60.5,69,3021,43.78,37.25,65,30,0,43.5,30,371,12.4,4,6,7,20,69,4.45
2014,Tim Masthay,5510,P,14,GB,48.5,49,2137,43.61,38.39,63,18,0,44.9,22,196,8.9,3,4,10,10,49,4.23
2014,Matt Bosher,6344,P,16,ATL,87,67,3060,45.67,40.75,66,31,0,37.3,25,250,10,4,5,3,29,67,4.76
2014,Spencer Lanning,6566,P,16,CLV,54.8,93,4134,44.45,39.18,63,36,0,45.2,42,310,7.4,9,4,11,26,93,4.34
2014,Chris Jones,6798,P,16,DAL,73,57,2579,45.25,40.33,62,25,0,42.1,24,240,10,2,9,4,15,57,4.5
2014,Bryan Anger,7072,P,16,JAX,70,94,4444,47.28,39.29,69,37,0,54.3,51,551,10.8,10,7,5,20,94,4.48
2014,Brad Nortman,7192,P,16,CAR,66.5,72,3203,44.49,37.06,72,32,0,38.9,28,435,15.5,5,5,14,20,72,4.47
2014,Johnny Hekker,7252,P,16,SL,92.1,80,3721,46.51,42.86,61,40,0,33.8,27,192,7.1,5,10,10,28,80,4.59
2014,Drew Butler,7302,P,15,ARZ,63.8,79,3328,42.13,38,67,40,0,31.6,25,226,9,5,5,8,36,79,4.57
2014,Marquette King,7410,P,16,OAK,64.8,109,4923,45.17,39.88,62,35,0,42.2,46,516,11.2,3,5,21,33,109,4.5
2014,Ryan Quigley,7573,P,16,NYJ,72.8,78,3584,45.95,40.44,69,34,0,30.8,24,250,10.4,9,10,9,24,78,4.45
2014,Jeff Locke,7937,P,16,MIN,53.3,75,3312,44.16,39.08,62,32,0,52,39,261,6.7,6,1,10,20,75,4.35
2014,Sam Martin,7947,P,16,DET,90.7,68,3096,45.53,39.38,71,34,0,47.1,32,318,9.9,5,2,9,22,68,4.69
2014,Colton Schmidt,8104,P,16,BUF,63.3,86,3688,42.88,38.63,67,40,0,43,37,246,6.6,6,11,11,20,86,4.42
2014,Ryan Allen,8242,P,16,NE,57.5,66,3062,46.39,40.5,67,32,0,45.5,30,269,9,6,5,10,15,66,4.27
2014,Brad Wing,8256,P,16,PIT,54.8,61,2663,43.66,38.57,74,27,0,44.3,27,230,8.5,4,3,9,18,61,4.33
2014,Tress Way,8358,P,16,WAS,75.3,76,3610,47.5,40.29,77,29,0,51.3,39,408,10.5,7,6,12,11,76,4.57
2014,Pat O'Donnell,8826,P,15,CHI,71.9,71,3113,43.85,38.25,63,26,0,43.7,31,337,10.9,3,8,8,21,71,4.44
