year,player,player_id,position,player_game_count,team_name,grades_return,total_attempts,grades_kick_return,kickoff_attempts,kickoff_yards,kickoff_long,kickoff_ypa,kickoff_touchdowns,kickoff_fair_catches,kickoff_muffed_returns,grades_punt_return,punt_attempts,punt_yards,punt_long,punt_ypa,punt_touchdowns,punt_fair_catches,punt_muffed_returns
2014,Charles Woodson,330,S,16,OAK,61.8,4,59.9,1,0,0,0,0,0,0,62.7,3,28,23,9.3,0,0,0
2014,Andre Johnson,1319,WR,15,HST,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Anquan Boldin,1369,WR,16,SF,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Jason Witten,1384,TE,16,DAL,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Kassim Osgood,1676,WR,13,SF,,1,,0,0,0,,0,0,0,,1,2,2,2,0,0,0
2014,Larry Fitzgerald,1724,WR,14,ARZ,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,DeAngelo Hall,1729,CB,3,WAS,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Benjamin Watson,1753,TE,16,NO,,2,,2,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Jerricho Cotchery,1829,WR,15,CAR,,1,,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2014,Wes Welker,2204,WR,14,DEN,60.2,11,,0,0,0,,0,0,0,60.2,11,74,19,6.7,0,3,0
2014,Adam Jones,2223,CB,16,CIN,91,49,91.4,27,844,97,31.3,0,0,0,69.6,22,262,47,11.9,0,1,0
2014,Darren Sproles,2347,HB,15,PHI,79.4,40,57.4,1,15,15,15,0,0,0,87.5,39,506,82,13,2,16,0
2014,Joshua Cribbs,2544,WR,6,IND,67.9,38,73,20,608,76,30.4,0,0,0,56.6,18,225,82,12.5,0,8,0
