player,player_id,position,player_game_count,team_name,pass_snaps,attempts,pass_block_percentage,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
Arie Kouandjio,9545,G,1,WAS,1,1,100.0,0,0,0,0,100.0
Will Johnson,7639,FB,11,PIT,34,7,20.6,0,0,0,0,100.0
Brandon Bolden,7469,HB,12,NE,112,15,13.4,0,0,0,0,100.0
Larry Donnell,7638,TE,8,NYG,222,16,7.2,0,0,0,0,100.0
Donteea Dye Jr.,10074,WR,9,TB,248,1,0.4,0,0,0,0,100.0
Jerricho Cotchery,1829,WR,14,CAR,247,1,0.4,0,0,0,0,100.0
Domata Peko Sr.,3068,DI,1,CIN,1,1,100.0,0,0,0,0,100.0
Delanie Walker,3120,TE,15,TEN,489,11,2.2,0,0,0,0,100.0
Akeem Hunt,9839,HB,7,HST,24,1,4.2,0,0,0,0,100.0
Marques Colston,3197,WR,13,NO,387,2,0.5,0,0,0,0,100.0
Daniel Fells,3309,TE,2,NYG,28,4,14.3,0,0,0,0,100.0
Zach Zenner,9761,HB,3,DET,22,5,22.7,0,0,0,0,100.0
Geoff Swaim,9679,TE,2,DAL,5,1,20.0,0,0,0,0,100.0
Joey Iosefa,9664,HB,1,NE,2,1,50.0,0,0,0,0,100.0
Bryce Hager,9657,LB,4,SL,4,4,100.0,0,0,0,0,100.0
Matt Spaeth,3693,TE,13,PIT,82,36,43.9,0,0,0,0,100.0
Aaron Ripkowski,9639,FB,5,GB,5,1,20.0,0,0,0,0,100.0
Nick O'Leary,9627,TE,4,BUF,21,1,4.8,0,0,0,0,100.0
Cameron Artis-Payne,9607,HB,5,CAR,46,16,34.8,0,0,0,0,100.0
Scott Chandler,3745,TE,14,NE,232,12,5.2,0,0,0,0,100.0
James O'Shaughnessy,9606,TE,7,KC,75,5,6.7,0,0,0,0,100.0
Jay Ajayi,9582,HB,9,MIA,92,16,17.4,0,0,0,0,100.0
Jake Long,4315,T,1,ATL,8,8,100.0,0,0,0,0,100.0
MyCole Pruitt,9576,TE,16,MIN,77,9,11.7,0,0,0,0,100.0
Rashad Greene Sr.,9572,WR,9,JAX,126,1,0.8,0,0,0,0,100.0
Harry Douglas,4398,WR,14,TEN,432,3,0.7,0,0,0,0,100.0
Jaelen Strong,9503,WR,10,HST,164,2,1.2,0,0,0,0,100.0
Dorial Green-Beckham,9473,WR,16,TEN,403,1,0.2,0,0,0,0,100.0
Cedric Ogbuehi,9454,T,4,CIN,21,20,95.2,0,0,0,0,100.0
Steve Johnson,4538,WR,10,SD,373,1,0.3,0,0,0,0,100.0
Amari Cooper,9437,WR,16,OAK,581,1,0.2,0,0,0,0,100.0
Jerome Cunningham,9400,TE,9,NYG,96,8,8.3,0,0,0,0,100.0
Glenn Winston,9375,HB,1,CLV,7,2,28.6,0,0,0,0,100.0
Jarrod Pughsley,9333,T,1,KC,1,1,100.0,0,0,0,0,100.0
Erik Swoope,9303,TE,1,IND,2,1,50.0,0,0,0,0,100.0
James Ferentz,9258,C,3,DEN,3,3,100.0,0,0,0,0,100.0
Brian De La Puente,4679,C,1,WAS,3,3,100.0,0,0,0,0,100.0
Justin Perillo,9248,TE,9,GB,68,2,2.9,0,0,0,0,100.0
Ryan Groy,9221,G,2,BUF,5,5,100.0,0,0,0,0,100.0
Damien Williams,9205,HB,16,MIA,125,9,7.2,0,0,0,0,100.0
Trey Burton,9185,TE,6,PHI,30,3,10.0,0,0,0,0,100.0
Doug Legursky,4860,C,1,PIT,1,1,100.0,0,0,0,0,100.0
Orleans Darkwa,9173,HB,8,NYG,39,8,20.5,0,0,0,0,100.0
Brandon Pettigrew,4943,TE,8,DET,146,47,32.2,0,0,0,0,100.0
Jeremy Butler,9080,WR,8,BLT,262,1,0.4,0,0,0,0,100.0
Donald Brown,4950,HB,6,SD,51,6,11.8,0,0,0,0,100.0
Willie Snead IV,8999,WR,15,NO,510,1,0.2,0,0,0,0,100.0
Nikita Whitlock,8994,FB,13,NYG,26,3,11.5,0,0,0,0,100.0
Zac Kerin,8960,C,1,MIN,1,1,100.0,0,0,0,0,100.0
Scott Simonson,8954,TE,4,CAR,6,2,33.3,0,0,0,0,100.0
Chase Coffman,5021,TE,2,SEA,46,1,2.2,0,0,0,0,100.0
James Casey,5076,TE,3,DEN,7,1,14.3,0,0,0,0,100.0
Brian Parker,10135,TE,9,KC,26,3,11.5,0,0,0,0,100.0
Allen Hurns,8931,WR,15,JAX,577,2,0.3,0,0,0,0,100.0
Brent Qvale,8921,T,3,NYJ,6,6,100.0,0,0,0,0,100.0
Bennie Fowler,8914,WR,14,DEN,154,1,0.6,0,0,0,0,100.0
Jeff Janis,8870,WR,10,GB,68,1,1.5,0,0,0,0,100.0
John Phillips,5132,TE,12,SD,96,16,16.7,0,0,0,0,100.0
Julian Edelman,5156,WR,9,NE,345,3,0.9,0,0,0,0,100.0
David Johnson,5165,TE,13,SD,64,26,40.6,0,0,0,0,100.0
Quincy Enunwa,8843,WR,12,NYJ,343,7,2.0,0,0,0,0,100.0
Arian Foster,5398,HB,4,HST,115,8,7.0,0,0,0,0,100.0
Lorenzo Taliaferro,8773,HB,3,BLT,26,9,34.6,0,0,0,0,100.0
C.J. Spiller,5534,HB,13,NO,150,10,6.7,0,0,0,0,100.0
Dakota Dozier,8772,G,2,NYJ,4,4,100.0,0,0,0,0,100.0
Martavis Bryant,8753,WR,11,PIT,367,1,0.3,0,0,0,0,100.0
Andre Williams,8748,HB,14,NYG,58,11,19.0,0,0,0,0,100.0
John Brown,8726,WR,15,ARZ,499,2,0.4,0,0,0,0,100.0
Golden Tate,5585,WR,16,DET,647,1,0.2,0,0,0,0,100.0
Charles Brown,5589,T,1,DAL,1,1,100.0,0,0,0,0,100.0
Tre Mason,8710,HB,12,SL,87,15,17.2,0,0,0,0,100.0
Earl Mitchell,5605,DI,1,MIA,1,1,100.0,0,0,0,0,100.0
Andre Roberts,5612,WR,9,WAS,151,1,0.7,0,0,0,0,100.0
Tony Moeaki,5617,TE,8,ATL,26,4,15.4,0,0,0,0,100.0
Jarvis Landry,8698,WR,16,MIA,568,2,0.4,0,0,0,0,100.0
Garrett Graham,5642,TE,8,HST,194,13,6.7,0,0,0,0,100.0
Jacques McClendon,5652,G,1,MIA,1,1,100.0,0,0,0,0,100.0
Davante Adams,8688,WR,13,GB,466,1,0.2,0,0,0,0,100.0
Andrew Quarless,5677,TE,5,GB,53,3,5.7,0,0,0,0,100.0
Anthony Dixon,5696,HB,7,BUF,50,19,38.0,0,0,0,0,100.0
Austin Seferian-Jenkins,8673,TE,7,TB,150,8,5.3,0,0,0,0,100.0
Derek Carr,8671,QB,16,OAK,621,1,0.2,0,0,0,0,100.0
Brandin Cooks,8655,WR,16,NO,626,1,0.2,0,0,0,0,100.0
Mickey Shuler,5737,TE,1,ATL,1,1,100.0,0,0,0,0,100.0
Marc Mariani,5745,WR,15,CHI,323,1,0.3,0,0,0,0,100.0
James Winchester,8580,LS,1,KC,1,1,100.0,0,0,0,0,100.0
Lemuel Jeanpierre,5853,C,3,SEA,7,6,85.7,0,0,0,0,100.0
Khiry Robinson,8514,HB,8,NO,72,7,9.7,0,0,0,0,100.0
Morgan Cox,6020,LS,1,BLT,1,1,100.0,0,0,0,0,100.0
Mitch Unrein,6031,DI,2,CHI,2,2,100.0,0,0,0,0,100.0
Richard Brockel,6037,TE,1,CAR,1,1,100.0,0,0,0,0,100.0
Justin Drescher,6117,LS,1,NO,1,1,100.0,0,0,0,0,100.0
Tyler Clutts,6124,FB,14,DAL,27,5,18.5,0,0,0,0,100.0
Bryan Walters,6139,WR,11,JAX,245,1,0.4,0,0,0,0,100.0
