year,player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
2015,Coby Fleener,7038,TE,2,IND,5,1,0,0,0,0,1,0,0,5,
2015,Damon Harrison Sr.,7355,DI,16,NYJ,3,1,0,0,0,0,0,39.6,0,3,
2015,Mitch Unrein,6031,DI,14,CHI,0,1,0,0,0,0,0,39.6,,0,
2015,Steven Johnson,7298,LB,1,TEN,12,2,0,0,0,0,0,39.6,0,6,
2015,Greg Hardy,5698,ED,12,DAL,6,1,0,0,0,0,1,0,0,6,
2015,Akeem King,9682,CB,4,ATL,9,1,0,0,0,0,0,39.6,0,9,
2015,Steven Terrell,8450,S,2,SEA,13,2,0,0,0,0,0,39.6,0,6.5,
2015,Leger Douzable,4654,DI,16,NYJ,3,1,0,0,0,0,0,39.6,0,3,
2015,Dwan Edwards,1772,DI,12,CAR,5,1,0,0,0,0,0,39.6,0,5,
2015,Lorenzo Mauldin,9515,ED,14,NYJ,12,1,0,0,0,0,0,39.6,0,12,
2015,Mike Daniels,7132,DI,16,GB,0,1,0,0,0,0,1,0,,0,
2015,Jeremy Mincey,3136,ED,14,DAL,4,1,0,0,0,0,0,39.6,0,4,
2015,Dwight Bentley,7086,CB,1,DET,4,1,0,0,0,0,0,39.6,0,4,
2015,Jonathan Babineaux,2276,DI,16,ATL,14,1,0,0,0,0,1,0,0,14,
2015,Calais Campbell,4364,DI,16,ARZ,1,1,0,0,0,0,0,39.6,0,1,
2015,Shamarko Thomas,7893,S,4,PIT,6,1,0,0,0,0,0,39.6,0,6,
2015,Mike Mitchell,4970,S,16,PIT,628,17,4,81,2,1,3,27,0.13,36.9,157
2015,Duron Harmon,7872,S,16,NE,429,7,3,62,7,1,3,74.7,0.14,61.3,143
2015,Ed Reynolds Jr.,8797,S,6,PHI,205,3,2,41,9,0,1,70.1,0.2,68.3,102.5
2015,Rahim Moore,6197,S,7,HST,240,6,3,68,30,1,1,91,0.28,40,80
2015,Chris Banjo,8419,S,7,GB,69,3,1,8,6,0,0,42.4,0.12,23,69
2015,Kenny Phillips,4345,S,3,NO,69,1,1,15,0,1,0,158.3,0.22,69,69
2015,Jamarca Sanford,5155,S,10,NO,59,2,1,16,6,0,1,37.5,0.27,29.5,59
2015,Jairus Byrd,4965,S,13,NO,467,15,8,59,22,1,1,57.4,0.13,31.1,58.4
2015,Josh Thomas,6295,CB,6,DAL,58,8,1,12,2,0,0,39.6,0.21,7.3,58
