player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
Charles Woodson,330,S,16,OAK,1114,5,377,732,90.1,60.1,54.0,53.3,92.1,0,0,0,0,0,67,9,13,10,1,19,12,146,12.2,66,40,0,5,4,47.1,0,0
Julius Peppers,1010,ED,16,GB,698,435,218,45,62.0,48.5,51.7,71.2,52.3,54,11,8,35,0,19,7,4,23,2,4,4,35,8.8,32,14,1,0,0,142.7,3,1
Dwight Freeney,1019,ED,11,ARZ,259,222,28,9,78.6,56.1,76.2,78.9,46.2,36,8,4,24,0,0,1,1,8,3,1,1,41,41.0,42,41,0,0,0,118.8,0,0
James Harrison,1251,ED,15,PIT,611,293,212,106,85.5,69.9,68.8,83.4,79.3,45,5,11,29,2,24,7,5,22,2,12,8,45,5.6,39,15,0,1,1,38.5,3,0
Terence Newman,1321,CB,16,MIN,962,2,355,605,67.5,74.8,67.1,68.3,64.2,2,0,0,2,0,50,9,6,12,0,93,56,734,13.1,233,72,4,3,9,86.0,5,0
Kevin Williams,1325,DI,16,NO,553,275,278,0,68.4,69.5,51.7,63.7,55.7,21,0,2,19,2,22,7,4,18,2,0,0,0,,0,,0,0,0,0.0,2,0
Terrell Suggs,1326,ED,1,BLT,48,27,14,7,62.5,44.8,,64.3,75.1,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Calvin Pace,1334,ED,16,NYJ,521,228,220,73,63.3,62.3,56.5,60.2,62.5,17,3,4,10,1,13,0,3,11,2,11,7,61,8.7,33,14,0,0,1,78.2,1,0
Charles Tillman,1351,CB,12,CAR,712,6,222,484,62.8,86.3,74.6,68.4,58.1,1,0,1,0,0,44,9,4,10,2,67,35,504,14.4,133,48,1,2,5,69.5,2,0
Rashean Mathis,1355,CB,7,DET,434,2,184,248,63.6,64.7,68.8,54.7,62.5,0,0,0,0,0,30,2,4,13,0,40,32,413,12.9,173,50,1,1,2,107.6,1,0
Cory Redding,1381,DI,12,ARZ,180,115,64,1,62.7,58.3,26.5,55.2,68.1,5,0,0,5,1,3,4,2,3,0,0,0,0,,0,,0,1,0,0.0,2,1
Robert Mathis,1447,ED,15,IND,548,330,172,46,67.9,49.9,56.3,65.1,87.2,35,7,8,20,0,10,2,3,16,1,3,2,43,21.5,39,40,0,0,0,109.7,3,0
Chris Clemons,1585,ED,16,JAX,663,469,179,15,42.8,40.5,29.4,52.6,52.7,34,3,8,23,1,11,3,6,12,1,3,2,24,12.0,22,14,0,0,0,91.0,5,0
Colin Cole,1589,DI,2,CAR,49,34,15,0,60.1,61.7,67.3,56.8,,1,0,0,1,0,0,1,0,0,0,0,0,0,,0,,0,0,0,0.0,0,0
Cullen Jenkins,1637,DI,16,NYG,738,505,220,13,57.5,47.7,53.8,64.7,64.0,35,3,8,24,1,17,5,4,14,0,2,1,18,18.0,9,18,0,0,0,81.3,3,0
DeAngelo Hall,1729,CB,11,WAS,428,1,121,306,58.8,62.9,80.7,60.0,59.4,0,0,0,0,0,45,8,4,10,1,28,18,229,12.7,30,40,3,0,1,125.4,2,0
Vince Wilfork,1742,DI,16,HST,562,282,280,0,75.9,82.8,67.8,54.7,60.0,11,0,1,10,0,16,6,1,16,1,0,0,0,,0,,0,0,0,0.0,1,0
Jason Babin,1748,ED,2,BLT,29,24,2,3,28.1,61.2,27.7,53.5,40.1,2,0,1,1,0,0,0,1,0,0,1,1,16,16.0,19,16,0,0,0,118.8,3,0
Karlos Dansby,1754,LB,16,CLV,1035,80,444,511,74.8,60.3,78.2,63.9,83.6,10,0,5,5,1,94,10,7,50,2,47,35,313,8.9,257,27,0,3,0,65.3,2,1
Daryl Smith,1760,LB,16,BLT,979,69,401,509,60.7,66.3,50.1,58.0,54.7,10,3,1,6,0,85,21,18,46,0,53,43,429,10.0,218,35,1,1,2,98.8,0,0
Dwan Edwards,1772,DI,12,CAR,376,282,89,5,51.8,47.2,73.5,50.4,67.0,15,1,2,12,1,7,2,0,7,0,1,0,0,,0,,0,0,0,39.6,0,0
Randy Starks,1792,DI,15,CLV,470,277,190,3,63.6,69.9,51.2,60.6,49.6,19,1,4,14,1,22,4,4,20,0,0,0,0,,0,,0,0,0,0.0,3,1
