year,player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
2015,Jason McCourty,5127,CB,3,TEN,6,2,0,0,0,0,0,39.6,0,3,
2015,Rontez Miles,8102,S,4,NYJ,3,1,0,0,0,0,1,0,0,3,
2015,Dwight Bentley,7086,CB,1,DET,4,1,0,0,0,0,0,39.6,0,4,
2015,Jerry Hughes,5556,ED,3,BUF,5,1,0,0,0,0,0,39.6,0,5,
2015,Sean Smith,4984,CB,9,KC,20,1,0,0,0,0,0,39.6,0,20,
2015,Ross Cockrell,8744,CB,7,PIT,8,2,0,0,0,0,0,39.6,0,4,
2015,Pernell McPhee,6317,ED,7,CHI,7,1,0,0,0,0,1,0,0,7,
2015,Jaylen Watkins,8736,CB,3,PHI,5,1,0,0,0,0,0,39.6,0,5,
2015,Rob Ninkovich,3080,ED,7,NE,6,1,0,0,0,0,0,39.6,0,6,
2015,Jeremiah Attaochu,8685,ED,4,SD,8,1,0,0,0,0,0,39.6,0,8,
2015,Eric Rowe,9480,CB,5,PHI,11,3,0,0,0,0,0,39.6,0,3.7,
2015,Jamarca Sanford,5155,S,2,NO,3,1,0,0,0,0,1,0,0,3,
2015,Daniel Sorensen,9253,S,5,KC,12,2,0,0,0,0,0,39.6,0,6,
2015,Steven Johnson,7298,LB,1,TEN,4,2,0,0,0,0,0,39.6,0,2,
2015,Jonathan Newsome,8801,ED,8,IND,13,1,0,0,0,0,0,39.6,0,13,
2015,O'Brien Schofield,5653,ED,6,ATL,11,1,0,0,0,0,0,39.6,0,11,
2015,Darrell Stuckey,5634,S,2,SD,3,1,0,0,0,0,0,39.6,0,3,
2015,Sheldon Price,8479,CB,1,BLT,1,1,0,0,0,0,0,39.6,0,1,
2015,Jadeveon Clowney,8636,ED,1,HST,2,1,0,0,0,0,0,39.6,0,2,
2015,Ryan Shazier,8650,LB,9,PIT,24,1,0,0,0,0,0,39.6,0,24,
2015,Bobby McCain,9578,CB,9,MIA,117,8,2,32,5,1,0,83.3,0.27,14.6,58.5
2015,Craig Mager,9516,CB,5,SD,50,3,1,10,3,0,0,43.8,0.2,16.7,50
2015,Shea McClellin,7025,LB,9,CHI,43,3,1,4,0,0,0,42.4,0.09,14.3,43
2015,Husain Abdullah,4652,S,10,KC,41,4,1,52,27,0,0,79.2,1.27,10.3,41
2015,Demontre Hurst,8359,S,3,CHI,39,2,1,0,1,0,0,56.3,0,19.5,39
2015,Bradley McDougald,8220,S,13,TB,69,4,2,30,18,0,0,75,0.43,17.3,34.5
2015,Jordan Poyer,8000,S,10,CLV,34,1,1,3,0,1,0,118.8,0.09,34,34
2015,Tramon Williams,3558,CB,11,CLV,57,6,2,20,3,0,0,43.8,0.35,9.5,28.5
2015,Sean Lee,5580,LB,9,DAL,28,3,1,10,1,0,0,43.8,0.36,9.3,28
2015,Steven Nelson,9531,CB,4,KC,25,1,1,11,8,0,0,112.5,0.44,25,25
2015,Chris Lewis-Harris,7624,CB,3,CIN,24,1,1,2,1,0,0,79.2,0.08,24,24
2015,Eddie Pleasant,7593,S,15,HST,70,11,3,44,14,0,0,43.8,0.63,6.4,23.3
