year,player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
2015,Virgil Green,6356,TE,16,DEN,14,12,0,12,0
2015,Charles Johnson,7998,WR,10,MIN,13,9,0,9,0
2015,Michael Williams,7993,TE,14,NE,5,3,0,3,0
2015,Spencer Ware,7975,HB,9,KC,6,6,0,6,0
2015,Jason Witten,1384,TE,16,DAL,100,77,0,77,0
2015,Chris Gragg,8004,TE,12,BUF,19,12,0,12,0
2015,Vincent Brown,6234,WR,1,SD,1,1,0,1,0
2015,DuJuan Harris,6595,HB,4,SF,14,9,0,9,0
2015,Ryan Hewitt,9107,TE,13,CIN,10,8,0,8,0
2015,Alfred Blue,8816,HB,14,HST,16,15,0,15,0
2015,Greg Salas,6264,WR,2,BUF,5,3,0,3,0
2015,Asante Cleveland,9066,TE,3,SD,1,1,0,1,0
2015,Kevin Smith,9065,WR,7,SEA,5,3,0,3,0
2015,Michael Campanaro,8852,WR,4,BLT,6,5,0,5,0
2015,Jonathan Krause,9017,WR,2,PHI,3,2,0,2,0
2015,Anthony Sherman,6288,FB,15,KC,4,4,0,4,0
2015,Jacquizz Rodgers,6297,HB,5,CHI,2,1,0,1,0
2015,Bennie Fowler,8914,WR,14,DEN,22,16,0,16,0
2015,Shaun Draughn,6440,HB,9,SF,35,27,0,27,0
2015,Lee Smith,6311,TE,15,OAK,12,11,0,11,0
2015,Scott Simonson,8954,TE,2,CAR,1,1,0,1,0
2015,Tyrod Taylor,6332,QB,1,BUF,1,1,0,1,0
2015,Steven Jackson,1745,HB,2,NE,1,1,0,1,0
2015,Jarryd Hayne,10255,HB,5,SF,5,5,0,5,0
2015,Kasen Williams,10195,WR,2,SEA,1,1,0,1,0
2015,Andre Ellington,7968,HB,10,ARZ,17,15,0,15,0
2015,Daniel Brown,10144,WR,5,BLT,11,6,0,6,0
2015,Brian Parker,10135,TE,9,KC,1,1,0,1,0
2015,Kerwynn Williams,8013,HB,4,ARZ,2,2,0,2,0
2015,Andrew Turzilli,10112,WR,2,TEN,2,2,0,2,0
2015,Lance Moore,2718,WR,14,DET,41,29,0,29,0
2015,B.J. Daniels,8020,WR,5,HST,2,2,0,2,0
2015,Reggie Bush,2947,HB,5,SF,10,4,0,4,0
2015,Mike Gillislee,7946,HB,5,BUF,7,6,0,6,0
2015,Zac Stacy,7942,HB,7,NYJ,10,9,0,9,0
2015,Ben Edwards,10067,WR,2,NYG,2,1,0,1,0
2015,E.J. Bibbs,10034,TE,7,CLV,2,1,0,1,0
2015,Chandler Worthy,10028,WR,3,HST,4,3,0,3,0
2015,Brian Leonhardt,8083,TE,3,SF,1,1,0,1,0
2015,Jason Avant,3054,WR,16,KC,23,15,0,15,0
2015,Rod Smith,9996,HB,5,DAL,1,1,0,1,0
2015,Joseph Randle,7933,HB,6,DAL,10,10,0,10,0
2015,Christopher Harper,9950,WR,5,NE,2,1,0,1,0
2015,Bradley Marquez,9914,WR,12,SL,22,13,0,13,0
2015,Daniel Fells,3309,TE,2,NYG,7,6,0,6,0
2015,Kenbrell Thompkins,8126,WR,7,NYJ,31,17,0,17,0
2015,MarQueis Gray,8286,TE,4,BUF,1,1,0,1,0
2015,Cierre Wood,8343,HB,1,BUF,1,1,0,1,0
2015,Tyler Murphy,9912,WR,1,PIT,1,1,0,1,0
2015,Knile Davis,7878,HB,9,KC,3,2,0,2,0
2015,Dwayne Bowe,3639,WR,7,CLV,13,5,0,5,0
2015,Jake Stoneburner,8353,TE,10,MIA,5,5,0,5,0
2015,Malcolm Brown,9902,HB,1,SL,1,1,0,1,0
2015,Terrence Magee,9864,HB,1,BLT,1,1,0,1,0
2015,Lucky Whitehead,9853,WR,13,DAL,7,6,0,6,0
2015,Brent Celek,3778,TE,16,PHI,32,27,0,27,0
2015,Matt LaCosse,9840,TE,2,NYG,3,3,0,3,0
2015,Pierre Thomas,4080,HB,4,WAS,10,9,0,9,0
2015,Eric Weems,4097,WR,3,ATL,1,1,0,1,0
2015,Roosevelt Nix,10269,FB,8,PIT,2,2,0,2,0
2015,Akeem Hunt,9839,HB,7,HST,9,6,0,6,0
2015,Terron Ward,9778,HB,11,ATL,12,9,0,9,0
2015,Marquise Goodwin,7859,WR,2,BUF,2,2,0,2,0
2015,Jack Doyle,8520,TE,15,IND,14,12,0,12,0
2015,Zach Zenner,9761,HB,3,DET,2,2,0,2,0
2015,DeSean Jackson,4363,WR,9,WAS,44,30,0,30,0
2015,Le'Veon Bell,7829,HB,6,PIT,25,24,0,24,0
2015,Gavin Escobar,7828,TE,14,DAL,13,8,0,8,0
2015,Cordarrelle Patterson,7810,WR,8,MIN,2,2,0,2,0
2015,Craig Stevens,4399,TE,16,TEN,13,12,0,12,0
