year,player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
2016,Adam Vinatieri,226,K,1,IND,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Sebastian Janikowski,595,K,1,OAK,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Tom Brady,698,QB,12,NE,801,490,0,311,0,0,0,0,0,95.2,,60,1,2,3,6,2,0
2016,Drew Brees,802,QB,16,NO,1131,739,0,392,0,0,0,0,0,83.2,,60,6,0,7,13,11,0
2016,Steve Smith,837,WR,14,BLT,229,0,0,229,0,0,0,0,0,74,,69.5,0,0,0,0,7,2
2016,Josh McCown,1085,QB,5,CLV,260,199,0,61,0,0,0,0,0,55.7,,60,3,2,5,10,2,0
2016,Shaun Hill,1255,QB,3,MIN,70,38,0,32,0,0,0,0,0,63.3,,60,0,0,0,0,0,0
2016,Carson Palmer,1317,QB,15,ARZ,1035,694,1,340,0,0,0,0,0,73.4,60.9,61.1,5,3,0,8,7,0
2016,Andre Johnson,1319,WR,8,TEN,103,0,0,103,0,0,0,0,0,55,,69.6,0,0,0,0,2,0
2016,Anquan Boldin,1369,WR,16,DET,242,0,4,238,0,0,0,0,0,66.3,74.4,54.1,0,0,0,0,6,0
2016,Jason Witten,1384,TE,16,DAL,553,0,84,469,0,0,0,0,0,67.8,60.2,65.3,1,1,5,7,5,0
2016,Antonio Gates,1609,TE,14,SD,170,0,25,145,0,0,0,0,0,73.2,56.6,76.9,0,0,2,2,2,0
2016,Tony Romo,1693,QB,1,DAL,7,5,0,2,0,0,0,0,0,62.5,,60,0,0,0,0,0,0
2016,Eli Manning,1722,QB,16,NYG,1042,658,0,384,0,0,0,0,0,63.7,,60,2,3,3,8,2,0
2016,Larry Fitzgerald,1724,WR,16,ARZ,358,1,8,349,0,0,0,0,0,83.3,75.1,86.3,0,1,0,1,1,0
2016,Philip Rivers,1725,QB,16,SD,1053,659,1,393,0,0,0,0,0,70.7,60.9,60,5,0,5,10,6,0
2016,Ben Roethlisberger,1732,QB,14,PIT,908,570,0,338,0,0,0,0,0,77.1,,60,0,1,4,5,1,0
2016,Matt Schaub,1811,QB,3,ATL,19,3,0,16,0,0,0,0,0,66.6,,60,0,0,0,0,0,0
2016,Jason Peters,2148,T,16,PHI,1098,0,689,409,1133,0,0,0,0,86.9,90.9,79.8,4,8,13,25,12,2
2016,Alex Smith,2218,QB,15,KC,890,564,1,325,0,0,0,0,0,76,61.3,60.5,5,0,7,12,5,1
2016,Aaron Rodgers,2241,QB,16,GB,1039,734,0,305,0,0,0,0,0,90.4,,60,5,7,11,23,6,0
2016,Vincent Jackson,2278,WR,5,TB,92,0,0,92,0,0,0,0,0,60.7,,88.6,0,0,0,0,0,0
2016,Frank Gore,2282,HB,16,IND,98,0,74,24,0,0,0,0,0,59.6,58.9,59.4,4,0,6,10,0,0
2016,Evan Mathis,2296,G,4,ARZ,199,0,126,73,0,0,0,204,0,78,57.3,83.1,0,3,3,6,0,0
2016,Richie Incognito,2298,G,16,BUF,1060,0,613,447,0,1082,0,0,0,76.5,83.1,71.8,3,7,13,23,7,0
2016,Dustin Colquitt,2316,P,1,KC,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Darren Sproles,2347,HB,15,PHI,72,0,55,17,0,0,0,0,0,67.8,77.6,58.9,0,1,3,4,1,0
2016,Joe Berger,2424,C,14,MIN,852,0,530,322,0,62,688,124,0,77.8,85.7,70.4,3,3,4,10,1,0
2016,Derek Anderson,2430,QB,5,CAR,86,59,0,27,0,0,0,0,0,59.9,,60,0,0,0,0,0,0
2016,Matt Cassel,2447,QB,4,TEN,96,61,0,35,0,0,0,0,0,51,,60,2,0,1,3,1,0
2016,Ryan Fitzpatrick,2467,QB,14,NYJ,750,466,0,284,0,0,0,0,0,51.8,,60.2,2,2,2,6,4,0
2016,Jon Condo,2539,LS,2,OAK,2,0,0,2,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,John Denney,2561,LS,1,MIA,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,John Kuhn,2686,FB,16,NO,147,0,57,90,0,0,0,0,0,64.6,83.8,73.7,0,0,3,3,3,0
2016,L.P. Ladouceur,2687,LS,1,DAL,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Greg Warren,2831,LS,1,PIT,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2016,Reggie Bush,2947,HB,13,BUF,35,0,6,29,0,0,0,0,0,65.6,83.2,71.7,0,0,0,0,0,0
2016,Vernon Davis,2951,TE,16,WAS,369,0,59,310,0,0,0,0,0,76,64,59.5,0,0,3,3,6,0
2016,Jay Cutler,2956,QB,5,CHI,272,167,0,105,0,0,0,0,0,49.8,,60,2,1,4,7,0,0
2016,DeAngelo Williams,2972,HB,9,PIT,31,0,19,12,0,0,0,0,0,65,67.3,54.9,0,1,2,3,0,0
2016,Marcedes Lewis,2973,TE,10,JAX,148,0,38,110,0,0,0,0,0,66.2,71.3,53.5,0,1,0,1,2,1
2016,Nick Mangold,2974,C,8,NYJ,433,0,285,148,0,0,441,0,0,66.7,74.7,60.6,0,1,4,5,0,0
2016,Roman Harper,2988,S,4,NO,10,0,0,10,0,0,0,0,0,60,,60,0,0,0,0,3,0
2016,Kellen Clemens,2994,QB,1,SD,3,1,0,2,0,0,0,0,0,60.3,,60,0,0,0,0,1,0
2016,Anthony Fasano,2998,TE,16,TEN,406,0,68,338,6,0,0,1,9,78.7,78.1,85.1,0,1,1,2,3,0
2016,Andrew Whitworth,3000,T,16,CIN,1051,0,638,413,978,59,0,0,0,83.9,93.7,69.1,4,0,11,15,7,2
2016,Chris Chester,3001,G,16,ATL,1041,0,628,413,0,0,0,1067,0,69.7,58.6,72.5,6,12,27,45,4,0
2016,Eric Winston,3011,T,12,CIN,280,0,156,124,5,0,0,0,262,65.3,62.1,66.8,2,0,6,8,1,0
2016,Charlie Whitehurst,3026,QB,1,CLV,42,30,0,12,0,0,0,0,0,58,,60,1,1,0,2,0,0
2016,Jahri Evans,3053,G,16,NO,1138,0,730,408,0,0,0,1170,0,69,78.2,60.7,2,3,21,26,6,1
2016,Brandon Marshall,3064,WR,15,NYJ,323,0,1,322,0,0,0,0,0,69.2,68.5,72.8,0,0,0,0,4,2
