year,player,player_id,position,player_game_count,team_name,run_snaps,tackles,assists,misses,stops,stop_percent
2016,Kamu Grugier-Hill,10842,LB,1,PHI,1,1,0,0,1,100
2016,Deon King,11124,LB,1,IND,3,1,0,0,1,33.3
2016,Ronald Martin,9991,S,2,NYJ,3,1,0,0,1,33.3
2016,Bryan Braman,6699,ED,3,PHI,3,1,0,0,1,33.3
2016,Adarius Taylor,9074,LB,2,TB,7,4,0,0,2,28.6
2016,Pierre Desir,8762,S,1,SD,4,1,0,0,1,25
2016,Clayton Fejedelem,10879,S,3,CIN,8,2,0,0,2,25
2016,Kareem Martin,8719,DI,1,ARZ,9,3,1,0,2,22.2
2016,Ray-Ray Armstrong,8271,LB,2,SF,14,3,1,0,3,21.4
2016,Barkevious Mingo,7787,ED,6,NE,15,3,0,0,3,20
2016,Shayne Skov,9317,LB,3,SF,5,1,1,1,1,20
2016,Antwaun Woods,11332,DI,1,TEN,5,3,0,0,1,20
2016,Kyle Peko,11027,DI,1,DEN,5,1,0,0,1,20
2016,Richard Ash,10047,DI,2,DAL,26,5,1,0,5,19.2
2016,Woodrow Hamilton,11215,DI,2,NE,22,5,0,0,4,18.2
2016,Doug Middleton,11262,S,2,NYJ,11,2,1,1,2,18.2
2016,Houston Bates,10167,ED,6,WAS,6,1,0,0,1,16.7
2016,Ben Garland,5839,DI,8,ATL,19,3,0,0,3,15.8
2016,Damon Harrison Sr.,7355,DI,16,NYG,311,61,9,5,49,15.8
2016,David Mayo,9602,LB,1,CAR,13,3,2,0,2,15.4
2016,Dekoda Watson,5740,ED,6,DEN,13,3,0,0,2,15.4
2016,Brian Peters,10248,LB,3,HST,7,1,0,0,1,14.3
2016,Emmanuel Lamur,7561,LB,5,MIN,7,1,0,0,1,14.3
2016,Gabe Martin,9803,LB,2,ARZ,7,1,0,0,1,14.3
2016,Korey Toomer,7147,LB,12,SD,177,35,5,2,25,14.1
2016,NaVorro Bowman,5615,LB,4,SF,99,20,6,4,14,14.1
2016,Dan McCullers,8849,DI,16,PIT,86,13,2,2,12,14
2016,Courtney Upshaw,7039,ED,13,ATL,86,12,3,1,12,14
2016,Sio Moore,7847,LB,8,ARZ,147,31,5,7,20,13.6
2016,Manti Te'o,7819,LB,3,SD,30,5,2,1,4,13.3
2016,Danielle Hunter,9521,ED,16,MIN,176,28,9,5,23,13.1
2016,Randy Gregory,9493,ED,2,DAL,23,6,0,0,3,13
2016,Zaire Anderson,9792,LB,9,DEN,40,7,1,0,5,12.5
2016,Michael Pierce,11101,DI,16,BLT,184,24,3,0,23,12.5
2016,K.J. Dillon,10793,S,2,HST,16,2,0,0,2,12.5
2016,Ryan Carrethers,8800,DI,4,SD,24,3,1,0,3,12.5
2016,Nick Perry,7033,ED,14,GB,193,27,10,4,24,12.4
2016,Brandon Graham,5538,ED,16,PHI,267,43,7,7,33,12.4
2016,Avery Williamson,8786,LB,16,TEN,284,49,17,2,35,12.3
2016,Steve McLendon,5232,DI,11,NYJ,167,23,2,1,20,12
2016,Jadeveon Clowney,8636,ED,14,HST,243,36,4,2,29,11.9
2016,Kawann Short,7825,DI,16,CAR,244,32,8,6,29,11.9
2016,Jerrell Freeman,4888,LB,12,CHI,306,59,14,3,36,11.8
2016,Danny Trevathan,7177,LB,9,CHI,215,38,3,2,25,11.6
2016,Sean Lee,5580,LB,15,DAL,292,50,16,4,34,11.6
2016,James Cowser,11351,ED,5,OAK,26,4,2,0,3,11.5
2016,LaRoy Reynolds,8500,LB,11,ATL,52,8,2,1,6,11.5
2016,Andrew Gachkar,6386,LB,5,DAL,26,3,1,0,3,11.5
2016,Brian Cushing,4938,LB,13,HST,244,36,11,3,28,11.5
2016,Jayrone Elliott,9336,ED,8,GB,44,6,2,0,5,11.4
2016,Roy Miller,5004,DI,6,JAX,79,10,1,0,9,11.4
2016,Alan Branch,3649,DI,16,NE,260,35,8,4,29,11.2
2016,Jake Ryan,9562,LB,13,GB,236,39,12,2,26,11
2016,Malcom Brown,9465,DI,16,NE,237,35,7,3,26,11
2016,Craig Robertson,7003,LB,15,NO,336,57,13,3,37,11
2016,Aaron Donald,8648,DI,16,LA,276,35,9,2,30,10.9
2016,Timmy Jernigan,8683,DI,16,BLT,185,21,5,1,20,10.8
2016,Leonard Williams,9439,DI,16,NYJ,369,45,13,5,40,10.8
2016,Thurston Armbrister,9825,LB,5,DET,28,5,1,1,3,10.7
2016,Zach Kerr,9195,DI,12,IND,112,12,3,2,12,10.7
2016,Deon Simon,9656,DI,13,NYJ,123,14,4,2,13,10.6
2016,Zachary Orr,9326,LB,15,BLT,320,52,18,4,34,10.6
2016,Vince Williams,7988,LB,10,PIT,104,15,5,1,11,10.6
2016,Kerry Wynn,8938,ED,11,NYG,38,5,1,0,4,10.5
2016,Sheldon Richardson,7794,ED,15,NYJ,314,43,11,3,33,10.5
2016,Carl Bradford,8756,LB,2,SF,19,2,0,1,2,10.5
2016,Luke Kuechly,7015,LB,10,CAR,220,36,15,1,23,10.5
2016,Darryl Tapp,3008,ED,15,NO,135,15,2,0,14,10.4
2016,Alec Ogletree,7811,LB,16,LA,395,63,14,17,41,10.4
2016,Josh Mauro,9003,ED,15,ARZ,183,22,5,5,19,10.4
2016,DeAndre Levy,4999,LB,5,DET,77,12,0,0,8,10.4
2016,Jerel Worthy,7054,DI,13,BUF,78,9,4,0,8,10.3
2016,Austin Johnson,10677,DI,10,TEN,68,9,3,0,7,10.3
2016,Telvin Smith Sr.,8779,LB,16,JAX,397,64,5,9,41,10.3
2016,Gabe Wright,9546,DI,5,CLV,29,3,0,0,3,10.3
2016,William Hayes,4417,ED,14,LA,184,26,6,2,19,10.3
2016,Vontaze Burfict,7280,LB,11,CIN,256,43,7,6,26,10.2
2016,Terrell McClain,6217,DI,15,DAL,166,18,12,3,17,10.2
2016,Su'a Cravens,10687,LB,10,WAS,59,7,2,1,6,10.2
2016,Eric Kendricks,9478,LB,15,MIN,315,45,16,7,32,10.2
2016,Tony McDaniel,3423,DI,16,SEA,215,26,10,0,22,10.2
2016,Ed Stinson,8795,DI,4,ARZ,49,6,0,0,5,10.2
2016,Henry Anderson,9526,DI,11,IND,109,12,0,2,11,10.1
2016,Romeo Okwara,11250,DI,12,NYG,89,10,3,0,9,10.1
2016,Derrick Johnson,2232,LB,13,KC,310,47,15,14,31,10
2016,Blake Martinez,10765,LB,13,GB,210,37,10,2,21,10
2016,Michael Bennett,5273,ED,11,SEA,221,26,2,3,22,10
2016,Teddy Williams,6073,CB,2,CAR,10,1,0,0,1,10
2016,Larry Webster,8771,ED,1,CAR,10,1,0,0,1,10
2016,Sharrod Neasman,11050,S,3,ATL,10,3,0,1,1,10
2016,Demarcus Lawrence,8669,ED,9,DAL,70,8,1,3,7,10
2016,Cullen Jenkins,1637,DI,15,WAS,111,13,1,1,11,9.9
2016,Brandon Williams,7875,DI,16,BLT,304,35,14,1,30,9.9
2016,Von Miller,6154,ED,16,DEN,362,45,4,2,36,9.9
2016,Ryan Shazier,8650,LB,13,PIT,255,33,9,11,25,9.8
2016,Danny Shelton,9445,DI,16,CLV,400,45,14,3,39,9.8
2016,Marcell Dareus,6155,DI,8,BUF,205,25,12,0,20,9.8
2016,Paul Worrilow,8141,LB,9,ATL,62,8,3,2,6,9.7
2016,Morgan Fox,11184,DI,4,LA,31,3,1,0,3,9.7
2016,Brandon Dunn,9262,DI,2,HST,31,3,0,1,3,9.7
2016,Ramon Humber,5310,LB,10,BUF,31,3,0,0,3,9.7
2016,Jelani Jenkins,7886,LB,9,MIA,113,13,6,4,11,9.7
2016,Koa Misi,5565,LB,3,MIA,62,15,3,1,6,9.7
2016,Jaye Howard Jr.,7114,DI,8,KC,136,17,5,1,13,9.6
2016,Nick Bellore,6515,LB,12,SF,324,38,9,8,31,9.6
2016,Derek Wolfe,7040,DI,14,DEN,249,33,14,2,24,9.6
2016,Bobby Wagner,7050,LB,16,SEA,425,74,18,6,41,9.6
2016,Christian Kirksey,8706,LB,16,CLV,477,72,21,3,46,9.6
2016,C.J. Wilson,5753,DI,6,CHI,73,7,3,0,7,9.6
2016,Ramik Wilson,9551,LB,11,KC,229,52,17,4,22,9.6
2016,William Gholston,7908,ED,14,TB,261,30,10,3,25,9.6
2016,John Hughes,7088,DI,6,TB,42,4,1,0,4,9.5
2016,Lorenzo Mauldin,9515,ED,10,NYJ,84,9,0,0,8,9.5
2016,Leger Douzable,4654,DI,16,BUF,222,31,6,2,21,9.5
2016,Karlos Dansby,1754,LB,16,CIN,284,42,12,4,27,9.5
2016,Denzel Perryman,9481,LB,12,SD,213,33,5,9,20,9.4
2016,Vincent Rey,5811,LB,16,CIN,224,31,10,1,21,9.4
2016,Dante Fowler Jr.,9436,ED,16,JAX,149,15,6,0,14,9.4
2016,Nick Kwiatkoski,10747,LB,12,CHI,192,28,7,1,18,9.4
2016,Linval Joseph,5571,DI,16,MIN,334,46,23,6,31,9.3
2016,Stacy McGee,7987,DI,9,OAK,108,12,2,0,10,9.3
2016,Ndamukong Suh,5527,DI,16,MIA,355,41,11,0,33,9.3
2016,Trey Flowers,9534,ED,15,NE,162,24,7,1,15,9.3
2016,Gerald Hodges,7902,LB,14,SF,311,51,11,5,29,9.3
2016,Todd Davis,9007,LB,16,DEN,369,56,20,0,34,9.2
2016,Paul Soliai,3724,DI,10,CAR,65,6,0,0,6,9.2
2016,Darrell Stuckey,5634,S,6,SD,11,1,0,0,1,9.1
2016,Mike Purcell,8530,DI,14,SF,176,21,4,2,16,9.1
2016,Damontre Moore,7862,ED,4,SEA,33,4,1,0,3,9.1
2016,Caraun Reid,8793,DI,6,SD,22,2,0,0,2,9.1
2016,Trent Cole,2363,ED,7,IND,88,10,3,3,8,9.1
2016,Kyle Emanuel,9586,ED,16,SD,245,27,5,1,22,9
2016,Kwon Alexander,9557,LB,16,TB,390,56,19,11,35,9
2016,Khalil Mack,8640,ED,16,OAK,355,44,6,5,32,9
2016,Bennie Logan,7848,DI,13,PHI,178,18,4,4,16,9
2016,Zach Brown,7055,LB,16,BUF,428,62,18,7,38,8.9
2016,Devon Kennard,8809,LB,16,NYG,214,28,12,1,19,8.9
2016,Elandon Roberts,10848,LB,11,NE,124,21,3,2,11,8.9
2016,Vincent Valentine,10730,DI,13,NE,135,15,6,1,12,8.9
2016,Lawrence Guy,6385,DI,16,BLT,182,18,4,0,16,8.8
2016,Lawrence Timmons,3631,LB,16,PIT,320,42,19,4,28,8.8
2016,Benardrick McKinney,9476,LB,16,HST,329,53,15,4,29,8.8
2016,Stephon Tuitt,8681,DI,14,PIT,250,25,5,7,22,8.8
2016,C.J. Mosley,8652,LB,14,BLT,295,46,5,7,26,8.8
2016,D.J. Alexander,9605,LB,5,KC,34,5,0,1,3,8.8
2016,Cory James,10828,LB,11,OAK,148,16,4,4,13,8.8
2016,Lorenzo Alexander,2476,ED,16,BUF,310,32,7,3,27,8.7
2016,Markus Golden,9491,ED,16,ARZ,254,28,8,5,22,8.7
2016,Jason Jones,4368,ED,14,MIA,184,20,3,1,16,8.7
2016,Rakeem Nunez-Roches,9650,DI,11,KC,127,18,5,2,11,8.7
2016,Abry Jones,8177,DI,15,JAX,253,24,8,1,22,8.7
2016,Jarvis Jones,7798,ED,13,PIT,149,21,7,0,13,8.7
2016,Shaquil Barrett,9000,ED,16,DEN,185,18,4,2,16,8.6
2016,Ufomba Kamalu,11164,DI,4,HST,35,3,1,0,3,8.6
2016,Nate Stupar,7214,LB,15,NO,163,21,1,5,14,8.6
2016,Kenny Clark,10661,DI,16,GB,151,16,6,0,13,8.6
2016,Corey Lemonier,7869,ED,7,NYJ,35,4,0,0,3,8.6
2016,Joe Thomas,9272,LB,13,GB,176,21,10,2,15,8.5
2016,Keith McGill,8751,S,7,OAK,59,6,2,2,5,8.5
2016,Justin Ellis,8742,DI,16,OAK,188,18,3,0,16,8.5
2016,Kendall Langford,4380,DI,7,IND,95,8,1,1,8,8.4
2016,Jarvis Jenkins,6193,DI,16,KC,107,12,1,1,9,8.4
2016,Mark Barron,7013,LB,16,LA,394,50,13,5,33,8.4
2016,Datone Jones,7807,ED,15,GB,191,18,4,0,16,8.4
2016,Paul Posluszny,3650,LB,16,JAX,404,47,16,8,34,8.4
2016,Wesley Woodyard,4583,LB,16,TEN,242,33,6,2,20,8.3
2016,Branden Jackson,11394,ED,3,OAK,12,1,0,0,1,8.3
2016,David Irving,10063,DI,14,DAL,120,11,0,2,10,8.3
2016,Deion Jones,10686,LB,15,ATL,277,37,10,8,23,8.3
2016,Antonio Morrison,10759,LB,14,IND,144,21,10,2,12,8.3
2016,Anthony Hitchens,8754,LB,16,DAL,230,30,15,8,19,8.3
2016,Michael Griffin,3635,S,10,CAR,133,19,2,3,11,8.3
2016,Brennan Scarlett,11169,ED,4,HST,48,4,2,0,4,8.3
2016,Kyle Williams,3079,DI,15,BUF,314,36,11,8,26,8.3
2016,James Harrison,1251,ED,15,PIT,196,22,7,2,16,8.2
2016,Letroy Guion,4466,DI,15,GB,196,20,7,1,16,8.2
2016,Jurrell Casey,6229,DI,15,TEN,231,26,5,5,19,8.2
2016,Robert Ayers,4941,ED,12,TB,194,18,4,3,16,8.2
2016,Wallace Gilberry,4763,ED,9,CIN,61,7,2,0,5,8.2
2016,Joey Bosa,10637,ED,12,SD,194,20,3,2,16,8.2
2016,Dominique Easley,8664,DI,16,LA,158,17,4,2,13,8.2
