player,player_id,position,player_game_count,team_name,snaps,run_snaps,run_tackles,run_assists,run_misses,run_stops,run_tackle_efficiency,pass_snaps,pass_tackles,pass_assists,pass_misses,pass_stops,pass_tackle_efficiency,combined_tackle_efficiency
Kareem Martin,8719,DI,7,ARZ,30,9,3,1,0,2,1.0e3,21,0,0,0,1,,1.0e3
Leon McFadden,7849,CB,2,DAL,52,15,1,1,0,0,1.0e3,37,3,0,0,2,1.0e3,1.0e3
Ryan Russell,9596,ED,8,TB,166,33,2,0,0,1,1.0e3,133,1,0,0,2,1.0e3,1.0e3
Howard Jones,8909,ED,8,TB,79,9,1,0,0,0,1.0e3,70,0,0,0,0,,1.0e3
Max Bullough,8919,LB,14,HST,229,124,12,3,0,9,1.0e3,105,3,1,0,2,1.0e3,1.0e3
James Cowser,11351,ED,5,OAK,45,26,4,2,0,3,1.0e3,19,0,0,0,1,,1.0e3
Brock Coyle,8929,LB,6,SEA,122,67,2,3,0,1,1.0e3,55,7,0,0,4,1.0e3,1.0e3
Antwaun Woods,11332,DI,1,TEN,17,5,3,0,0,1,1.0e3,12,0,0,0,0,,1.0e3
Mehdi Abdesmad,11322,DI,2,TEN,23,10,1,0,0,0,1.0e3,13,0,0,0,0,,1.0e3
Kerry Wynn,8938,ED,13,NYG,114,38,5,1,0,4,1.0e3,76,0,0,0,1,,1.0e3
DeAndre Elliott,11281,CB,5,SEA,27,6,0,0,0,0,,21,2,0,0,1,1.0e3,1.0e3
Romeo Okwara,11250,DI,16,NYG,346,89,10,3,0,9,1.0e3,257,2,1,0,3,1.0e3,1.0e3
Darren Sproles,2347,HB,2,PHI,2,2,1,0,0,0,1.0e3,0,0,0,0,0,,1.0e3
Michael Hunter,11243,CB,2,NYG,15,6,2,0,0,0,1.0e3,9,2,0,0,0,1.0e3,1.0e3
Jamie Meder,8940,DI,16,CLV,699,367,30,12,0,19,1.0e3,332,4,2,0,3,1.0e3,1.0e3
Woodrow Hamilton,11215,DI,2,NE,40,22,5,0,0,4,1.0e3,18,0,0,0,0,,1.0e3
Morgan Fox,11184,DI,4,LA,67,31,3,1,0,3,1.0e3,36,0,0,0,0,,1.0e3
Vinnie Sunseri,8802,S,4,SF,16,4,0,1,0,0,1.0e3,12,2,0,0,0,1.0e3,1.0e3
Brennan Scarlett,11169,ED,5,HST,108,48,4,2,0,4,1.0e3,60,1,1,0,1,1.0e3,1.0e3
Joel Heath,11162,DI,12,HST,223,120,4,1,0,4,1.0e3,103,0,1,0,2,1.0e3,1.0e3
Darryl Tapp,3008,ED,15,NO,280,135,15,2,0,14,1.0e3,145,2,0,0,2,1.0e3,1.0e3
Makinton Dorleant,11145,CB,2,GB,4,0,0,0,0,0,,4,1,0,0,0,1.0e3,1.0e3
Adairius Barnes,11129,CB,4,DET,57,13,0,0,0,0,,44,4,0,0,1,1.0e3,1.0e3
Deon King,11124,LB,1,IND,10,3,1,0,0,1,1.0e3,7,0,0,0,0,,1.0e3
Patrick Onwuasor,11100,LB,8,BLT,57,27,1,4,0,0,1.0e3,30,2,1,0,1,1.0e3,1.0e3
Victor Ochi,11098,ED,2,NYJ,14,2,0,1,0,0,1.0e3,12,0,0,0,0,,1.0e3
Ryan Carrethers,8800,DI,4,SD,47,24,3,1,0,3,1.0e3,23,0,0,0,0,,1.0e3
Kedric Golston,3141,DI,2,WAS,30,21,2,1,0,1,1.0e3,9,0,0,0,0,,1.0e3
Kyle Peko,11027,DI,1,DEN,14,5,1,0,0,1,1.0e3,9,1,0,0,0,1.0e3,1.0e3
Channing Ward,10943,ED,5,TB,82,44,3,1,0,1,1.0e3,38,0,0,0,0,,1.0e3
