player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
Devontae Booker,10770,HB,16,DEN,227,37,16.3,5,2.2,1,20.0,1,0,2,0.4,0,0.0,100.0
Justin Forsett,4547,HB,9,DEN,131,26,19.8,3,2.3,1,33.3,1,0,0,0.0,0,0.0,100.0
Malcolm Mitchell,10746,WR,14,NE,308,45,14.6,48,15.6,5,10.4,5,0,60,1.25,1,0.0,100.0
Danny Woodhead,4914,HB,2,SD,30,6,20.0,2,6.7,1,50.0,1,0,4,2.0,0,0.0,100.0
C.J. Prosise,10724,HB,6,SEA,82,18,22.0,6,7.3,2,33.3,2,0,45,7.5,0,0.0,100.0
Josh Doctson,10656,WR,2,WAS,24,6,25.0,3,12.5,1,33.3,1,0,57,19.0,0,0.0,100.0
Alex Ellis,11326,TE,6,JAX,45,4,8.9,9,20.0,1,11.1,1,0,1,0.11,0,0.0,100.0
Chris Manhertz,10211,TE,5,CAR,12,1,8.3,1,8.3,1,100.0,1,0,10,10.0,0,0.0,100.0
Malcolm Brown,9902,HB,6,LA,25,3,12.0,2,8.0,1,50.0,1,0,12,6.0,0,0.0,100.0
Lucky Whitehead,9853,WR,13,DAL,29,3,10.3,13,44.8,2,15.4,2,0,13,1.0,0,0.0,100.0
John Phillips,5132,TE,16,NO,111,13,11.7,24,21.6,2,8.3,2,0,13,0.54,0,0.0,100.0
Neal Sterling,9653,TE,6,JAX,95,16,16.8,29,30.5,4,13.8,4,0,42,1.45,0,0.0,100.0
Aaron Ripkowski,9639,FB,14,GB,92,10,10.9,2,2.2,2,100.0,2,0,7,3.5,0,0.0,100.0
A.J. Derby,9635,TE,7,DEN,129,19,14.7,15,11.6,3,20.0,3,0,23,1.53,0,0.0,100.0
Arrelious Benn,5564,WR,12,JAX,52,10,19.2,6,11.5,1,16.7,1,0,9,1.5,0,0.0,100.0
Nick Boyle,9604,TE,6,BLT,17,6,35.3,10,58.8,5,50.0,5,0,37,3.7,0,0.0,100.0
DeAndre Smelter,9565,WR,2,SF,26,1,3.8,8,30.8,1,12.5,1,0,23,2.88,0,0.0,100.0
Javorius Allen,9558,HB,3,BLT,18,3,16.7,2,11.1,1,50.0,1,0,7,3.5,0,0.0,100.0
Ty Montgomery,9527,HB,14,GB,239,49,20.5,56,23.4,10,17.9,10,0,66,1.18,0,0.0,100.0
Tyler Kroft,9518,TE,14,CIN,112,12,10.7,26,23.2,3,11.5,3,0,41,1.58,0,0.0,100.0
