player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
Tom Brady,698,QB,16,NE,1096,675,0,421,0,0,0,0,0,92.9,,60.0,4,1,3,8,2,0
Drew Brees,802,QB,16,NO,1004,589,0,415,0,0,0,0,0,86.4,,60.0,1,2,4,7,5,0
Josh McCown,1085,QB,13,NYJ,797,482,0,315,0,0,0,0,0,67.9,,60.0,8,1,8,17,3,0
Carson Palmer,1317,QB,7,ARZ,445,312,0,133,0,0,0,0,0,65.3,,60.5,2,0,1,3,1,0
Jason Witten,1384,TE,16,DAL,524,0,80,444,1,0,0,0,0,60.6,64.4,61.9,1,1,3,5,4,0
Antonio Gates,1609,TE,16,LAC,160,0,21,139,0,0,0,0,0,66.1,53.0,59.7,0,1,2,3,1,0
Eli Manning,1722,QB,15,NYG,1009,645,0,364,0,0,0,0,0,68.9,,60.0,1,2,4,7,3,0
Larry Fitzgerald,1724,WR,16,ARZ,372,1,3,368,0,0,0,0,0,80.0,74.5,71.4,0,1,0,1,2,1
Philip Rivers,1725,QB,16,LAC,1010,634,0,376,0,0,0,0,0,80.4,,60.5,5,4,3,12,13,0
Ben Roethlisberger,1732,QB,15,PIT,1018,635,0,383,0,0,0,0,0,87.7,,60.0,4,2,4,10,1,0
Benjamin Watson,1753,TE,16,BLT,269,0,27,242,19,0,0,0,6,60.7,72.8,50.8,0,0,1,1,1,0
Don Muhlbach,2130,LS,1,DET,2,0,0,2,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Jason Peters,2148,T,7,PHI,423,0,252,171,424,0,0,0,0,84.2,90.6,72.2,1,0,6,7,1,0
Alex Smith,2218,QB,15,KC,933,605,1,327,0,0,0,0,0,79.6,61.2,60.2,8,4,6,18,6,1
Aaron Rodgers,2241,QB,7,GB,409,302,0,107,0,0,0,0,0,79.2,,60.0,6,3,3,12,3,0
Khalif Barnes,2269,T,2,ARZ,8,0,0,8,0,0,0,0,0,49.6,,52.6,0,0,0,0,0,0
Frank Gore,2282,HB,16,IND,87,0,74,13,0,0,0,0,0,70.4,72.6,59.9,1,1,5,7,2,0
Richie Incognito,2298,G,16,BUF,1041,0,596,445,0,1057,0,0,0,72.2,84.1,62.5,2,2,11,15,6,0
Dustin Colquitt,2316,P,1,KC,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Darren Sproles,2347,HB,3,PHI,11,0,9,2,0,0,0,0,0,62.0,49.9,60.0,0,2,1,3,0,0
Joe Berger,2424,G,16,MIN,1113,0,618,495,0,0,77,1056,0,75.1,80.5,69.4,3,2,18,23,3,0
Derek Anderson,2430,QB,3,CAR,13,8,0,5,0,0,0,0,0,48.5,,60.0,0,0,0,0,0,0
Matt Cassel,2447,QB,2,TEN,77,51,0,26,0,0,0,0,0,42.2,,60.0,2,0,0,2,1,0
Ryan Fitzpatrick,2467,QB,6,TB,293,194,0,99,0,0,0,0,0,67.9,,60.0,2,5,0,7,3,0
Jon Condo,2539,LS,2,OAK,2,0,0,2,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
John Denney,2561,LS,1,MIA,1,0,1,0,0,0,0,0,0,60.0,,,0,0,0,0,0,0
John Kuhn,2686,FB,2,NO,7,0,4,3,0,0,0,0,0,64.8,29.8,57.9,0,0,0,0,0,0
L.P. Ladouceur,2687,LS,2,DAL,2,0,1,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Vernon Davis,2951,TE,16,WAS,398,0,70,328,0,0,0,0,8,61.7,58.0,48.5,1,4,1,6,5,0
Jay Cutler,2956,QB,14,MIA,748,476,0,272,0,0,0,0,0,58.4,,60.2,2,2,5,9,1,0
Marcedes Lewis,2973,TE,16,JAX,496,0,62,434,0,0,0,0,0,66.1,64.9,76.0,1,1,2,4,5,0
Kellen Clemens,2994,QB,3,LAC,31,8,0,23,0,0,0,0,0,54.9,,60.0,0,0,0,0,0,0
Anthony Fasano,2998,TE,16,MIA,377,0,128,249,2,0,0,0,5,59.0,73.0,62.9,1,0,4,5,3,1
Andrew Whitworth,3000,T,15,LA,917,0,534,383,955,0,0,0,0,81.7,81.1,75.1,6,4,14,24,5,0
Eric Winston,3011,T,4,CIN,201,0,122,79,45,0,0,1,158,53.1,54.5,47.9,1,0,6,7,0,0
Jahri Evans,3053,G,14,GB,912,0,609,303,0,0,0,928,0,70.4,78.6,63.0,2,3,17,22,3,0
Brandon Marshall,3064,WR,5,NYG,73,0,0,73,0,0,0,0,0,62.2,,77.0,0,0,0,0,0,0
Domata Peko Sr.,3068,DI,1,DEN,2,0,1,1,0,0,0,0,0,60.0,69.7,60.0,0,0,0,0,1,0
Delanie Walker,3120,TE,16,TEN,273,0,29,244,3,0,0,0,7,78.0,75.4,70.7,0,0,2,2,3,1
Sam Koch,3148,P,2,BLT,2,2,0,0,0,0,0,0,0,76.1,,,0,0,0,0,0,0
Zach Strief,3155,T,2,NO,83,0,51,32,0,0,0,0,83,68.5,70.6,63.5,0,0,2,2,1,0
Tony McDaniel,3423,DI,1,NO,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Donald Penn,3459,T,14,OAK,819,0,521,298,837,0,0,0,0,79.4,77.7,78.9,4,2,19,25,8,2
Matt Prater,3471,K,1,DET,1,0,0,1,0,0,0,0,0,60.0,,60.0,0,0,0,0,0,0
Jon Ryan,3493,P,1,SEA,1,1,0,0,0,0,0,0,0,61.3,,,0,0,0,0,0,0
Joe Thomas,3619,T,7,CLV,465,0,331,134,468,0,0,0,0,84.7,90.1,67.8,0,2,10,12,1,0
Adrian Peterson,3623,HB,10,ARZ,34,0,20,14,0,0,0,0,0,51.8,21.5,69.8,0,3,2,5,3,1
Ted Ginn Jr.,3625,WR,15,NO,172,0,1,171,0,0,0,0,0,68.5,66.1,55.6,0,0,0,0,2,0
Marshawn Lynch,3628,HB,15,OAK,50,0,41,9,0,0,0,0,0,74.6,91.5,60.0,0,0,0,0,1,0
Joe Staley,3644,T,15,SF,983,0,606,377,1008,0,0,0,0,89.6,85.2,85.2,4,5,15,24,3,0
Greg Olsen,3647,TE,7,CAR,178,0,13,165,6,0,0,0,0,65.5,73.9,56.4,0,0,1,1,2,0
