year,player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
2017,Davon House,6283,CB,12,GB,378,1,0.3,1,0,0,1,100,1,100,1,0,0,1,100,0,0,0,0,0,0,
2017,Shaquill Griffin,11845,CB,15,SEA,510,1,0.2,1,0,0,1,100,1,100,1,0,0,1,100,0,0,0,0,0,0,
2017,William Jackson III,10658,CB,14,CIN,395,1,0.3,1,0,0,1,100,0,0,0,0,0,0,,1,100,1,0,0,1,100
2017,Jerrell Freeman,4888,LB,1,CHI,32,1,3.1,0,0,1,1,50,0,0,0,0,0,0,,1,100,0,0,1,1,50
2017,Xavien Howard,10672,CB,16,MIA,562,3,0.5,1,0,1,2,50,1,33.3,0,0,0,0,0,2,66.7,1,0,1,2,75
2017,Steven Terrell,8450,S,2,KC,56,1,1.8,0,0,1,1,50,1,100,0,0,1,1,50,0,0,0,0,0,0,
2017,Dymonte Thomas,49127,S,3,DEN,51,2,3.9,0,1,1,2,50,1,50,0,1,0,1,50,1,50,0,0,1,1,50
2017,Cameron Lynch,9911,LB,2,LA,4,1,25,0,0,1,1,50,1,100,0,0,1,1,50,0,0,0,0,0,0,
2017,Jimmie Ward,8665,S,7,SF,225,2,0.9,0,0,2,2,50,1,50,0,0,1,1,50,1,50,0,0,1,1,50
2017,Dexter McDonald,9675,CB,14,OAK,334,1,0.3,0,0,1,1,50,1,100,0,0,1,1,50,0,0,0,0,0,0,
2017,Casey Hayward Jr.,7064,CB,16,LAC,567,1,0.2,0,0,1,1,50,1,100,0,0,1,1,50,0,0,0,0,0,0,
2017,Earl Thomas III,5539,S,14,SEA,511,1,0.2,0,0,1,1,50,0,0,0,0,0,0,,1,100,0,0,1,1,50
2017,Charles Washington,11137,S,12,DET,60,2,3.3,1,0,0,1,50,2,100,1,0,0,1,50,0,0,0,0,0,0,
2017,Marcus Peters,9451,CB,14,KC,541,1,0.2,0,0,1,1,50,1,100,0,0,1,1,50,0,0,0,0,0,0,
2017,Blair Brown,11903,LB,6,JAX,22,3,13.6,1,1,0,2,50,1,50,1,0,0,1,100,1,50,0,1,0,1,50
2017,Montae Nicholson,11878,S,7,WAS,192,2,1,0,1,1,2,50,1,50,0,1,0,1,50,1,50,0,0,1,1,50
2017,D.J. Hayden,7793,CB,16,DET,275,2,0.7,1,0,0,1,50,0,0,0,0,0,0,,2,100,1,0,0,1,50
2017,Desmond Trufant,7803,CB,15,ATL,541,2,0.4,1,0,0,1,50,2,100,1,0,0,1,50,0,0,0,0,0,0,
2017,Devin McCourty,5552,S,16,NE,629,4,0.6,1,0,1,2,37.5,3,75,1,0,1,2,50,1,25,0,0,0,0,0
2017,Mike Mitchell,4970,S,13,PIT,385,3,0.8,0,1,1,2,33.3,1,33.3,0,1,0,1,50,2,66.7,0,0,1,1,25
2017,Cody Davis,8458,S,7,LA,165,3,1.8,0,1,1,2,33.3,1,33.3,0,0,0,0,0,2,66.7,0,1,1,2,50
2017,Daryl Worley,10711,CB,15,CAR,456,5,1.1,1,0,1,2,30,1,20,0,0,0,0,0,4,80,1,0,1,2,37.5
2017,Eric Murray,10740,S,14,KC,303,7,2.3,1,0,2,3,28.6,2,28.6,0,0,1,1,25,5,71.4,1,0,1,2,30
2017,Corey Graham,3784,S,14,PHI,264,9,3.4,0,0,5,5,27.8,4,50,0,0,1,1,12.5,4,50,0,0,3,3,37.5
2017,Mackensie Alexander,10688,CB,14,MIN,240,9,3.8,0,1,4,5,27.8,4,44.4,0,0,2,2,25,5,55.6,0,1,2,3,30
2017,Jason McCourty,5127,CB,14,CLV,495,4,0.8,0,0,2,2,25,0,0,0,0,0,0,,4,100,0,0,2,2,25
2017,Antoine Bethea,3152,S,15,ARZ,478,8,1.7,1,1,1,3,25,6,75,1,1,0,2,25,2,25,0,0,1,1,25
2017,Alterraun Verner,5628,CB,6,MIA,106,2,1.9,0,0,1,1,25,2,100,0,0,1,1,25,0,0,0,0,0,0,
2017,James Bradberry,10696,CB,16,CAR,624,4,0.6,1,0,0,1,25,2,50,1,0,0,1,50,2,50,0,0,0,0,0
2017,Jonathan Jones,11217,CB,14,NE,328,8,2.4,1,0,2,3,25,5,62.5,0,0,0,0,0,3,37.5,1,0,2,3,66.7
2017,Bradley McDougald,8220,S,15,SEA,370,2,0.5,0,0,1,1,25,1,50,0,0,1,1,50,1,50,0,0,0,0,0
2017,Johnathan Joseph,2969,CB,16,HST,455,2,0.4,0,0,1,1,25,2,100,0,0,1,1,25,0,0,0,0,0,0,
2017,Kurtis Drummond,10015,S,7,HST,26,4,15.4,1,0,0,1,25,1,25,0,0,0,0,0,3,75,1,0,0,1,33.3
2017,Kai Nacua,12102,S,6,CLV,129,2,1.6,0,1,0,1,25,0,0,0,0,0,0,,2,100,0,1,0,1,25
2017,Pierre Desir,8762,CB,8,IND,228,2,0.9,0,0,1,1,25,0,0,0,0,0,0,,2,100,0,0,1,1,25
2017,Malcolm Butler,9040,CB,16,NE,645,10,1.6,1,2,1,4,25,7,70,1,1,1,3,28.6,3,30,0,1,0,1,16.7
2017,Lorenzo Jerome,12308,S,4,SF,47,2,4.3,0,1,0,1,25,0,0,0,0,0,0,,1,100,0,0,0,0,0
