player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
Vontaze Burfict,7280,LB,8,CIN,30,3,0,0,0,0,0,39.6,0.0,10.0,
Coty Sensabaugh,7115,CB,1,PIT,1,1,0,0,0,0,0,39.6,0.0,1.0,
Dylan Cole,24304,LB,4,HST,5,1,0,0,0,0,1,0.0,0.0,5.0,
Josh Harvey-Clemons,11985,LB,4,WAS,5,1,0,0,0,0,0,39.6,0.0,5.0,
Jalen Myrick,11977,CB,1,JAX,1,1,0,0,0,0,0,39.6,0.0,1.0,
Treston Decoud,11924,CB,1,HST,1,1,0,0,0,0,0,39.6,0.0,1.0,
Cordrea Tankersley,11852,CB,6,MIA,7,1,0,0,0,0,0,39.6,0.0,7.0,
Kevin King,11788,CB,5,GB,13,1,0,0,0,0,0,39.6,0.0,13.0,
Justin Durant,3664,LB,4,DAL,4,1,0,0,0,0,0,39.6,0.0,4.0,
Hardy Nickerson,50712,LB,3,CIN,10,1,0,0,0,0,0,39.6,0.0,10.0,
Marlon Humphrey,11771,CB,6,BLT,10,1,0,0,0,0,0,39.6,0.0,10.0,
Kalan Reed,10887,CB,1,TEN,4,1,0,0,0,0,0,39.6,0.0,4.0,
Rashard Robinson,10767,CB,6,NYJ,9,1,0,0,0,0,0,39.6,0.0,9.0,
Joe Haden,5532,CB,2,PIT,3,1,0,0,0,0,0,39.6,0.0,3.0,
Tye Smith,9603,CB,2,TEN,5,1,0,0,0,0,0,39.6,0.0,5.0,
Preston Smith,9471,ED,10,WAS,14,1,0,0,0,0,0,39.6,0.0,14.0,
Frank Zombo,5945,ED,3,KC,3,1,0,0,0,0,0,39.6,0.0,3.0,
Bud Dupree,9455,ED,11,PIT,26,3,0,0,0,0,0,39.6,0.0,8.7,
Da'Norris Searcy,6252,S,7,TEN,17,1,0,0,0,0,0,39.6,0.0,17.0,
Pierre Desir,8762,CB,5,IND,28,1,0,0,0,0,0,39.6,0.0,28.0,
Maurice Alexander,8745,S,4,LA,13,1,0,0,0,0,0,39.6,0.0,13.0,
Jaylen Watkins,8736,CB,6,PHI,21,1,0,0,0,0,0,39.6,0.0,21.0,
Nick Bellore,6515,LB,2,DET,3,1,0,0,0,0,0,39.6,0.0,3.0,
Cody Davis,8458,S,4,LA,6,1,0,0,0,0,0,39.6,0.0,6.0,
