player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
Cobi Hamilton,7978,WR,2,HST,6,1,0,1,0.0
Charcandrick West,9047,HB,13,KC,31,27,0,27,0.0
Senorise Perry,9035,HB,2,MIA,1,1,0,1,0.0
Eddie Lacy,7842,HB,8,SEA,6,6,0,6,0.0
Willie Snead IV,8999,WR,11,NO,13,8,0,8,0.0
Jeff Janis,8870,WR,3,GB,5,2,0,2,0.0
Jay Prosch,8845,FB,13,HST,4,4,0,4,0.0
Matt Hazel,8825,WR,3,CLV,1,1,0,1,0.0
Markus Wheaton,7860,WR,11,CHI,17,3,0,3,0.0
Alfred Blue,8816,HB,7,HST,8,7,0,7,0.0
Jared Abbrederis,8811,WR,7,DET,7,3,0,3,0.0
De'Anthony Thomas,8759,WR,16,KC,16,14,0,14,0.0
Logan Thomas,8755,TE,10,BUF,9,7,0,7,0.0
Allen Robinson II,8696,WR,1,JAX,1,1,0,1,0.0
Jeremy Hill,8690,HB,7,CIN,4,4,0,4,0.0
Mike Gillislee,7946,HB,8,NE,1,1,0,1,0.0
Sammy Watkins,8639,WR,15,LA,66,39,0,39,0.0
Kenjon Barner,7963,HB,12,PHI,8,5,0,5,0.0
Fozzy Whittaker,8547,HB,8,CAR,6,5,0,5,0.0
Josh Hill,8200,TE,16,NO,22,16,0,16,0.0
Patrick Ricard,48862,FB,10,BLT,4,4,0,4,0.0
De'Veon Smith,45671,HB,1,MIA,3,3,0,3,0.0
Emanuel Byrd,25432,TE,1,GB,2,2,0,2,0.0
Antony Auclair,24606,TE,7,TB,2,2,0,2,0.0
Cole Hikutini,12276,TE,3,SF,2,2,0,2,0.0
Tion Green,12185,HB,5,DET,2,2,0,2,0.0
Anthony Fasano,2998,TE,14,MIA,15,12,0,12,0.0
Bobo Wilson,12067,WR,3,TB,1,1,0,1,0.0
Jacob Hollister,12051,TE,11,NE,9,4,0,4,0.0
Matt Dayes,12006,HB,6,CLV,5,4,0,4,0.0
Chris Carson,12004,HB,4,SEA,7,7,0,7,0.0
Devante Mays,11994,HB,2,GB,3,3,0,3,0.0
Greg Olsen,3647,TE,7,CAR,34,17,0,17,0.0
De'Angelo Henderson Sr.,11958,HB,2,DEN,2,2,0,2,0.0
Eric Weems,4097,WR,3,TEN,2,1,0,1,0.0
Aaron Jones,11937,HB,9,GB,13,9,0,9,0.0
Chris Johnson,4338,HB,4,ARZ,6,5,0,5,0.0
Shelton Gibson,11921,WR,2,PHI,3,2,0,2,0.0
Jamal Agnew,11920,CB,4,DET,2,2,0,2,0.0
Brian Hill,11911,HB,2,CIN,2,2,0,2,0.0
Jeremy Sprinkle,11909,TE,7,WAS,3,2,0,2,0.0
Harry Douglas,4398,WR,2,TEN,3,1,0,1,0.0
Pierre Garcon,4519,WR,8,SF,65,40,0,40,0.0
Chad Hansen,11896,WR,14,NYJ,15,9,0,9,0.0
Jehu Chesson,11894,WR,4,KC,4,2,0,2,0.0
Danny Woodhead,4914,HB,8,BLT,37,33,0,33,0.0
Darrius Heyward-Bey,4930,WR,11,PIT,3,2,0,2,0.0
Josh Malone,11883,WR,11,CIN,16,6,0,6,0.0
Amara Darboh,11861,WR,16,SEA,13,8,0,8,0.0
Chad Williams,11853,WR,6,ARZ,5,3,0,3,0.0
D'Onta Foreman,11844,HB,9,HST,7,6,0,6,0.0
ArDarius Stewart,11834,WR,14,NYJ,12,6,0,6,0.0
Taywan Taylor,11827,WR,16,TEN,26,16,0,16,0.0
Louis Murphy Jr.,5048,WR,7,SF,16,8,0,8,0.0
