year,player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
2017,DeAndre Hopkins,7808,WR,15,HST,164,96,58.5,1378,13,90.2,90.3,80.4,57.1,,14.4,346,3.6,72,69,5,6,1,4,97.1,6,1
2017,Jarvis Landry,8698,WR,16,MIA,156,112,71.8,987,9,79.5,80.2,76.6,28.8,62.2,8.8,523,4.7,49,59,7,4,3,17,96.8,7,2
2017,Antonio Brown,5718,WR,14,PIT,155,101,65.2,1533,9,91.2,91.3,77.4,27.8,,15.2,475,4.7,57,69,5,6,3,12,100.8,6,0
2017,Larry Fitzgerald,1724,WR,16,ARZ,153,109,71.2,1156,6,80,78.8,90.4,60.3,74.5,10.6,418,3.8,37,66,4,1,1,9,103.3,2,1
2017,Keenan Allen,7857,WR,16,LAC,147,102,69.4,1393,6,89.3,89.7,54.2,58.7,67.4,13.7,523,5.1,51,74,11,2,1,13,107.3,7,2
2017,Julio Jones,6158,WR,16,ATL,143,88,61.5,1444,3,91.7,91.5,59.3,82.8,,16.4,489,5.6,53,67,8,3,0,12,93.7,2,1
2017,Michael Thomas,10681,WR,16,NO,139,104,74.8,1245,5,90.6,90.9,90.8,83.8,,12,449,4.3,43,70,2,3,0,13,104.8,4,1
2017,Demaryius Thomas,5547,WR,16,DEN,136,83,61,949,5,74.1,73,45,53.1,,11.4,291,3.5,40,53,10,9,1,9,66.7,3,0
2017,Adam Thielen,8288,WR,16,MIN,135,91,67.4,1276,4,82.5,80.3,73.6,26.6,66.8,14,431,4.7,65,58,5,1,3,8,104.4,4,0
2017,A.J. Green,6156,WR,16,CIN,134,75,56,1078,8,82.2,82.7,71.7,27.8,,14.4,292,3.9,77,55,5,7,2,8,80.4,5,0
2017,Mike Evans,8642,WR,15,TB,132,71,53.8,1001,5,79.3,78.7,77,81.7,,14.1,108,1.5,42,55,4,5,1,2,75.3,6,2
2017,Dez Bryant,5549,WR,16,DAL,126,69,54.8,838,6,72.7,71.8,28.9,48.1,,12.1,290,4.2,50,44,12,5,1,14,74.8,1,0
2017,Travis Kelce,7844,TE,15,KC,117,83,70.9,1038,8,82.5,86.3,64.4,82.7,49.7,12.5,420,5.1,44,55,7,3,0,16,110.3,5,0
2017,Golden Tate,5585,WR,16,DET,117,92,78.6,1003,5,82.7,82.3,83.2,59.1,,10.9,631,6.9,71,44,4,5,1,22,98.8,2,0
2017,Alshon Jeffery,7048,WR,16,PHI,113,57,50.4,789,9,74.3,75,77,80.5,,13.8,202,3.5,53,44,3,1,0,2,96.1,7,2
2017,Doug Baldwin,6615,WR,16,SEA,112,75,67,991,8,84.4,83.3,90.5,81.8,79.6,13.2,260,3.5,54,44,1,4,0,8,103.7,2,0
2017,Robby Anderson,11254,WR,16,NYJ,111,63,56.8,941,7,71.4,72.6,60.3,80.9,,14.9,285,4.5,69,36,6,5,0,5,87,2,0
2017,Devin Funchess,9474,WR,16,CAR,109,63,57.8,840,8,71.7,71.8,66.6,80.8,68.1,13.3,282,4.5,44,40,3,4,0,4,91.5,2,0
2017,Brandin Cooks,8655,WR,16,NE,109,65,59.6,1082,7,70.9,71.9,61.1,82.2,,16.6,235,3.6,64,42,7,2,0,5,106.9,6,1
2017,Evan Engram,11778,TE,15,NYG,108,64,59.3,722,6,62.2,65.9,29.8,81.2,78,11.3,303,4.7,35,37,11,4,0,9,82.4,7,1
2017,Davante Adams,8688,WR,14,GB,108,74,68.5,885,10,80.5,79.4,65,81.6,,12,345,4.7,55,45,5,1,0,14,120.3,0,0
2017,Christian McCaffrey,11763,HB,16,CAR,106,80,75.5,651,5,73.9,82.9,84.3,80.2,32.3,8.1,595,7.4,37,36,3,3,0,19,94.5,1,1
2017,Marvin Jones Jr.,7158,WR,16,DET,105,61,58.1,1101,9,76.3,75.8,71.4,80.6,65,18,196,3.2,58,44,4,3,0,9,110.9,5,2
2017,Delanie Walker,3120,TE,16,TEN,104,74,71.2,807,3,78,76.9,77.5,28.1,75.4,10.9,253,3.4,42,43,3,4,2,4,87.3,3,1
2017,Le'Veon Bell,7829,HB,15,PIT,103,85,82.5,655,2,71,73.2,80.2,82.2,77.9,7.7,678,8,42,30,4,1,1,17,95.6,2,0
2017,Tyreek Hill,10799,WR,15,KC,102,75,73.5,1183,7,81.4,84.1,77.4,87.9,61.6,15.8,447,6,79,41,4,1,0,8,130.5,3,1
2017,Zach Ertz,7816,TE,14,PHI,102,74,72.5,824,8,77.7,83.8,76.7,27.7,59.3,11.1,255,3.4,53,46,4,2,1,3,114.2,4,0
2017,T.Y. Hilton,7092,WR,16,IND,102,57,55.9,966,4,68.9,69.2,69,25.5,,16.9,295,5.2,80,37,4,4,2,2,84.8,5,1
2017,Jack Doyle,8520,TE,15,IND,102,80,78.4,690,4,70.8,68.3,74,28.6,61.8,8.6,340,4.3,26,34,4,1,2,7,103.8,1,0
2017,Kenny Stills,7926,WR,16,MIA,101,58,57.4,847,6,59.9,62.5,76.4,18.5,,14.6,162,2.8,61,35,3,5,4,5,84.1,9,1
2017,Rob Gronkowski,5567,TE,14,NE,100,69,69,1084,8,90.1,90.3,64.9,48.9,72.6,15.7,344,5,53,56,5,1,1,8,127.3,9,1
2017,Michael Crabtree,4933,WR,14,OAK,99,58,58.6,618,8,72,71.7,59.2,43.9,,10.7,196,3.4,41,34,6,2,1,7,95.4,7,2
2017,Marquise Goodwin,7859,WR,16,SF,99,56,56.6,962,2,77,76.4,48.3,80.5,,17.2,193,3.4,83,46,6,2,0,6,88,5,1
2017,Jermaine Kearse,7428,WR,16,NYJ,96,65,67.7,810,5,69.7,69.4,80.6,47.3,72.2,12.5,302,4.6,51,37,3,3,1,4,98,2,0
2017,Alvin Kamara,11822,HB,16,NO,96,81,84.4,826,5,90.5,91.2,75.1,79,72.2,10.2,703,8.7,40,38,5,0,0,29,119.9,0,0
