player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
Deon Bush,10758,S,7,CHI,103,1,1.0,1,0,0,1,100.0,1,100.0,1,0,0,1,100.0,0,0.0,0,0,0,0,
Siran Neal,27130,S,3,BUF,5,1,20.0,1,0,0,1,100.0,0,0.0,0,0,0,0,,1,100.0,1,0,0,1,100.0
Kentrell Brothers,10794,LB,2,MIN,5,1,20.0,1,0,0,1,100.0,1,100.0,1,0,0,1,100.0,0,0.0,0,0,0,0,
Kevin Minter,7826,LB,4,TB,10,1,10.0,1,0,0,1,100.0,1,100.0,1,0,0,1,100.0,0,0.0,0,0,0,0,
Donte Jackson,49377,CB,15,CAR,536,2,0.4,1,0,1,2,75.0,1,50.0,1,0,0,1,100.0,1,50.0,0,0,1,1,50.0
Jalen Davis,50431,CB,3,MIA,31,2,6.5,1,1,0,2,75.0,1,50.0,1,0,0,1,100.0,1,50.0,0,1,0,1,50.0
Casey Hayward Jr.,7064,CB,16,LAC,599,1,0.2,0,0,1,1,50.0,1,100.0,0,0,1,1,50.0,0,0.0,0,0,0,0,
Datone Jones,7807,DI,1,DAL,1,1,100.0,0,1,0,1,50.0,0,0.0,0,0,0,0,,1,100.0,0,1,0,1,50.0
Desmond Trufant,7803,CB,16,ATL,630,4,0.6,1,0,2,3,50.0,3,75.0,1,0,1,2,50.0,1,25.0,0,0,1,1,50.0
Richard Sherman,6306,CB,14,SF,503,2,0.4,1,0,0,1,50.0,2,100.0,1,0,0,1,50.0,0,0.0,0,0,0,0,
Isaiah Johnson,9753,S,1,LA,5,1,20.0,0,1,0,1,50.0,1,100.0,0,1,0,1,50.0,0,0.0,0,0,0,0,
Shalom Luani,11976,S,2,SEA,8,1,12.5,0,1,0,1,50.0,0,0.0,0,0,0,0,,1,100.0,0,1,0,1,50.0
Stephon Gilmore,7016,CB,16,NE,642,2,0.3,1,0,0,1,50.0,1,50.0,1,0,0,1,100.0,1,50.0,0,0,0,0,0.0
Jordan Lucas,10838,S,7,KC,164,3,1.8,1,1,0,2,50.0,2,66.7,0,1,0,1,25.0,1,33.3,1,0,0,1,100.0
Josh Keyes,9943,LB,1,HST,16,1,6.3,0,1,0,1,50.0,0,0.0,0,0,0,0,,1,100.0,0,1,0,1,50.0
Marcus Peters,9451,CB,16,LA,539,1,0.2,0,1,0,1,50.0,1,100.0,0,1,0,1,50.0,0,0.0,0,0,0,0,
Dymonte Thomas,49127,S,3,DEN,30,2,6.7,1,0,0,1,50.0,1,50.0,1,0,0,1,100.0,1,50.0,0,0,0,0,0.0
Armani Watts,51264,S,5,KC,48,3,6.3,1,1,0,2,50.0,1,33.3,0,1,0,1,50.0,2,66.7,1,0,0,1,50.0
Kenny Ladler,9103,S,2,NYG,18,1,5.6,0,1,0,1,50.0,0,0.0,0,0,0,0,,1,100.0,0,1,0,1,50.0
Ben Jacobs,6817,LB,2,CAR,3,1,33.3,0,1,0,1,50.0,0,,0,0,0,0,,0,,0,0,0,0,
Shaun Dion Hamilton,49706,LB,5,WAS,49,8,16.3,2,3,0,5,43.8,1,16.7,1,0,0,1,100.0,5,83.3,1,2,0,3,40.0
Malcolm Butler,9040,CB,16,TEN,514,6,1.2,1,0,3,4,41.7,1,16.7,0,0,0,0,0.0,5,83.3,1,0,3,4,50.0
Rayshawn Jenkins,11868,S,8,LAC,77,4,5.2,1,1,0,2,37.5,3,75.0,1,0,0,1,33.3,1,25.0,0,1,0,1,50.0
Bobby McCain,9578,CB,14,MIA,432,8,1.9,2,0,2,4,37.5,5,62.5,2,0,1,3,50.0,3,37.5,0,0,1,1,16.7
Bryce Callahan,10000,CB,13,CHI,459,22,4.8,2,3,8,13,34.1,18,81.8,2,3,8,13,41.7,4,18.2,0,0,0,0,0.0
Kavon Frazier,10846,S,6,DAL,102,3,2.9,1,0,0,1,33.3,2,66.7,1,0,0,1,50.0,1,33.3,0,0,0,0,0.0
James Bradberry,10696,CB,16,CAR,587,3,0.5,1,0,0,1,33.3,2,66.7,1,0,0,1,50.0,1,33.3,0,0,0,0,0.0
Jahleel Addae,8117,S,16,LAC,604,8,1.3,1,0,3,4,31.3,5,62.5,1,0,2,3,40.0,3,37.5,0,0,1,1,16.7
Mychal Kendricks,7049,LB,4,SEA,99,10,10.1,2,1,1,4,30.0,4,40.0,2,0,0,2,50.0,6,60.0,0,1,1,2,16.7
Jayron Kearse,10878,CB,15,MIN,124,5,4.0,1,0,1,2,30.0,4,80.0,1,0,1,2,37.5,1,20.0,0,0,0,0,0.0
Ron Parker,6625,S,15,KC,625,5,0.8,1,0,1,2,30.0,5,100.0,1,0,1,2,30.0,0,0.0,0,0,0,0,
Barry Church,5924,S,11,JAX,376,7,1.9,1,1,1,3,28.6,3,42.9,1,1,0,2,50.0,4,57.1,0,0,1,1,12.5
Mackensie Alexander,10688,CB,15,MIN,355,21,5.9,4,1,3,8,28.6,13,61.9,3,1,2,6,34.6,8,38.1,1,0,1,2,18.8
Jaire Alexander,49350,CB,13,GB,438,9,2.1,1,0,3,4,27.8,5,55.6,1,0,1,2,30.0,4,44.4,0,0,2,2,25.0
Karl Joseph,10648,S,13,OAK,244,17,7.0,2,0,5,7,26.5,7,41.2,1,0,1,2,21.4,10,58.8,1,0,4,5,30.0
Mike Hughes,34057,CB,6,MIN,150,2,1.3,0,0,1,1,25.0,2,100.0,0,0,1,1,25.0,0,0.0,0,0,0,0,
DeAndre Houston-Carson,10819,S,8,CHI,36,2,5.6,0,1,0,1,25.0,1,50.0,0,1,0,1,50.0,1,50.0,0,0,0,0,0.0
Nicholas Grigsby,11187,LB,4,DET,15,2,13.3,0,1,0,1,25.0,0,0.0,0,0,0,0,,1,100.0,0,1,0,1,50.0
Sidney Jones,11798,CB,9,PHI,229,2,0.9,0,0,1,1,25.0,1,50.0,0,0,1,1,50.0,1,50.0,0,0,0,0,0.0
Lamarcus Joyner,8676,S,15,LA,537,6,1.1,1,0,1,2,25.0,3,50.0,0,0,1,1,16.7,3,50.0,1,0,0,1,33.3
Jimmy Smith,6179,CB,12,BLT,373,2,0.5,0,0,1,1,25.0,1,50.0,0,0,0,0,0.0,1,50.0,0,0,1,1,50.0
T.J. Carrie,8853,CB,16,CLV,570,8,1.4,1,0,2,3,25.0,4,50.0,0,0,2,2,25.0,4,50.0,1,0,0,1,25.0
Skai Moore,21605,LB,5,IND,32,2,6.3,0,0,1,1,25.0,1,50.0,0,0,1,1,50.0,1,50.0,0,0,0,0,0.0
Brandon Wilson,11962,S,10,CIN,45,2,4.4,0,0,1,1,25.0,2,100.0,0,0,1,1,25.0,0,0.0,0,0,0,0,
Eric Berry,5530,S,2,KC,47,2,4.3,0,0,1,1,25.0,1,50.0,0,0,0,0,0.0,1,50.0,0,0,1,1,50.0
David Amerson,7832,CB,6,ARZ,153,2,1.3,0,0,1,1,25.0,0,0.0,0,0,0,0,,2,100.0,0,0,1,1,25.0
Damontae Kazee,11904,S,16,ATL,578,2,0.3,0,0,1,1,25.0,1,100.0,0,0,0,0,0.0,0,0.0,0,0,0,0,
Levi Wallace,25445,CB,7,BUF,209,2,1.0,0,1,0,1,25.0,0,0.0,0,0,0,0,,2,100.0,0,1,0,1,25.0
Adrian Colbert,11983,S,6,SF,203,2,1.0,0,0,1,1,25.0,0,0.0,0,0,0,0,,1,100.0,0,0,0,0,0.0
D.J. Reed Jr.,26940,S,11,SF,200,8,4.0,1,0,2,3,25.0,3,37.5,0,0,1,1,16.7,5,62.5,1,0,1,2,30.0
Justin Evans,11805,S,10,TB,352,2,0.6,0,0,1,1,25.0,1,50.0,0,0,0,0,0.0,1,50.0,0,0,1,1,50.0
Taron Johnson,49511,CB,11,BUF,259,11,4.2,1,0,3,4,22.7,6,54.5,1,0,1,2,25.0,5,45.5,0,0,2,2,20.0
Sean Chandler,51315,S,11,NYG,104,11,10.6,1,2,1,4,22.7,6,54.5,1,1,1,3,33.3,5,45.5,0,1,0,1,10.0
Glover Quin,5035,S,16,DET,458,7,1.5,1,1,0,2,21.4,7,100.0,1,1,0,2,21.4,0,0.0,0,0,0,0,
Sherrick McManis,5667,CB,15,CHI,186,21,11.3,1,2,5,8,21.4,7,33.3,1,0,2,3,28.6,14,66.7,0,2,3,5,17.9
Austin Calitro,50640,LB,8,SEA,141,7,5.0,1,0,1,2,21.4,4,57.1,1,0,0,1,25.0,3,42.9,0,0,1,1,16.7
Akeem King,9682,CB,9,SEA,95,5,5.3,0,1,1,2,20.0,2,40.0,0,0,0,0,0.0,3,60.0,0,1,1,2,33.3
Nevin Lawson,8768,CB,15,DET,485,5,1.0,1,0,0,1,20.0,2,40.0,0,0,0,0,0.0,3,60.0,1,0,0,1,33.3
Jason Cabinda,50714,LB,10,OAK,50,5,10.0,0,0,2,2,20.0,2,66.7,0,0,1,1,25.0,1,33.3,0,0,0,0,0.0
Adrian Amos,9575,S,16,CHI,665,5,0.8,0,0,2,2,20.0,4,80.0,0,0,1,1,12.5,1,20.0,0,0,1,1,50.0
Buster Skrine,6289,CB,14,NYJ,410,23,5.6,1,2,5,8,19.6,9,39.1,0,0,2,2,11.1,14,60.9,1,2,3,6,25.0
Rafael Bush,5779,CB,14,BUF,250,18,7.2,2,1,2,5,19.4,9,50.0,1,1,0,2,16.7,9,50.0,1,0,2,3,22.2
Eric Murray,10740,S,15,KC,446,13,2.9,0,1,4,5,19.2,8,61.5,0,1,4,5,31.3,5,38.5,0,0,0,0,0.0
Kevin Byard,10698,S,16,TEN,598,21,3.5,2,3,1,6,19.0,13,72.2,0,1,0,1,3.8,5,27.8,1,2,1,4,50.0
James Burgess,11202,LB,3,CLV,30,8,26.7,0,0,3,3,18.8,6,85.7,0,0,2,2,16.7,1,14.3,0,0,1,1,50.0
Antone Exum Jr.,8817,S,12,SF,316,8,2.5,1,1,0,2,18.8,3,37.5,1,0,0,1,33.3,5,62.5,0,1,0,1,10.0
Logan Ryan,7864,CB,14,TEN,510,32,6.3,4,1,3,8,18.8,16,50.0,2,0,1,3,15.6,16,50.0,2,1,2,5,21.9
Damarious Randall,9463,S,15,CLV,639,11,1.7,0,1,3,4,18.2,4,36.4,0,0,1,1,12.5,7,63.6,0,1,2,3,21.4
Kenny Vaccaro,7796,S,13,TEN,432,14,3.2,0,2,3,5,17.9,3,21.4,0,0,1,1,16.7,11,78.6,0,2,2,4,18.2
Antoine Bethea,3152,S,16,ARZ,573,42,7.3,3,3,6,12,17.9,29,69.0,2,2,5,9,19.0,13,31.0,1,1,1,3,15.4
Derwin James,51368,S,16,LAC,607,62,10.2,4,2,12,18,17.7,25,41.7,2,1,5,8,20.0,35,58.3,2,1,6,9,15.7
Eric Reid,7799,S,13,CAR,434,17,3.9,1,0,4,5,17.6,6,35.3,0,0,2,2,16.7,11,64.7,1,0,2,3,18.2
Desmond King II,11906,CB,16,LAC,501,17,3.4,0,1,5,6,17.6,12,70.6,0,1,4,5,20.8,5,29.4,0,0,1,1,10.0
Darius Leonard,49684,LB,15,IND,542,43,7.9,6,1,2,9,17.4,23,56.1,2,0,0,2,8.7,18,43.9,4,1,1,6,27.8
D.J. Swearinger Sr.,7838,S,15,ARZ,574,23,4.0,2,1,3,6,17.4,13,56.5,2,0,3,5,26.9,10,43.5,0,1,0,1,5.0
Anthony Brown,10823,CB,15,DAL,446,23,5.2,2,1,3,6,17.4,13,56.5,1,1,2,4,19.2,10,43.5,1,0,1,2,15.0
Patrick Onwuasor,11100,LB,16,BLT,235,52,22.1,6,6,0,12,17.3,28,56.0,4,4,0,8,21.4,22,44.0,2,2,0,4,13.6
David Mayo,9602,LB,7,CAR,65,12,18.5,0,0,4,4,16.7,6,66.7,0,0,1,1,8.3,3,33.3,0,0,2,2,33.3
Brock Coyle,8929,LB,1,SF,40,3,7.5,0,0,1,1,16.7,2,66.7,0,0,1,1,25.0,1,33.3,0,0,0,0,0.0
Su'a Cravens,10687,S,5,DEN,85,6,7.1,0,1,1,2,16.7,5,83.3,0,1,1,2,20.0,1,16.7,0,0,0,0,0.0
Ken Crawley,11224,CB,10,NO,251,3,1.2,0,0,1,1,16.7,3,100.0,0,0,1,1,16.7,0,0.0,0,0,0,0,
B.W. Webb,7896,CB,16,NYG,575,15,2.6,1,1,2,4,16.7,7,46.7,0,0,1,1,7.1,8,53.3,1,1,1,3,25.0
Jeff Heath,8396,S,16,DAL,595,6,1.0,0,0,2,2,16.7,2,33.3,0,0,1,1,25.0,4,66.7,0,0,1,1,12.5
Phillip Gaines,8722,CB,9,CLV,212,3,1.4,0,0,1,1,16.7,1,33.3,0,0,0,0,0.0,2,66.7,0,0,1,1,25.0
Ronnie Harrison,49206,S,12,JAX,173,9,5.2,1,0,1,2,16.7,4,44.4,0,0,0,0,0.0,5,55.6,1,0,1,2,30.0
Curtis Riley,10109,S,16,NYG,579,12,2.1,0,1,3,4,16.7,3,25.0,0,0,1,1,16.7,9,75.0,0,1,2,3,16.7
Raven Greene,24750,S,3,GB,33,6,18.2,1,0,0,1,16.7,3,60.0,0,0,0,0,0.0,2,40.0,1,0,0,1,50.0
Mark Barron,7013,LB,12,LA,283,6,2.1,1,0,0,1,16.7,4,66.7,1,0,0,1,25.0,2,33.3,0,0,0,0,0.0
Andre Hal,8850,S,8,HST,189,3,1.6,0,0,1,1,16.7,3,100.0,0,0,1,1,16.7,0,0.0,0,0,0,0,
DeMarcus Walker,11806,DI,3,DEN,16,16,100.0,1,0,3,4,15.6,6,37.5,0,0,0,0,0.0,10,62.5,1,0,3,4,25.0
Harrison Smith,7641,S,16,MIN,569,39,6.9,3,2,4,9,15.4,17,44.7,0,0,3,3,8.8,21,55.3,3,2,1,6,21.4
Clayton Geathers,9542,S,12,IND,415,13,3.1,0,2,2,4,15.4,6,46.2,0,1,2,3,25.0,7,53.8,0,1,0,1,7.1
Kenny Young,51029,LB,16,BLT,205,53,25.9,2,4,8,14,15.1,26,50.0,0,3,5,8,15.4,26,50.0,2,1,3,6,15.4
Justin Reid,49048,S,16,HST,571,10,1.8,0,1,2,3,15.0,0,0.0,0,0,0,0,,10,100.0,0,1,2,3,15.0
Darqueze Dennard,8659,CB,13,CIN,409,10,2.4,0,0,3,3,15.0,6,60.0,0,0,1,1,8.3,4,40.0,0,0,2,2,25.0
Roquan Smith,50892,LB,16,CHI,573,50,8.7,5,0,5,10,15.0,27,55.1,1,0,3,4,9.3,22,44.9,3,0,2,5,18.2
Mark Nzeocha,9669,LB,10,SF,70,10,14.3,1,1,0,2,15.0,5,50.0,1,1,0,2,30.0,5,50.0,0,0,0,0,0.0
Tyler Patmon,9135,CB,7,JAX,149,10,6.7,0,0,3,3,15.0,2,20.0,0,0,1,1,25.0,8,80.0,0,0,2,2,12.5
Deone Bucannon,8662,LB,10,ARZ,173,27,15.6,1,1,5,7,14.8,13,56.5,0,1,3,4,15.4,10,43.5,1,0,1,2,15.0
Reggie Ragland,10675,LB,16,KC,250,17,6.8,1,1,2,4,14.7,4,25.0,0,0,0,0,0.0,12,75.0,0,1,2,3,12.5
Darian Stewart,5820,S,14,DEN,482,17,3.5,2,0,1,3,14.7,9,52.9,2,0,0,2,22.2,8,47.1,0,0,1,1,6.3
Neville Hewitt,9836,LB,8,NYJ,156,17,10.9,1,1,2,4,14.7,6,37.5,0,0,1,1,8.3,10,62.5,1,1,1,3,20.0
Justin Coleman,9892,CB,16,SEA,473,24,5.1,1,0,5,6,14.6,9,37.5,1,0,2,3,22.2,15,62.5,0,0,3,3,10.0
Tyrann Mathieu,7850,S,16,HST,658,31,4.7,3,1,2,6,14.5,18,60.0,1,0,1,2,8.3,12,40.0,2,0,1,3,20.8
Brian Poole,11052,CB,16,ATL,531,31,5.8,3,2,1,6,14.5,16,51.6,2,1,1,4,18.8,15,48.4,1,1,0,2,10.0
Clayton Fejedelem,10879,S,12,CIN,111,7,6.3,0,1,1,2,14.3,3,42.9,0,0,1,1,16.7,4,57.1,0,1,0,1,12.5
Craig Robertson,7003,LB,8,NO,49,7,14.3,1,0,0,1,14.3,4,66.7,1,0,0,1,25.0,2,33.3,0,0,0,0,0.0
Sean Davis,10692,S,15,PIT,602,7,1.2,0,1,1,2,14.3,1,14.3,0,0,0,0,0.0,6,85.7,0,1,1,2,16.7
Adoree' Jackson,11773,CB,16,TEN,551,7,1.3,0,0,2,2,14.3,5,71.4,0,0,1,1,10.0,2,28.6,0,0,1,1,25.0
Brandon Carr,4454,CB,16,BLT,553,14,2.5,0,1,3,4,14.3,11,78.6,0,1,3,4,18.2,3,21.4,0,0,0,0,0.0
Jonathan Jones,11217,CB,16,NE,358,21,5.9,2,1,1,4,14.3,7,33.3,1,1,1,3,28.6,14,66.7,1,0,0,1,7.1
Bobby Wagner,7050,LB,15,SEA,568,46,8.1,1,9,2,12,14.1,16,42.1,0,1,1,2,6.3,22,57.9,1,6,1,8,20.5
Josh Harvey-Clemons,11985,LB,13,WAS,166,25,15.1,1,1,4,6,14.0,10,45.5,0,1,2,3,15.0,12,54.5,1,0,2,3,16.7
Eric Weddle,3653,S,16,BLT,627,29,4.6,1,3,3,7,13.8,12,42.9,0,0,2,2,8.3,16,57.1,1,3,1,5,18.8
Anthony Barr,8644,LB,13,MIN,445,94,21.1,3,1,19,23,13.8,47,51.1,1,0,8,9,10.6,45,48.9,2,1,11,14,17.8
Devin McCourty,5552,S,16,NE,640,11,1.7,0,0,3,3,13.6,6,54.5,0,0,3,3,25.0,5,45.5,0,0,0,0,0.0
Zach Brown,7055,LB,16,WAS,391,33,8.4,1,1,6,8,13.6,13,41.9,0,1,3,4,15.4,18,58.1,0,0,3,3,8.3
Nick DeLuca,23189,LB,4,JAX,36,11,30.6,1,0,1,2,13.6,6,54.5,1,0,1,2,25.0,5,45.5,0,0,0,0,0.0
Jamal Adams,11761,S,16,NYJ,648,78,12.0,3,4,11,18,13.5,37,48.1,1,2,6,9,13.5,40,51.9,2,2,5,9,13.8
Jarrad Davis,11776,LB,16,DET,547,116,21.2,4,3,20,27,13.4,45,42.9,1,2,7,10,12.2,60,57.1,2,1,11,14,13.3
Kareem Jackson,5545,CB,16,HST,617,15,2.4,1,0,2,3,13.3,4,26.7,1,0,1,2,37.5,11,73.3,0,0,1,1,4.5
P.J. Williams,9511,CB,15,NO,482,15,3.1,1,1,1,3,13.3,8,53.3,1,0,0,1,12.5,7,46.7,0,1,1,2,14.3
Mike Adams,1972,S,16,CAR,563,30,5.3,0,2,6,8,13.3,20,69.0,0,2,4,6,15.0,9,31.0,0,0,2,2,11.1
Eric Wilson,38587,LB,13,MIN,197,30,15.2,2,3,1,6,13.3,16,53.3,2,2,0,4,18.8,14,46.7,0,1,1,2,7.1
T.J. McDonald,7852,S,14,MIA,500,15,3.0,0,0,4,4,13.3,6,40.0,0,0,3,3,25.0,9,60.0,0,0,1,1,5.6
Marquel Lee,11923,LB,16,OAK,172,15,8.7,0,2,2,4,13.3,8,57.1,0,1,1,2,12.5,6,42.9,0,1,1,2,16.7
D.J. Hayden,7793,CB,10,JAX,288,19,6.6,1,2,1,4,13.2,8,42.1,0,0,0,0,0.0,11,57.9,1,2,1,4,22.7
K'Waun Williams,9332,CB,14,SF,382,27,7.1,0,1,6,7,13.0,19,70.4,0,1,4,5,13.2,8,29.6,0,0,2,2,12.5
Blake Martinez,10765,LB,16,GB,588,77,13.1,3,0,14,17,13.0,27,38.0,0,0,10,10,18.5,44,62.0,1,0,4,5,6.8
Najee Goode,7137,LB,6,IND,36,4,11.1,0,0,1,1,12.5,2,66.7,0,0,1,1,25.0,1,33.3,0,0,0,0,0.0
Ramik Wilson,9551,LB,9,LA,83,4,4.8,0,0,1,1,12.5,2,50.0,0,0,1,1,25.0,2,50.0,0,0,0,0,0.0
Grant Haley,50473,CB,10,NYG,265,16,6.0,0,0,4,4,12.5,4,25.0,0,0,1,1,12.5,12,75.0,0,0,3,3,12.5
Oren Burks,50203,LB,10,GB,69,8,11.6,1,0,0,1,12.5,5,71.4,1,0,0,1,20.0,2,28.6,0,0,0,0,0.0
Jordan Richards,9497,S,15,ATL,251,4,1.6,0,0,1,1,12.5,1,25.0,0,0,1,1,50.0,3,75.0,0,0,0,0,0.0
Earl Thomas III,5539,S,4,SEA,137,4,2.9,0,0,1,1,12.5,3,75.0,0,0,0,0,0.0,1,25.0,0,0,1,1,50.0
Sean Lee,5580,LB,7,DAL,124,16,12.9,1,1,1,3,12.5,5,35.7,0,1,0,1,10.0,9,64.3,0,0,1,1,5.6
Eric Rowe,9480,CB,4,NE,97,4,4.1,0,0,1,1,12.5,2,50.0,0,0,0,0,0.0,2,50.0,0,0,1,1,25.0
Greg Stroman,49354,CB,12,WAS,263,4,1.5,0,1,0,1,12.5,2,66.7,0,0,0,0,0.0,1,33.3,0,1,0,1,50.0
Jordan Whitehead,49196,S,14,TB,391,4,1.0,0,0,1,1,12.5,3,75.0,0,0,1,1,16.7,1,25.0,0,0,0,0,0.0
Jermaine Carter,28838,LB,6,CAR,43,4,9.3,0,0,1,1,12.5,1,33.3,0,0,0,0,0.0,2,66.7,0,0,1,1,25.0
K.J. Wright,6251,LB,5,SEA,134,4,3.0,0,0,1,1,12.5,3,75.0,0,0,0,0,0.0,1,25.0,0,0,1,1,50.0
Chris Harris Jr.,6457,CB,12,DEN,444,8,1.8,1,0,0,1,12.5,5,62.5,1,0,0,1,20.0,3,37.5,0,0,0,0,0.0
Ukeme Eligwe,11938,LB,3,NYG,29,8,27.6,0,1,1,2,12.5,2,25.0,0,0,1,1,25.0,6,75.0,0,1,0,1,8.3
Deion Jones,10686,LB,6,ATL,218,8,3.7,0,0,2,2,12.5,5,83.3,0,0,1,1,10.0,1,16.7,0,0,1,1,50.0
