year,player,player_id,position,player_game_count,team_name,snaps,run_snaps,run_tackles,run_assists,run_misses,run_stops,run_tackle_efficiency,pass_snaps,pass_tackles,pass_assists,pass_misses,pass_stops,pass_tackle_efficiency,combined_tackle_efficiency
2018,Korey Toomer,7147,LB,3,GB,12,2,1,0,0,1,1.00E+03,10,1,0,0,0,1.00E+03,1.00E+03
2018,Justin Ellis,8742,DI,6,OAK,124,67,4,5,0,4,1.00E+03,57,0,0,0,0,,1.00E+03
2018,Marquis Flowers,8846,LB,1,WAS,12,9,1,0,0,1,1.00E+03,3,0,0,0,0,,1.00E+03
2018,Zach Sieler,66917,DI,2,BLT,15,7,0,0,0,0,,8,1,0,0,1,1.00E+03,1.00E+03
2018,Timmy Jernigan,8683,DI,3,PHI,41,13,1,1,0,1,1.00E+03,28,0,0,0,0,,1.00E+03
2018,Tracy Walker,51266,S,16,DET,247,55,6,0,0,2,1.00E+03,192,8,2,0,2,1.00E+03,1.00E+03
2018,Shelby Harris,8869,DI,16,DEN,374,164,22,8,0,16,1.00E+03,210,2,0,0,3,1.00E+03,1.00E+03
2018,Joel Iyiegbuniwe,51221,LB,4,CHI,23,2,0,0,0,0,,21,2,0,0,1,1.00E+03,1.00E+03
2018,Ben Niemann,51099,LB,6,KC,62,38,5,2,0,3,1.00E+03,24,3,0,0,1,1.00E+03,1.00E+03
2018,Matthew Thomas,50942,LB,1,PIT,4,0,0,0,0,0,,4,1,0,0,1,1.00E+03,1.00E+03
2018,Malik Jefferson,50884,LB,3,CIN,11,8,2,0,0,1,1.00E+03,3,0,0,0,0,,1.00E+03
2018,Keishawn Bierria,50812,LB,6,DEN,17,12,2,0,0,1,1.00E+03,5,0,0,0,0,,1.00E+03
2018,Jack Cichy,50787,LB,2,TB,6,3,0,0,0,0,,3,1,0,0,0,1.00E+03,1.00E+03
2018,Tom Johnson,3378,DI,14,MIN,365,123,13,3,0,6,1.00E+03,242,4,0,0,6,1.00E+03,1.00E+03
2018,Stephon Tuitt,8681,DI,14,PIT,652,205,22,11,0,17,1.00E+03,447,2,0,0,6,1.00E+03,1.00E+03
2018,Justin Lawler,50592,LB,6,LA,31,10,0,0,0,0,,21,4,0,0,1,1.00E+03,1.00E+03
2018,Cameron Malveaux,50587,ED,9,ARZ,166,83,4,5,0,4,1.00E+03,83,0,0,0,1,,1.00E+03
2018,Ethan Westbrooks,8976,DI,16,LA,169,72,4,3,0,3,1.00E+03,97,2,0,0,2,1.00E+03,1.00E+03
2018,Josh Mauro,9003,DI,12,NYG,249,151,18,2,0,14,1.00E+03,98,0,0,0,1,,1.00E+03
2018,Dominique Easley,8664,ED,3,LA,57,25,4,0,0,2,1.00E+03,32,0,0,0,0,,1.00E+03
2018,Tre Herndon,50380,CB,4,JAX,84,34,1,0,0,0,1.00E+03,50,5,0,0,1,1.00E+03,1.00E+03
2018,Anthony Averett,50365,CB,6,BLT,68,25,0,2,0,0,1.00E+03,43,3,0,0,0,1.00E+03,1.00E+03
2018,Cornell Armstrong,50351,CB,6,MIA,81,34,1,0,0,0,1.00E+03,47,5,0,0,2,1.00E+03,1.00E+03
2018,Aqib Talib,4334,CB,8,LA,368,148,2,0,0,1,1.00E+03,220,18,3,0,2,1.00E+03,1.00E+03
2018,Kenny Ladler,9103,S,2,NYG,20,2,0,0,0,0,,18,1,0,0,1,1.00E+03,1.00E+03
2018,William Hayes,4417,ED,3,MIA,62,17,2,0,0,2,1.00E+03,45,0,0,0,2,,1.00E+03
2018,Marquis Haynes,50244,ED,4,CAR,43,11,0,1,0,0,1.00E+03,32,1,0,0,1,1.00E+03,1.00E+03
2018,Marcus Williams,9115,CB,3,CHI,30,10,0,0,0,0,,20,4,0,0,2,1.00E+03,1.00E+03
2018,Garrison Smith,9310,DI,2,ARZ,28,14,2,0,0,1,1.00E+03,14,0,0,0,0,,1.00E+03
2018,Niles Scott,66935,DI,6,CIN,45,24,4,0,0,3,1.00E+03,21,0,0,0,0,,1.00E+03
2018,Tashawn Bower,50170,ED,5,MIN,51,23,3,1,0,2,1.00E+03,28,0,0,0,0,,1.00E+03
2018,Olasunkanmi Adeniyi,50154,ED,1,PIT,8,4,0,1,0,0,1.00E+03,4,0,0,0,0,,1.00E+03
2018,Vontae Davis,4948,CB,1,BUF,29,12,0,0,0,0,,17,1,0,0,1,1.00E+03,1.00E+03
2018,Deon Lacey,8512,LB,2,BUF,14,5,0,0,0,0,,9,1,0,0,0,1.00E+03,1.00E+03
2018,Josh Sweat,50120,ED,8,PHI,64,33,1,1,0,0,1.00E+03,31,0,0,0,0,,1.00E+03
2018,Stephone Anthony,9464,LB,11,MIA,27,23,1,0,0,1,1.00E+03,4,0,0,0,0,,1.00E+03
2018,John Franklin-Myers,50088,ED,16,LA,283,64,3,1,0,3,1.00E+03,219,0,1,0,2,1.00E+03,1.00E+03
2018,Jamiyus Pittman,50036,DI,3,MIA,41,21,0,1,0,0,1.00E+03,20,0,0,0,0,,1.00E+03
2018,Mario Edwards Jr.,9468,DI,15,NYG,213,63,5,1,0,4,1.00E+03,150,4,1,0,5,1.00E+03,1.00E+03
2018,John Atkins,49918,DI,2,DET,40,20,1,1,0,1,1.00E+03,20,0,0,0,0,,1.00E+03
2018,Chris Banjo,8419,S,7,NO,48,14,1,1,0,0,1.00E+03,34,2,0,0,0,1.00E+03,1.00E+03
2018,James Crawford,49836,LB,6,GB,6,3,0,0,0,0,,3,0,1,0,0,1.00E+03,1.00E+03
2018,Eric Rowe,9480,CB,4,NE,131,34,3,0,0,1,1.00E+03,97,5,0,0,0,1.00E+03,1.00E+03
2018,Nate Orchard,9484,ED,4,KC,35,11,2,1,0,1,1.00E+03,24,0,0,0,0,,1.00E+03
2018,Markus Golden,9491,ED,11,ARZ,378,161,20,5,0,16,1.00E+03,217,4,1,0,4,1.00E+03,1.00E+03
2018,Benny Cunningham,8283,HB,1,CHI,1,0,0,0,0,0,,1,1,0,0,0,1.00E+03,1.00E+03
2018,Chris Covington,49825,LB,1,DAL,1,1,1,0,0,1,1.00E+03,0,0,0,0,0,,1.00E+03
2018,Eli Harold,9512,ED,11,DET,172,51,3,0,0,3,1.00E+03,121,2,0,0,6,1.00E+03,1.00E+03
2018,Lerentee McCray,8159,ED,12,JAX,96,24,1,0,0,1,1.00E+03,72,0,0,0,1,,1.00E+03
2018,Josh Martin,8138,ED,1,NYJ,18,7,0,1,0,0,1.00E+03,11,0,0,0,0,,1.00E+03
2018,Rontez Miles,8102,S,5,NYJ,83,37,4,0,0,0,1.00E+03,46,4,0,0,0,1.00E+03,1.00E+03
2018,Matt Dickerson,49601,DI,3,TEN,26,12,3,0,0,2,1.00E+03,14,0,0,0,0,,1.00E+03
2018,Ibraheim Campbell,9548,S,5,GB,110,40,8,1,0,4,1.00E+03,70,8,1,0,1,1.00E+03,1.00E+03
2018,Earl Thomas III,5539,S,4,SEA,227,90,10,1,0,1,1.00E+03,137,11,1,0,5,1.00E+03,1.00E+03
2018,Marcus Cooper,8035,CB,4,DET,37,9,0,0,0,0,,28,1,0,0,1,1.00E+03,1.00E+03
2018,Marcus Allen,49263,S,2,PIT,18,5,0,0,0,0,,13,1,1,0,1,1.00E+03,1.00E+03
2018,Ahmad Thomas,49204,LB,1,IND,15,10,2,0,0,2,1.00E+03,5,0,0,0,0,,1.00E+03
2018,David Parry,9584,DI,3,MIN,47,16,1,0,0,1,1.00E+03,31,1,0,0,2,1.00E+03,1.00E+03
2018,Ezekiel Turner,49167,LB,4,ARZ,17,13,1,0,0,0,1.00E+03,4,0,0,0,0,,1.00E+03
2018,Dymonte Thomas,49127,S,5,DEN,41,11,1,1,0,0,1.00E+03,30,2,1,0,1,1.00E+03,1.00E+03
2018,Michael Bennett,9613,DI,2,ATL,39,17,3,0,0,2,1.00E+03,22,0,0,0,0,,1.00E+03
2018,L.T. Walton,9632,DI,4,PIT,48,23,1,1,0,1,1.00E+03,25,0,0,0,0,,1.00E+03
2018,Stacy McGee,7987,DI,8,WAS,132,72,6,1,0,5,1.00E+03,60,1,0,0,2,1.00E+03,1.00E+03
2018,Rakeem Nunez-Roches,9650,DI,3,TB,46,14,1,0,0,1,1.00E+03,32,1,0,0,0,1.00E+03,1.00E+03
