year,player,player_id,position,player_game_count,team_name,dropbacks,percent_pa,comp_pct_diff,ypa_diff,pa_dropbacks,pa_attempts,pa_completions,pa_touchdowns,pa_interceptions,pa_comp_percent,pa_yards,pa_ypa,pa_qb_rating,npa_dropbacks,npa_attempts,npa_completions,npa_touchdowns,npa_interceptions,npa_comp_percent,npa_yards,npa_ypa,npa_qb_rating
2018,Ben Roethlisberger,1732,QB,16,PIT,713,11.6,0.13,-0.54,83,82,55,2,2,67.1,584,7.1,85.6,630,593,397,32,14,66.9,4545,7.7,98
2018,Aaron Rodgers,2241,QB,16,GB,681,20.1,-1.05,-0.43,137,122,75,6,1,61.5,866,7.1,95.9,544,475,297,19,1,62.5,3576,7.5,98
2018,Andrew Luck,7007,QB,16,IND,679,20.6,-0.78,3.4,140,129,86,9,2,66.7,1277,9.9,115.7,539,510,344,30,13,67.5,3316,6.5,94.4
2018,Kirk Cousins,7102,QB,16,MIN,669,20.8,8.89,1.91,139,131,101,8,2,77.1,1125,8.6,116.1,530,475,324,22,8,68.2,3173,6.7,95.2
2018,Matt Ryan,4317,QB,16,ATL,668,26.9,-7.34,1.84,180,170,109,10,3,64.1,1602,9.4,107,488,438,313,25,4,71.5,3322,7.6,108.5
2018,Patrick Mahomes,11765,QB,16,KC,639,30.8,-1.22,0.28,197,181,118,14,5,65.2,1626,9,108.1,442,399,265,36,7,66.4,3471,8.7,116.4
2018,Case Keenum,7323,QB,16,DEN,633,23.7,0.75,1.34,150,140,88,3,2,62.9,1072,7.7,87.6,483,446,277,15,13,62.1,2818,6.3,79.2
2018,Deshaun Watson,11767,QB,16,HST,628,24.4,-0.72,2.17,153,121,82,7,3,67.8,1198,9.9,108.8,475,384,263,19,6,68.5,2967,7.7,101.3
2018,Eli Manning,1722,QB,16,NYG,627,23.4,-2.28,1.22,147,137,88,7,4,64.2,1150,8.4,95.5,480,439,292,14,7,66.5,3149,7.2,91.4
2018,Jared Goff,10635,QB,16,LA,615,35.8,-5.96,2.53,220,203,124,15,2,61.1,2023,10,115,395,358,240,17,10,67,2665,7.4,93.2
2018,Derek Carr,8671,QB,16,OAK,612,17.8,1.71,-0.22,109,101,71,4,2,70.3,721,7.1,95.4,503,452,310,15,8,68.6,3328,7.4,93.6
2018,Dak Prescott,10769,QB,16,DAL,611,24.9,1.31,2.09,152,134,92,7,1,68.7,1198,8.9,110.9,459,392,264,15,7,67.3,2687,6.9,92.1
2018,Matthew Stafford,4924,QB,16,DET,608,18.9,3.06,1.62,115,102,70,6,1,68.6,829,8.1,108.7,493,453,297,15,10,65.6,2948,6.5,85.7
2018,Tom Brady,698,QB,16,NE,596,31.4,9.59,3.23,187,184,133,9,3,72.3,1809,9.8,112.8,409,386,242,20,8,62.7,2546,6.6,90.4
2018,Philip Rivers,1725,QB,16,LAC,544,21.1,9.37,3.1,115,107,81,7,1,75.7,1170,10.9,128.6,429,401,266,25,11,66.3,3138,7.8,99.3
