year,player,player_id,position,player_game_count,team_name,dropbacks,avg_time_to_throw,avg_time_in_pocket,avg_time_to_sack,avg_time_to_run,less_dropbacks,less_percent,less_sacks,less_attempts,less_completions,less_completion_percent,less_touchdowns,less_interceptions,less_qb_rating,more_dropbacks,more_percent,more_sacks,more_attempts,more_completions,more_completion_percent,more_touchdowns,more_interceptions,more_qb_rating
2018,Ben Roethlisberger,1732,QB,16,PIT,710,2.38,2.46,3.48,4.98,428,60.3,2,425,306,72,22,8,99.5,282,39.7,22,247,146,59.1,12,8,92.4
2018,Aaron Rodgers,2241,QB,16,GB,679,2.75,2.95,3.57,5.52,303,44.6,4,298,223,74.8,9,1,100.2,376,55.4,45,297,149,50.2,16,1,95.6
2018,Andrew Luck,7007,QB,16,IND,677,2.44,2.54,3.08,5.1,331,48.9,4,326,234,71.8,26,2,110,346,51.1,14,311,196,63,13,13,87.4
2018,Matt Ryan,4317,QB,16,ATL,667,2.51,2.62,3.24,4.84,342,51.3,8,334,245,73.4,20,5,107.7,325,48.7,34,273,177,64.8,15,2,108.9
2018,Kirk Cousins,7102,QB,16,MIN,666,2.54,2.62,3.15,5.24,329,49.4,11,311,224,72,15,3,100.5,337,50.6,29,292,201,68.8,15,7,99.8
2018,Patrick Mahomes,11765,QB,16,KC,638,2.66,2.78,3.56,4.9,312,48.9,2,306,242,79.1,25,1,128.3,326,51.1,24,273,141,51.6,25,11,96.6
2018,Case Keenum,7323,QB,16,DEN,631,2.5,2.57,3.12,4.89,340,53.9,10,329,227,69,10,6,89.2,291,46.1,24,255,138,54.1,8,9,71.6
2018,Eli Manning,1722,QB,16,NYG,626,2.47,2.52,2.96,5.05,342,54.6,14,328,239,72.9,16,8,98,284,45.4,33,247,141,57.1,5,3,85.3
2018,Deshaun Watson,11767,QB,16,HST,622,2.84,3.12,3.56,5.14,241,38.7,12,227,173,76.2,11,2,109.5,381,61.3,49,272,172,63.2,15,7,100
2018,Jared Goff,10635,QB,16,LA,613,2.72,2.84,3.53,4.97,207,33.8,3,204,147,72.1,11,2,109.3,406,66.2,31,355,217,61.1,21,10,96.9
2018,Dak Prescott,10769,QB,16,DAL,611,2.65,2.86,3.53,5.43,262,42.9,7,255,185,72.5,7,1,96.7,349,57.1,49,271,171,63.1,15,7,97
2018,Matthew Stafford,4924,QB,16,DET,607,2.47,2.58,3.26,5.38,312,51.4,5,307,218,71,8,8,84.5,295,48.6,35,247,149,60.3,13,3,97
2018,Derek Carr,8671,QB,16,OAK,605,2.41,2.48,3,4.06,330,54.5,8,322,245,76.1,12,7,99.9,275,45.5,43,224,136,60.7,7,3,88.2
2018,Tom Brady,698,QB,16,NE,594,2.45,2.51,3.56,4.98,317,53.4,5,312,233,74.7,15,7,102.4,277,46.6,16,256,142,55.5,14,4,92.7
2018,Philip Rivers,1725,QB,16,LAC,544,2.42,2.47,2.98,5.13,299,55,10,289,211,73,20,4,113.2,245,45,22,219,136,62.1,12,8,95.4
2018,Cam Newton,6153,QB,14,CAR,528,2.5,2.68,3.27,5.68,258,48.9,4,250,192,76.8,20,6,111.8,270,51.1,25,218,128,58.7,4,7,75.3
2018,Baker Mayfield,46518,QB,14,CLV,528,2.57,2.68,3.26,5.16,280,53,4,274,189,69,13,5,94.5,248,47,21,209,121,57.9,14,9,93.9
2018,Drew Brees,802,QB,15,NO,510,2.43,2.47,2.82,5.03,282,55.3,3,279,224,80.3,20,3,120.3,228,44.7,14,210,140,66.7,12,2,106.5
2018,Russell Wilson,7077,QB,16,SEA,501,2.86,3.04,3.54,4.77,209,41.7,7,201,152,75.6,13,5,105.3,292,58.3,44,218,128,58.7,22,2,120
2018,Mitchell Trubisky,11757,QB,14,CHI,496,2.5,2.77,3.77,5.51,261,52.6,4,254,195,76.8,14,6,103.3,235,47.4,20,179,94,52.5,10,6,84.8
