year,player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
2018,Dane Cruikshank,25546,S,1,TEN,1,1,66,1,66
2018,Nick Foles,7089,QB,1,PHI,1,1,15,1,15
2018,Tim White,12144,WR,1,BLT,1,1,14,1,14
2018,Taylor Decker,10650,T,1,DET,1,1,11,1,11
2018,Marcus Mariota,9435,QB,2,TEN,1,1,21,2,10.5
2018,Justin Hardee,18348,CB,1,NO,1,1,10,1,10
2018,Kyle Williams,3079,DI,1,BUF,1,1,9,1,9
2018,Allen Lazard,48135,WR,1,GB,1,1,7,1,7
2018,Jordan Franks,47206,TE,5,CIN,3,2,37,9,4.11
2018,Sam Shields,5943,CB,3,LA,1,1,12,3,4
2018,Leonte Carroo,10720,WR,3,MIA,4,2,94,25,3.76
2018,Anthony Sherman,6288,FB,15,KC,9,8,96,30,3.2
2018,Dontrell Hilliard,45691,HB,8,CLV,10,9,105,34,3.09
2018,Derrick Willies,48345,WR,3,CLV,5,3,61,20,3.05
2018,Albert Wilson,8943,WR,7,MIA,36,26,391,129,3.03
2018,Tom Brady,698,QB,2,NE,1,1,6,2,3
2018,Julio Jones,6158,WR,16,ATL,166,113,1677,572,2.93
2018,Javon Wims,41406,WR,3,CHI,5,4,32,11,2.91
2018,De'Lance Turner,25681,HB,2,BLT,2,2,17,6,2.83
2018,George Kittle,11901,TE,16,SF,128,88,1377,489,2.82
2018,Chase Daniel,5214,QB,3,CHI,1,1,8,3,2.67
2018,Michael Thomas,10681,WR,16,NO,146,125,1405,528,2.66
2018,Darren Waller,9637,TE,4,OAK,6,6,75,29,2.59
2018,Brandon Zylstra,66438,WR,7,MIN,2,1,23,9,2.56
2018,Tyreek Hill,10799,WR,16,KC,129,87,1479,583,2.54
2018,Breshad Perriman,9459,WR,10,CLV,25,16,340,134,2.54
2018,T.Y. Hilton,7092,WR,14,IND,116,76,1270,500,2.54
2018,DeAndre Hopkins,7808,WR,16,HST,159,115,1572,627,2.51
2018,Keenan Allen,7857,WR,16,LAC,125,97,1196,478,2.5
2018,Johnny Mundt,12206,TE,2,LA,1,1,5,2,2.5
2018,Matt Ryan,4317,QB,2,ATL,1,1,5,2,2.5
2018,Mo Alie-Cox,12078,TE,9,IND,13,7,133,54,2.46
2018,John Kelly,34761,HB,3,LA,3,2,27,11,2.45
2018,Mike Evans,8642,WR,16,TB,135,86,1524,638,2.39
2018,A.J. Green,6156,WR,9,CIN,77,46,694,290,2.39
2018,Tarik Cohen,11874,HB,16,CHI,87,71,725,307,2.36
2018,Jehu Chesson,11894,WR,2,WAS,2,1,7,3,2.33
2018,Will Dissly,30762,TE,4,SEA,12,8,156,67,2.33
2018,Cordarrelle Patterson,7810,WR,15,NE,27,21,247,106,2.33
2018,Dion Dawkins,11818,T,3,BUF,1,1,7,3,2.33
2018,River Cracraft,47417,WR,6,DEN,2,1,44,19,2.32
2018,Travis Kelce,7844,TE,16,KC,139,103,1336,579,2.31
2018,DeSean Jackson,4363,WR,12,TB,72,41,774,341,2.27
2018,Cooper Kupp,11824,WR,8,LA,49,40,566,250,2.26
2018,Jalen Richard,11395,HB,16,OAK,77,68,607,269,2.26
2018,Odell Beckham Jr.,8647,WR,12,NYG,119,77,1052,465,2.26
2018,Noah Brown,11993,WR,7,DAL,8,5,54,24,2.25
2018,O.J. Howard,11774,TE,10,TB,47,34,565,252,2.24
2018,Will Fuller V,10655,WR,7,HST,42,32,503,225,2.24
2018,Ameer Abdullah,9487,HB,6,MIN,4,3,28,13,2.15
2018,Austin Ekeler,12164,HB,14,LAC,47,39,404,190,2.13
2018,Alvin Kamara,11822,HB,15,NO,98,81,709,334,2.12
2018,Emmanuel Sanders,5606,WR,12,DEN,97,71,868,409,2.12
2018,Davante Adams,8688,WR,15,GB,162,111,1386,653,2.12
2018,Tyler Lockett,9502,WR,16,SEA,65,57,965,459,2.1
2018,Adam Thielen,8288,WR,16,MIN,149,113,1373,655,2.1
2018,Elijhaa Penny,11300,FB,10,NYG,9,8,50,24,2.08
2018,JuJu Smith-Schuster,11817,WR,16,PIT,161,111,1426,684,2.08
2018,Brandin Cooks,8655,WR,16,LA,110,80,1204,583,2.07
2018,Tyler Boyd,10689,WR,14,CIN,103,76,1028,500,2.06
2018,T.J. Logan,11935,HB,6,ARZ,7,7,37,18,2.06
2018,Robert Foster,48230,WR,13,BUF,44,27,541,263,2.06
2018,Robert Woods,7822,WR,16,LA,127,86,1219,596,2.05
2018,MyCole Pruitt,9576,TE,11,TEN,11,9,102,50,2.04
2018,Melvin Gordon III,9448,HB,12,LAC,61,50,490,241,2.03
2018,Justin Jackson,29539,HB,8,LAC,17,15,135,67,2.01
2018,Zach Ertz,7816,TE,16,PHI,154,116,1163,578,2.01
2018,Mark Andrews,47436,TE,16,BLT,48,34,552,274,2.01
2018,Andrew Luck,7007,QB,2,IND,2,1,4,2,2
2018,Tavon Austin,7789,WR,7,DAL,12,8,140,70,2
2018,Delanie Walker,3120,TE,1,TEN,7,4,52,26,2
2018,Alejandro Villanueva,9091,T,1,PIT,1,1,2,1,2
2018,Golden Tate,5585,WR,15,PHI,105,74,795,401,1.98
2018,Russell Gage,44771,WR,8,ATL,10,6,63,32,1.97
2018,Julian Edelman,5156,WR,12,NE,105,74,850,436,1.95
2018,Brandon Powell,48036,WR,5,DET,17,11,129,66,1.95
2018,Antonio Brown,5718,WR,15,PIT,164,104,1297,670,1.94
2018,Josh Gordon,7618,WR,12,NE,67,41,737,379,1.94
2018,Tyrone Swoopes,12267,TE,1,SEA,1,1,23,12,1.92
2018,Tyler Eifert,7802,TE,4,CIN,18,15,179,95,1.88
2018,Kenny Golladay,11851,WR,15,DET,115,70,1063,568,1.87
2018,Chris Godwin,11839,WR,16,TB,90,59,842,451,1.87
2018,Taywan Taylor,11827,WR,13,TEN,55,37,466,249,1.87
2018,Leonard Fournette,11759,HB,8,JAX,25,22,185,99,1.87
2018,Vernon Davis,2951,TE,14,WAS,35,25,367,197,1.86
2018,Jacob Hollister,12051,TE,6,NE,5,4,52,28,1.86
2018,Amari Cooper,9437,WR,15,DAL,102,75,1005,544,1.85
2018,Rex Burkhead,7971,HB,8,NE,19,14,131,71,1.85
2018,Anthony Firkser,51837,TE,12,TEN,20,19,225,122,1.84
2018,Evan Engram,11778,TE,11,NYG,63,45,577,315,1.83
2018,Corey Davis,11760,WR,16,TEN,108,65,891,486,1.83
2018,Martavis Bryant,8753,WR,8,OAK,26,19,266,145,1.83
2018,Jared Cook,5012,TE,16,OAK,99,68,896,490,1.83
2018,James White,8765,HB,16,NE,116,87,751,412,1.82
2018,Taquan Mizzell Sr.,45675,HB,8,CHI,10,8,78,43,1.81
2018,Sammy Watkins,8639,WR,10,KC,53,40,519,286,1.81
2018,D.J. Moore,48267,WR,16,CAR,76,54,781,432,1.81
2018,Rashard Higgins,10806,WR,13,CLV,51,39,572,318,1.8
2018,Dante Pettis,48113,WR,11,SF,40,27,467,261,1.79
2018,Geronimo Allison,11141,WR,5,GB,28,20,303,170,1.78
2018,Christian McCaffrey,11763,HB,16,CAR,122,108,874,493,1.77
2018,Calvin Ridley,48262,WR,16,ATL,91,64,821,465,1.77
2018,Doug Baldwin,6615,WR,13,SEA,73,50,618,351,1.76
2018,Xavier Grimble,9092,TE,15,PIT,7,6,86,49,1.76
2018,Chris Ivory,6007,HB,13,BUF,20,13,205,117,1.75
2018,Robert Tonyan,12193,TE,11,GB,5,4,77,44,1.75
2018,Mike Williams,11762,WR,16,LAC,64,43,664,382,1.74
2018,Alshon Jeffery,7048,WR,13,PHI,90,65,843,484,1.74
2018,Roosevelt Nix,10269,FB,13,PIT,5,4,38,22,1.73
2018,Christian Kirk,47546,WR,12,ARZ,65,43,590,344,1.72
2018,Keke Coutee,47698,WR,6,HST,38,28,287,167,1.72
2018,Stefon Diggs,9579,WR,15,MIN,141,102,1021,595,1.72
2018,Robby Anderson,11254,WR,14,NYJ,87,50,752,437,1.72
2018,Rob Gronkowski,5567,TE,13,NE,71,47,682,399,1.71
2018,Derrick Coleman,7377,FB,7,ARZ,3,2,17,10,1.7
2018,Darren Sproles,2347,HB,6,PHI,22,15,160,94,1.7
2018,Dan Arnold,51842,TE,10,NO,19,12,150,88,1.7
2018,Maxx Williams,9488,TE,12,BLT,16,16,143,84,1.7
2018,Allen Robinson II,8696,WR,13,CHI,94,55,754,447,1.69
2018,Deontay Burnett,47477,WR,5,NYJ,15,10,143,85,1.68
2018,Jake Butt,11900,TE,3,DEN,11,8,85,51,1.67
2018,Malik Turner,48078,WR,3,SEA,2,2,20,12,1.67
2018,Erik Swoope,9303,TE,7,IND,10,8,87,52,1.67
2018,Eric Ebron,8645,TE,16,IND,108,66,750,452,1.66
2018,Curtis Samuel,11795,WR,13,CAR,62,39,494,298,1.66
2018,Chris Herndon,47164,TE,16,NYJ,54,39,502,304,1.65
2018,Jarvis Landry,8698,WR,16,CLV,137,81,976,596,1.64
2018,Garrett Celek,7274,TE,15,SF,8,5,90,55,1.64
2018,Matt Breida,12271,HB,13,SF,31,27,261,160,1.63
2018,Jakeem Grant,10820,WR,10,MIA,31,21,268,164,1.63
2018,Jordan Reed,7866,TE,13,WAS,77,53,556,341,1.63
2018,Tommylee Lewis,11231,WR,6,NO,3,3,60,37,1.62
2018,Lee Smith,6311,TE,15,OAK,11,10,73,45,1.62
2018,Keith Kirkwood,48017,WR,8,NO,21,13,209,131,1.6
2018,Tyler Conklin,47124,TE,15,MIN,7,5,77,48,1.6
2018,Kenyan Drake,10707,HB,16,MIA,66,53,477,300,1.59
2018,Marquise Goodwin,7859,WR,11,SF,41,23,395,249,1.59
2018,Spencer Ware,7975,HB,13,KC,22,20,224,142,1.58
2018,Seth DeValve,10772,TE,10,CLV,7,5,74,47,1.57
2018,T.J. Yeldon,9469,HB,14,JAX,70,55,487,310,1.57
2018,Benjamin Watson,1753,TE,16,NO,43,34,389,247,1.57
2018,Marcus Johnson,11074,WR,5,IND,8,6,102,65,1.57
2018,Corey Grant,9827,HB,5,JAX,10,9,67,43,1.56
2018,Ty Montgomery,9527,HB,13,BLT,36,25,235,153,1.54
2018,Jack Doyle,8520,TE,6,IND,32,26,245,159,1.54
