player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
Ezekiel Elliott,10638,HB,15,DAL,304,1434,25,526,36.7
Saquon Barkley,45791,HB,16,NYG,261,1307,20,706,54.0
David Johnson,9519,HB,16,ARZ,256,933,5,122,13.1
Todd Gurley II,9443,HB,14,LA,256,1251,17,367,29.3
Adrian Peterson,3623,HB,16,WAS,251,1042,13,373,35.8
Jordan Howard,10784,HB,16,CHI,250,935,10,219,23.4
Chris Carson,12004,HB,14,SEA,247,1151,17,363,31.5
Joe Mixon,11803,HB,14,CIN,236,1171,23,538,45.9
Peyton Barber,10927,HB,16,TB,234,871,10,202,23.2
Christian McCaffrey,11763,HB,16,CAR,218,1092,13,350,32.1
Derrick Henry,10679,HB,16,TEN,215,1059,9,292,27.6
James Conner,11860,HB,13,PIT,214,972,16,340,35.0
Lamar Miller,7097,HB,14,HST,209,964,15,403,41.8
Sony Michel,27589,HB,13,NE,209,931,10,220,23.6
Marlon Mack,11898,HB,12,IND,195,908,11,250,27.5
Alvin Kamara,11822,HB,15,NO,194,883,10,202,22.9
Phillip Lindsay,12660,HB,15,DEN,192,1037,11,346,33.4
Nick Chubb,45783,HB,16,CLV,191,985,15,463,47.0
Kareem Hunt,11841,HB,11,KC,181,824,12,277,33.6
Melvin Gordon III,9448,HB,12,LAC,175,885,15,315,35.6
Doug Martin,7035,HB,15,OAK,172,723,6,116,16.0
Carlos Hyde,8692,HB,13,JAX,172,571,4,74,13.0
Tevin Coleman,9506,HB,16,ATL,167,800,15,388,48.5
LeSean McCoy,4976,HB,14,BUF,161,514,5,112,21.8
Frank Gore,2282,HB,14,MIA,156,722,6,167,23.1
Dion Lewis,6301,HB,15,TEN,155,517,5,111,21.5
LeGarrette Blount,5863,HB,16,DET,154,418,2,51,12.2
Matt Breida,12271,HB,14,SF,153,814,14,346,42.5
Alfred Blue,8816,HB,16,HST,150,499,5,84,16.8
Isaiah Crowell,9295,HB,13,NYJ,143,685,9,326,47.6
Latavius Murray,7962,HB,16,MIN,139,576,7,185,32.1
Mark Ingram II,6180,HB,12,NO,138,645,7,161,25.0
Gus Edwards,46027,HB,11,BLT,137,718,9,198,27.6
Aaron Jones,11937,HB,12,GB,133,728,8,225,30.9
Leonard Fournette,11759,HB,8,JAX,133,439,4,76,17.3
Dalvin Cook,11796,HB,11,MIN,132,611,9,233,38.1
Royce Freeman,45747,HB,14,DEN,130,521,6,113,21.7
Lamar Jackson,46416,QB,15,BLT,130,562,8,188,33.5
Jamaal Williams,11889,HB,16,GB,121,464,3,54,11.6
Josh Adams,45662,HB,12,PHI,120,511,9,187,36.6
Kenyan Drake,10707,HB,16,MIA,119,525,6,153,29.1
Kerryon Johnson,34455,HB,10,DET,118,641,9,245,38.2
Chris Ivory,6007,HB,13,BUF,115,385,5,90,23.4
Alex Collins,10805,HB,10,BLT,113,407,3,50,12.3
Mike Davis,9559,HB,14,SEA,112,514,4,90,17.5
Alfred Morris,7165,HB,11,SF,111,428,4,113,26.4
Austin Ekeler,12164,HB,14,LAC,106,554,11,229,41.3
T.J. Yeldon,9469,HB,14,JAX,104,414,4,67,16.2
Tarik Cohen,11874,HB,16,CHI,98,435,9,197,45.3
James White,8765,HB,16,NE,94,425,6,136,32.0
Elijah McGuire,11943,HB,8,NYJ,91,279,2,51,18.3
Marshawn Lynch,3628,HB,6,OAK,90,376,2,68,18.1
Ito Smith,45932,HB,13,ATL,90,315,3,51,16.2
Wendell Smallwood,10787,HB,13,PHI,87,364,1,15,4.1
Nyheim Hines,48103,HB,16,IND,85,313,2,33,10.5
Rashaad Penny,27414,HB,12,SEA,85,419,9,196,46.8
Bilal Powell,6278,HB,7,NYJ,80,343,5,106,30.9
Cam Newton,6153,QB,14,CAR,74,293,2,45,15.4
Corey Clement,12253,HB,11,PHI,68,259,4,84,32.4
C.J. Anderson,8101,HB,9,LA,67,403,3,95,23.6
Jeff Wilson Jr.,29413,HB,6,SF,66,266,2,34,12.8
Kenneth Dixon,10768,HB,6,BLT,60,333,7,138,41.4
Chase Edmonds,45851,HB,16,ARZ,60,208,2,49,23.6
Jordan Wilkins,26618,HB,10,IND,60,336,6,139,41.4
Rex Burkhead,7971,HB,7,NE,57,186,0,0,0.0
Jaylen Samuels,47297,HB,8,PIT,56,256,5,88,34.4
Giovani Bernard,7818,HB,11,CIN,56,211,2,45,21.3
Jalen Richard,11395,HB,15,OAK,55,259,5,110,42.5
Zach Zenner,9761,HB,7,DET,55,265,2,46,17.4
Wayne Gallman,11895,HB,13,NYG,51,176,0,0,0.0
Spencer Ware,7975,HB,11,KC,51,246,3,78,31.7
Marcus Murphy,9663,HB,9,BUF,51,246,3,65,26.4
Damien Williams,9205,HB,8,KC,50,256,6,117,45.7
Justin Jackson,29539,HB,8,LAC,50,206,4,75,36.4
Dak Prescott,10769,QB,14,DAL,46,111,2,32,28.8
Jay Ajayi,9582,HB,4,PHI,45,184,2,35,19.0
Rod Smith,9996,HB,12,DAL,44,127,0,0,0.0
Malcolm Brown,9902,HB,8,LA,43,212,1,19,9.0
Chris Thompson,7936,HB,10,WAS,43,178,3,46,25.8
Josh Allen,46601,QB,11,BUF,42,123,0,0,0.0
Cordarrelle Patterson,7810,WR,11,NE,42,228,4,81,35.5
Javorius Allen,9558,HB,10,BLT,41,110,1,17,15.5
Theo Riddick,7980,HB,10,DET,40,171,1,19,11.1
Ty Montgomery,9527,HB,11,BLT,40,181,2,31,17.1
Duke Johnson Jr.,9510,HB,15,CLV,40,201,3,53,26.4
Deshaun Watson,11767,QB,13,HST,39,121,4,70,57.9
Trenton Cannon,66446,HB,9,NYJ,38,113,1,21,18.6
Russell Wilson,7077,QB,14,SEA,37,77,0,0,0.0
Kalen Ballage,45741,HB,8,MIA,36,191,2,91,47.6
Taysom Hill,12112,QB,12,NO,35,182,3,71,39.0
Devontae Booker,10770,HB,10,DEN,34,183,1,26,14.2
Raheem Mostert,9783,HB,6,SF,34,261,5,126,48.3
Jacquizz Rodgers,6297,HB,12,TB,33,106,2,35,33.0
Patrick Mahomes,11765,QB,15,KC,31,54,1,15,27.8
Mitchell Trubisky,11757,QB,12,CHI,31,101,2,51,50.5
DeAndre Washington,10777,HB,8,OAK,29,111,0,0,0.0
Stevan Ridley,6225,HB,8,PIT,29,80,0,0,0.0
Darren Sproles,2347,HB,6,PHI,29,120,2,33,27.5
Marcus Mariota,9435,QB,11,TEN,29,98,2,35,35.7
Sam Darnold,29048,QB,9,NYJ,28,21,0,0,0.0
Drew Brees,802,QB,12,NO,27,-5,0,0,0.0
Dwayne Washington,10870,HB,4,NO,27,154,5,109,70.8
John Kelly,34761,HB,3,LA,27,74,0,0,0.0
Kirk Cousins,7102,QB,11,MIN,25,19,0,0,0.0
Andrew Luck,7007,QB,10,IND,25,-12,0,0,0.0
Ryan Tannehill,7014,QB,10,MIA,24,59,0,0,0.0
Ronald Jones,34001,HB,5,TB,23,44,0,0,0.0
Jared Goff,10635,QB,13,LA,22,-14,0,0,0.0
Kapri Bibbs,8906,HB,9,GB,21,103,1,15,14.6
Baker Mayfield,46518,QB,9,CLV,21,-17,0,0,0.0
Keith Ford,23614,HB,2,BUF,21,79,0,0,0.0
Brian Hill,11911,HB,4,ATL,20,157,3,105,66.9
Robert Woods,7822,WR,11,LA,19,157,2,75,47.8
Kenjon Barner,7963,HB,5,CAR,19,71,0,0,0.0
Cameron Artis-Payne,9607,HB,4,CAR,19,69,1,15,21.7
Tom Brady,698,QB,10,NE,18,2,0,0,0.0
Ben Roethlisberger,1732,QB,11,PIT,18,-2,0,0,0.0
Alex Smith,2218,QB,9,WAS,18,31,0,0,0.0
Blake Bortles,8638,QB,10,JAX,18,95,1,41,43.2
Carson Wentz,10636,QB,9,PHI,18,0,0,0,
Tyreek Hill,10799,WR,12,KC,18,141,4,89,63.1
Nick Mullens,12282,QB,7,SF,17,-17,0,0,0.0
Derek Carr,8671,QB,10,OAK,16,-4,0,0,0.0
Matt Ryan,4317,QB,11,ATL,16,1,0,0,0.0
Mike Gillislee,7946,HB,4,NO,16,43,0,0,0.0
Joe Flacco,4332,QB,8,BLT,15,17,0,0,0.0
Jeff Driskel,10841,QB,7,CIN,14,49,1,27,55.1
Devonta Freeman,8738,HB,2,ATL,14,68,2,40,58.8
Philip Rivers,1725,QB,8,LAC,14,-9,0,0,0.0
Mark Walton,45996,HB,5,CIN,14,34,0,0,0.0
Case Keenum,7323,QB,8,DEN,13,1,0,0,0.0
Jameis Winston,9434,QB,7,TB,13,26,0,0,0.0
Darrel Williams,13014,HB,2,KC,13,44,0,0,0.0
Tyler Lockett,9502,WR,10,SEA,12,61,1,18,29.5
Ryan Fitzpatrick,2467,QB,6,TB,12,2,0,0,0.0
Corey Grant,9827,HB,4,JAX,12,37,0,0,0.0
Matthew Stafford,4924,QB,7,DET,12,-2,0,0,0.0
Brian Hoyer,5277,QB,5,NE,11,-8,0,0,0.0
Benny Cunningham,8283,HB,4,CHI,11,20,0,0,0.0
Chase Daniel,5214,QB,4,CHI,11,-3,0,0,0.0
Eli Manning,1722,QB,8,NYG,11,4,0,0,0.0
Detrez Newsome,45695,HB,3,LAC,11,49,1,16,32.7
Travaris Cadet,7457,HB,1,CAR,11,17,0,0,0.0
Mike Boone,31615,HB,5,MIN,11,47,1,20,42.6
Isaiah McKenzie,11927,WR,4,BUF,10,66,2,30,45.5
D.J. Moore,48267,WR,9,CAR,10,156,5,118,75.6
Brandin Cooks,8655,WR,7,LA,10,68,1,17,25.0
Aaron Rodgers,2241,QB,6,GB,9,-12,0,0,0.0
Taquan Mizzell Sr.,45675,HB,7,CHI,9,16,0,0,0.0
Josh Rosen,35460,QB,6,ARZ,9,-7,0,0,0.0
Jeremy Langford,9539,HB,1,ATL,9,25,0,0,0.0
Zach Line,8420,FB,5,NO,9,41,0,0,0.0
Taylor Gabriel,9002,WR,6,CHI,9,61,1,20,32.8
Josh Johnson,4474,QB,4,WAS,9,37,1,16,43.2
Julian Edelman,5156,WR,5,NE,9,107,4,70,65.4
Alex Armah,11948,FB,8,CAR,9,15,0,0,0.0
Curtis Samuel,11795,WR,6,CAR,8,84,2,58,69.0
Samaje Perine,11869,HB,4,WAS,8,32,0,0,0.0
Roc Thomas,27875,HB,5,MIN,8,30,1,23,76.7
C.J. Beathard,11859,QB,4,SF,8,8,0,0,0.0
Kyle Juszczyk,7912,FB,6,SF,8,30,0,0,0.0
Teddy Bridgewater,8667,QB,4,NO,8,-6,0,0,0.0
Stefon Diggs,9579,WR,8,MIN,8,58,1,20,34.5
Keenan Allen,7857,WR,5,LAC,8,75,3,64,85.3
