player,player_id,position,player_game_count,team_name,grades_kickoff_kicker,attempts,average_distance,average_starting_field_position,onside_kicks,percent_returned,kicks_returned,return_yards,average_yards_per_return,touchbacks,fair_catches,attempts_with_hangtime,average_hangtime
Phil Dawson,422,K,10,ARZ,63.4,32,63.7,25.1,1,53.1,17,357,21.0,14,0,31,3.96
Sebastian Janikowski,595,K,16,SEA,58.4,74,66.5,27.2,2,43.2,32,826,25.8,42,0,66,4.02
Andy Lee,1906,P,1,ARZ,60.0,1,68.0,43.0,0,100.0,1,31,31.0,0,0,1,4.42
Mike Nugent,2264,K,3,OAK,60.3,14,64.8,27.6,1,57.1,8,180,22.5,6,0,13,3.88
Dustin Colquitt,2316,P,1,KC,60.0,1,60.0,30.0,0,100.0,1,15,15.0,0,0,1,4.34
Robbie Gould,2607,K,4,SF,60.0,4,25.5,42.5,2,100.0,4,12,3.0,0,0,0,
Stephen Gostkowski,3063,K,16,NE,63.5,93,65.8,27.1,0,45.2,42,1034,24.6,50,1,89,4.0
Matt Prater,3471,K,3,DET,60.0,6,59.5,25.7,0,50.0,3,40,13.3,3,0,3,3.84
Mason Crosby,3809,K,16,GB,66.7,83,65.5,27.9,3,49.4,41,1013,24.7,41,0,78,3.82
Brett Kern,4580,P,1,TEN,60.0,1,43.0,44.0,0,100.0,1,7,7.0,0,0,1,3.08
Stephen Hauschka,4655,K,16,BUF,44.7,66,62.7,27.4,3,53.0,35,754,21.5,30,0,57,3.87
Thomas Morstead,5088,P,2,NO,60.0,2,47.5,10.5,0,100.0,2,23,11.5,0,0,2,3.87
Ryan Succop,5180,K,16,TEN,79.4,70,68.4,26.8,1,35.7,25,689,27.6,45,0,66,3.96
Britton Colquitt,5192,P,1,CLV,60.0,1,56.0,24.0,0,0.0,0,0,,0,0,1,4.32
Graham Gano,5443,K,12,CAR,73.7,62,69.5,26.0,1,24.2,15,344,22.9,47,0,59,4.15
Matt Bosher,6344,P,16,ATL,63.1,89,66.0,25.6,2,42.7,38,818,21.5,51,0,84,3.84
Dan Bailey,6796,K,14,MIN,53.5,69,63.2,26.7,4,44.9,31,711,22.9,35,0,59,4.01
Bryan Anger,7072,P,1,TB,60.0,1,73.0,19.0,0,100.0,1,12,12.0,0,0,1,4.93
Randy Bullock,7154,K,16,CIN,71.4,79,67.1,25.5,1,40.5,32,705,22.0,45,1,77,3.94
Greg Zuerlein,7163,K,11,LA,90.8,75,70.1,24.9,0,24.0,18,427,23.7,57,0,65,3.97
Johnny Hekker,7252,P,2,LA,60.0,6,65.2,23.0,0,66.7,4,49,12.3,2,0,4,3.53
Justin Tucker,7604,K,16,BLT,68.5,92,67.3,26.3,1,35.9,33,745,22.6,58,0,83,4.03
Sam Martin,7947,P,15,DET,56.2,73,63.7,25.4,5,49.3,36,797,22.1,34,0,65,3.85
Caleb Sturgis,7948,K,6,LAC,61.5,34,67.0,24.0,0,47.1,16,360,22.5,18,0,34,3.79
Dustin Hopkins,7958,K,16,WAS,74.5,70,69.6,25.5,1,20.0,14,295,21.1,56,0,64,4.07
Daren Bates,8077,LB,1,TEN,60.0,1,13.0,52.0,1,100.0,1,0,0.0,0,0,0,
Brandon McManus,8437,K,16,DEN,76.0,73,66.0,26.0,4,39.7,29,581,20.0,42,0,67,4.08
Brett Maher,8585,K,16,DAL,79.2,77,69.4,26.2,0,32.5,25,662,26.5,52,0,75,3.97
Cairo Santos,8932,K,9,TB,40.8,49,63.1,26.9,2,61.2,30,628,20.9,19,0,43,3.95
Chris Boswell,8990,K,15,PIT,51.7,81,67.1,24.7,0,38.3,31,640,20.6,50,0,80,4.04
Cody Parkey,9030,K,16,CHI,67.0,89,68.5,26.0,1,24.7,22,548,24.9,65,0,82,3.89
Chandler Catanzaro,9140,K,13,CAR,77.3,65,69.4,25.2,0,20.0,13,279,21.5,52,0,62,4.03
Bradley Pinion,9598,P,16,SF,77.1,77,69.8,25.6,0,32.5,25,650,26.0,52,0,76,4.1
Josh Lambo,10133,K,13,JAX,62.3,54,65.5,25.3,2,31.5,17,287,16.9,36,0,49,3.93
Jason Myers,10207,K,16,NYJ,82.9,82,69.0,25.3,0,26.8,22,531,24.1,60,0,79,3.95
Lachlan Edwards,10869,P,1,NYJ,60.0,1,56.0,22.0,0,100.0,1,8,8.0,0,0,1,4.2
Wil Lutz,11096,K,16,NO,84.1,101,68.5,24.8,0,36.6,37,862,23.3,64,0,100,3.97
Ka'imi Fairbairn,11161,K,16,HST,70.4,92,68.6,24.1,0,37.0,34,682,20.1,58,0,89,4.01
Aldrick Rosas,11331,K,16,NYG,43.1,85,65.7,25.4,3,35.3,30,570,19.0,51,0,82,4.1
Sam Ficken,11437,K,2,LA,59.5,13,67.6,27.2,0,7.7,1,33,33.0,11,0,12,4.12
Jake Elliott,11908,K,16,PHI,78.7,82,67.8,25.4,1,30.5,25,540,21.6,57,0,77,4.01
Zane Gonzalez,11979,K,7,ARZ,64.0,28,67.7,24.7,0,39.3,11,258,23.5,17,0,28,3.91
Harrison Butker,11988,K,16,KC,81.0,110,68.7,24.9,1,31.8,35,794,22.7,72,0,104,4.21
Rigoberto Sanchez,12130,P,16,IND,62.7,88,66.1,25.9,2,33.0,29,595,20.5,59,0,83,4.1
Greg Joseph,22842,K,14,CLV,60.9,69,68.4,25.4,1,30.4,21,458,21.8,47,0,62,4.01
Daniel Carlson,28121,K,12,OAK,57.0,54,65.4,26.8,1,44.4,24,588,24.5,29,0,51,4.01
Matt McCrane,28749,K,5,PIT,27.4,21,60.6,24.6,1,71.4,15,302,20.1,5,0,20,3.77
Logan Cooke,29214,P,3,JAX,63.6,10,65.5,26.2,0,50.0,5,87,17.4,5,0,9,4.13
Jason Sanders,29578,K,16,MIA,67.7,70,68.8,25.9,1,20.0,14,339,24.2,55,0,66,4.06
Michael Dickson,35381,P,4,SEA,42.2,9,48.2,28.6,1,88.9,8,94,11.8,0,0,6,3.43
