player,player_id,position,player_game_count,team_name,grades_return,total_attempts,grades_kick_return,kickoff_attempts,kickoff_yards,kickoff_long,kickoff_ypa,kickoff_touchdowns,kickoff_fair_catches,kickoff_muffed_returns,grades_punt_return,punt_attempts,punt_yards,punt_long,punt_ypa,punt_touchdowns,punt_fair_catches,punt_muffed_returns
Adam Jones,2223,CB,7,DEN,62.8,14,59.9,4,85,25,21.3,0,0,0,64.5,10,24,10,2.4,0,1,0
Darren Sproles,2347,HB,6,PHI,64.2,11,59.9,1,2,2,2.0,0,0,0,65.8,10,83,14,8.3,0,9,0
Tramon Williams,3558,S,16,GB,42.0,12,,0,0,0,,0,0,0,36.1,12,83,23,6.9,0,10,2
Ted Ginn Jr.,3625,WR,5,NO,54.1,1,55.2,1,1,1,1.0,0,0,0,60.3,0,0,0,,0,2,0
Eric Weddle,3653,S,16,BLT,60.2,1,,0,0,0,,0,0,0,60.1,1,18,18,18.0,0,0,0
Dominique Rodgers-Cromartie,4330,CB,7,OAK,60.2,1,,0,0,0,,0,0,0,60.1,1,0,0,0.0,0,0,0
Jordy Nelson,4350,WR,15,OAK,55.3,2,,0,0,0,,0,0,0,54.0,2,7,7,3.5,0,2,1
DeSean Jackson,4363,WR,12,TB,78.1,5,,0,0,0,,0,0,0,83.8,5,24,11,4.8,0,0,0
Danny Amendola,4717,WR,15,MIA,54.3,11,,0,0,0,,0,0,0,52.4,11,59,12,5.4,0,9,0
Brandon Tate,5006,WR,1,NO,56.0,3,,0,0,0,,0,0,0,54.9,3,15,8,5.0,0,0,0
Julian Edelman,5156,WR,12,NE,64.1,20,,0,0,0,,0,0,0,65.4,20,154,25,7.7,0,11,1
Golden Tate,5585,WR,15,PHI,63.0,7,,0,0,0,,0,0,0,64.0,7,28,12,4.0,0,0,0
Andre Roberts,5612,WR,16,NYJ,91.6,63,87.7,40,1174,99,29.4,1,0,0,87.3,23,324,78,14.1,1,27,1
Marcus Sherels,6017,CB,12,MIN,65.2,25,57.1,2,34,17,17.0,0,0,0,69.1,23,276,70,12.0,0,15,0
James Develin,6142,FB,16,NE,59.9,1,59.9,1,12,15,12.0,0,0,0,,0,0,0,,0,0,0
Patrick Peterson,6157,CB,16,ARZ,67.2,9,,0,0,0,,0,0,0,69.6,9,64,16,7.1,0,4,0
Julio Jones,6158,WR,16,ATL,59.9,1,59.9,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Kyle Rudolph,6195,TE,16,MIN,68.1,2,67.4,2,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Randall Cobb,6216,WR,9,GB,60.1,7,,0,0,0,,0,0,0,60.1,7,46,17,6.6,0,6,1
Taiwan Jones,6277,HB,6,BUF,56.5,5,56.8,5,89,27,17.8,0,0,0,,0,0,0,,0,0,0
Anthony Sherman,6288,FB,16,KC,61.2,1,61.2,1,5,5,5.0,0,0,0,,0,0,0,,0,0,0
Jacquizz Rodgers,6297,HB,16,TB,53.5,3,54.2,3,52,21,17.3,0,0,0,,0,0,0,,0,0,0
Jeremy Kerley,6305,WR,1,BUF,60.9,2,,0,0,0,,0,0,0,61.1,2,10,6,5.0,0,0,0
Niles Paul,6307,TE,6,JAX,59.9,1,59.9,1,8,8,8.0,0,0,0,,0,0,0,,0,0,0
Dwayne Harris,6328,WR,15,OAK,72.7,49,60.1,29,663,34,22.9,0,0,0,83.4,20,281,99,14.1,1,15,0
Aldrick Robinson,6330,WR,14,MIN,59.9,1,59.9,1,21,21,21.0,0,0,0,,0,0,0,,0,0,0
T.Y. Hilton,7092,WR,14,IND,60.2,1,,0,0,0,,0,0,0,60.1,1,2,2,2.0,0,0,0
Travis Benjamin,7100,WR,12,LAC,61.5,6,59.0,1,17,17,17.0,0,0,0,63.1,5,16,8,3.2,0,4,0
Orson Charles,7116,TE,13,CLV,59.4,1,59.5,1,12,12,12.0,0,1,0,,0,0,0,,0,0,0
Nate Ebner,7193,S,15,NE,59.9,1,59.9,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Rishard Matthews,7211,WR,8,NYJ,62.0,4,,0,0,0,,0,0,0,62.6,4,38,18,9.5,0,0,0
Michael Thomas,7279,S,16,NYG,61.2,1,61.2,1,4,4,4.0,0,0,0,,0,0,0,,0,0,0
Cole Beasley,7330,WR,16,DAL,61.4,12,59.5,1,8,8,8.0,0,0,0,62.3,11,61,14,5.5,0,18,0
Deonte Thompson,7513,WR,13,BUF,57.2,6,57.5,6,147,35,24.5,0,0,0,,0,0,0,,0,0,0
Tavon Austin,7789,WR,7,DAL,67.3,10,,0,0,0,,0,0,0,69.7,10,58,22,5.8,0,7,0
Cordarrelle Patterson,7810,WR,15,NE,73.3,23,72.0,23,663,95,28.8,1,0,0,60.0,0,0,0,,0,0,0
Giovani Bernard,7818,HB,12,CIN,55.4,2,55.8,2,25,14,12.5,0,0,0,,0,0,0,,0,0,0
Robert Woods,7822,WR,16,LA,59.5,1,59.5,1,0,0,0.0,0,0,0,60.1,0,0,0,,0,1,0
Tyrann Mathieu,7850,S,16,HST,60.6,1,,0,0,0,,0,0,0,60.7,1,6,6,6.0,0,1,0
Keenan Allen,7857,WR,16,LAC,76.7,3,81.5,2,25,25,12.5,0,0,0,53.8,1,0,0,0.0,0,1,1
Kenny Stills,7926,WR,15,MIA,55.3,2,,0,0,0,,0,0,0,54.0,2,6,6,3.0,0,1,1
Chris Thompson,7936,HB,10,WAS,59.9,1,59.9,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Luke Willson,7940,TE,14,DET,63.9,2,63.5,2,35,20,17.5,0,0,0,,0,0,0,,0,0,0
Micah Hyde,7941,S,15,BUF,63.1,9,,0,0,0,,0,0,0,64.2,9,75,31,8.3,0,10,0
Kenjon Barner,7963,HB,9,CAR,45.3,16,65.1,9,220,37,24.4,0,0,0,28.7,7,29,13,4.1,0,6,1
Spencer Ware,7975,HB,13,KC,59.9,1,59.9,1,10,10,10.0,0,0,0,,0,0,0,,0,0,0
Tommy Bohanon,7997,FB,16,JAX,59.9,1,59.9,1,25,25,25.0,0,0,0,,0,0,0,,0,0,0
Nick Williams,8005,WR,4,LA,67.1,4,,0,0,0,,0,0,0,69.3,4,47,38,11.8,0,1,0
Benny Cunningham,8283,HB,15,CHI,58.7,9,58.8,9,173,31,19.2,0,0,0,,0,0,0,,0,0,0
Adam Thielen,8288,WR,16,MIN,64.4,1,61.2,1,0,0,0.0,0,0,0,60.1,0,0,0,,0,1,0
Zach Line,8420,FB,16,NO,59.9,1,59.9,1,16,16,16.0,0,0,0,,0,0,0,,0,0,0
Demetrius Harris,8524,TE,15,KC,59.9,1,59.9,1,11,11,11.0,0,0,0,,0,0,0,,0,0,0
Odell Beckham Jr.,8647,WR,12,NYG,54.6,9,61.2,1,26,26,26.0,0,0,1,49.0,8,34,16,4.3,0,2,1
Cody Latimer,8691,WR,6,NYG,60.1,5,60.0,5,123,34,24.6,0,0,0,,0,0,0,,0,0,0
Allen Robinson II,8696,WR,13,CHI,61.2,1,61.2,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Jarvis Landry,8698,WR,16,CLV,60.5,4,59.7,2,22,14,11.0,0,0,0,61.2,2,10,8,5.0,0,1,0
Terrence Brooks,8714,S,16,NYJ,60.2,1,,0,0,0,,0,0,0,60.1,1,0,0,0.0,0,0,1
Donte Moncrief,8725,WR,16,JAX,59.9,1,59.9,1,7,7,7.0,0,0,0,,0,0,0,,0,0,0
Bashaud Breeland,8737,CB,7,GB,65.0,8,64.5,8,173,38,21.6,0,0,0,,0,0,0,,0,0,0
Bruce Ellington,8741,WR,7,DET,55.4,1,60.0,0,0,0,,0,0,0,54.4,1,0,0,0.0,0,5,1
Logan Thomas,8755,TE,12,BUF,61.2,1,61.2,1,23,23,23.0,0,0,0,,0,0,0,,0,0,0
De'Anthony Thomas,8759,WR,5,KC,57.7,4,54.0,3,58,26,19.3,0,0,0,62.0,1,48,48,48.0,0,0,0
Bene Benwikere,8783,CB,15,OAK,61.2,1,61.2,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Alfred Blue,8816,HB,16,HST,59.9,1,59.9,1,13,13,13.0,0,0,0,,0,0,0,,0,0,0
T.J. Jones,8824,WR,15,DET,62.5,12,58.9,4,81,22,20.3,0,0,0,65.7,8,87,25,10.9,0,8,0
T.J. Carrie,8853,CB,16,CLV,52.2,2,53.0,2,33,19,16.5,0,0,0,,0,0,0,,0,0,0
Kapri Bibbs,8906,HB,12,GB,58.5,3,58.7,3,57,20,19.0,0,0,0,,0,0,0,,0,0,0
Allen Hurns,8931,WR,16,DAL,59.9,1,59.9,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Albert Wilson,8943,WR,7,MIA,61.2,1,61.2,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Scott Simonson,8954,TE,16,NYG,59.9,1,59.9,1,12,12,12.0,0,0,0,,0,0,0,,0,0,0
Willie Snead IV,8999,WR,16,BLT,59.9,1,59.9,1,13,13,13.0,0,0,0,,0,0,0,,0,0,0
Senorise Perry,9035,HB,16,MIA,56.8,8,57.1,8,164,32,20.5,0,0,0,,0,0,0,,0,0,0
Adrian Phillips,9177,S,16,LAC,,1,,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Nelson Agholor,9453,WR,16,PHI,60.2,1,,0,0,0,,0,0,0,60.1,1,0,0,0.0,0,0,0
Ameer Abdullah,9487,HB,10,MIN,55.3,14,55.7,14,365,33,26.1,0,0,0,,0,0,0,,0,0,0
Tyler Lockett,9502,WR,16,SEA,66.6,44,66.3,19,493,84,25.9,0,0,0,62.4,25,143,19,5.7,0,20,0
Chris Conley,9509,WR,16,KC,,1,,1,5,5,5.0,0,0,0,,0,0,0,,0,0,0
Ty Montgomery,9527,HB,13,BLT,53.7,10,54.3,10,210,27,21.0,0,0,0,,0,0,0,,0,0,0
Jamison Crowder,9538,WR,9,WAS,61.1,2,,0,0,0,,0,0,0,61.5,2,20,11,10.0,0,3,0
Justin Hardy,9540,WR,16,ATL,62.4,22,58.8,2,7,7,3.5,0,0,0,64.0,20,147,18,7.4,0,23,0
Blake Bell,9550,TE,10,JAX,59.9,1,59.9,1,9,9,9.0,0,0,0,,0,0,0,,0,0,0
Rashad Greene Sr.,9572,WR,8,JAX,62.8,7,62.3,5,105,31,21.0,0,0,0,61.2,2,16,8,8.0,0,1,0
Kaelin Clay,9617,WR,2,NYG,44.6,5,60.0,0,0,0,,0,0,0,39.7,5,15,6,3.0,0,1,1
Quandre Diggs,9633,S,16,DET,67.7,2,,0,0,0,,0,0,0,69.5,2,4,4,2.0,0,1,0
Neal Sterling,9653,TE,5,NYJ,59.9,1,59.9,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Marcus Murphy,9663,HB,11,BUF,56.1,15,65.6,13,324,49,24.9,0,0,0,35.8,2,15,9,7.5,0,2,0
Zach Zenner,9761,HB,8,DET,61.2,1,61.2,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Eric Tomlinson,9786,TE,15,NYJ,59.9,1,59.9,1,10,10,10.0,0,0,0,,0,0,0,,0,0,0
Corey Grant,9827,HB,5,JAX,59.4,1,59.5,1,6,6,6.0,0,0,0,,0,0,0,,0,0,0
Matt LaCosse,9840,TE,15,DEN,59.9,1,59.9,1,10,10,10.0,0,0,0,,0,0,0,,0,0,0
DeAndre Carter,9859,WR,14,HST,72.7,45,58.5,19,425,30,22.4,0,0,0,82.6,26,249,42,9.6,0,8,2
Matt Longacre,9910,ED,13,LA,59.6,2,59.7,2,30,16,15.0,0,0,0,,0,0,0,,0,0,0
Josh Keyes,9943,LB,3,HST,61.2,1,61.2,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Damiere Byrd,9964,WR,8,CAR,64.5,13,56.3,2,34,22,17.0,0,0,0,70.2,11,104,30,9.5,0,5,0
Darius Jennings,10038,WR,16,TEN,77.5,23,75.8,23,698,94,30.3,1,0,0,,0,0,0,,0,0,0
Adam Humphries,10075,WR,16,TB,59.0,23,58.8,2,17,13,8.5,0,0,0,59.3,21,139,16,6.6,0,15,1
Roosevelt Nix,10269,FB,16,PIT,58.4,1,58.4,1,12,12,12.0,0,0,0,,0,0,0,,0,0,0
Corey Coleman,10649,WR,8,NYG,68.7,24,67.6,23,598,51,26.0,0,0,0,61.4,1,19,19,19.0,0,2,0
Sterling Shepard,10674,WR,16,NYG,60.0,0,60.0,0,27,27,,0,0,0,,0,0,0,,0,0,0
Cyrus Jones,10694,S,13,BLT,70.9,24,59.9,1,12,12,12.0,0,0,0,74.6,23,304,70,13.2,1,20,1
Bronson Kaufusi,10704,ED,3,NYJ,58.7,1,58.7,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Kenyan Drake,10707,HB,16,MIA,53.8,10,54.4,10,213,26,21.3,0,0,0,,0,0,0,,0,0,0
Brandon Williams,10726,CB,16,ARZ,56.1,10,56.5,10,192,29,19.2,0,0,0,,0,0,0,,0,0,0
Chris Moore,10741,WR,16,BLT,65.4,22,64.9,22,491,39,22.3,0,0,0,,0,0,0,,0,0,0
Pharoh Cooper,10751,WR,7,ARZ,63.3,21,61.2,13,277,28,21.3,0,0,0,64.5,8,79,45,9.9,0,1,0
Tyler Ervin,10753,HB,9,HST,63.4,31,58.1,10,253,36,25.3,0,0,0,67.9,21,175,27,8.3,0,7,1
Antonio Morrison,10759,LB,16,GB,59.9,1,59.9,1,0,0,0.0,0,0,0,,0,0,0,,0,0,0
Demarcus Robinson,10760,WR,16,KC,61.0,1,,0,0,0,,0,0,0,61.1,1,0,0,0.0,0,0,0
Devontae Booker,10770,HB,16,DEN,60.6,10,60.6,10,234,35,23.4,0,0,0,,0,0,0,,0,0,0
Wendell Smallwood,10787,HB,16,PHI,55.1,2,55.6,2,33,17,16.5,0,0,0,,0,0,0,,0,0,0
