year,player,player_id,position,player_game_count,team_name,snap_counts_offense,snap_counts_pass,snap_counts_pass_block,snap_counts_run_block,snap_counts_lt,snap_counts_lg,snap_counts_ce,snap_counts_rg,snap_counts_rt,grades_offense,grades_pass_block,grades_run_block,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,penalties,declined_penalties
2019,Tom Brady,698,QB,16,NE,1109,688,0,421,0,0,0,0,0,80.4,,60.1,2,7,7,16,4,0
2019,Drew Brees,802,QB,11,NO,624,415,0,209,0,0,0,0,0,91.2,,60.9,3,0,3,6,2,0
2019,Josh McCown,1085,QB,3,PHI,13,5,0,8,0,0,0,0,0,72.7,,60,0,0,0,0,0,0
2019,Jason Witten,1384,TE,16,DAL,368,0,46,322,0,0,0,0,0,59.4,55.4,60.1,0,1,5,6,1,1
2019,Eli Manning,1722,QB,4,NYG,246,160,0,86,0,0,0,0,0,62.8,,60,1,1,4,6,1,0
2019,Larry Fitzgerald,1724,WR,16,ARZ,273,1,5,267,0,0,0,0,0,70.3,64.4,46.2,0,1,0,1,2,0
2019,Philip Rivers,1725,QB,16,LAC,1026,682,0,344,0,0,0,0,0,74.3,,60.4,4,4,6,14,5,0
2019,Ben Roethlisberger,1732,QB,2,PIT,95,74,0,21,0,0,0,0,0,49,,60,2,0,0,2,0,0
2019,Benjamin Watson,1753,TE,10,NE,221,0,35,186,0,0,0,0,0,53.6,65.2,52.3,0,0,2,2,4,0
2019,Matt Schaub,1811,QB,5,ATL,96,75,0,21,0,0,0,0,0,60.2,,60,1,0,0,1,0,0
2019,Andy Lee,1906,P,2,ARZ,2,1,0,1,0,0,0,0,0,74.2,,60,0,0,0,0,0,0
2019,Jason Peters,2148,T,13,PHI,872,0,562,310,884,1,0,0,0,82.4,87.3,72.5,3,4,14,21,10,0
2019,Aaron Rodgers,2241,QB,16,GB,1037,681,0,356,0,0,0,0,0,81.2,,60,11,5,19,35,10,0
2019,Frank Gore,2282,HB,16,BUF,76,1,35,40,0,0,0,0,0,64.1,70.4,56.8,0,1,1,2,0,0
2019,Richie Incognito,2298,G,12,OAK,766,0,432,334,0,778,0,0,0,74,88.5,68.9,1,0,8,9,8,2
2019,Dustin Colquitt,2316,P,2,KC,2,2,0,0,0,0,0,0,0,19.8,,,0,0,0,0,1,0
2019,Darren Sproles,2347,HB,6,PHI,13,0,9,4,0,0,0,0,0,47,73.2,60,0,0,1,1,2,0
2019,Ryan Fitzpatrick,2467,QB,15,MIA,855,620,0,235,0,0,0,0,0,76.5,,61.2,9,11,12,32,0,0
2019,Vernon Davis,2951,TE,4,WAS,48,0,11,37,1,0,0,0,0,49.4,55.1,46.7,1,0,0,1,2,1
2019,Marcedes Lewis,2973,TE,16,GB,328,0,68,260,0,0,0,0,0,71,73.8,68.3,1,0,3,4,1,0
2019,Andrew Whitworth,3000,T,16,LA,1097,0,710,387,1130,0,0,0,0,72.8,84.7,55.3,1,3,25,29,14,1
2019,Delanie Walker,3120,TE,7,TEN,40,0,5,35,0,0,0,0,0,64,23.3,57.7,0,0,1,1,1,0
2019,Sam Koch,3148,P,3,BLT,3,1,0,2,0,0,0,0,0,60.8,,59.5,0,0,0,0,0,0
2019,Donald Penn,3459,T,16,WAS,885,0,553,332,909,0,0,0,0,64.1,64.1,63.2,6,6,22,34,11,2
2019,Adrian Peterson,3623,HB,15,WAS,44,0,30,14,0,0,0,0,0,67.7,21.2,58.3,1,1,3,5,0,0
2019,Ted Ginn Jr.,3625,WR,16,NO,136,0,0,136,0,0,0,0,0,56.8,,54.8,0,0,0,0,0,0
2019,Marshawn Lynch,3628,HB,1,SEA,1,0,0,1,0,0,0,0,0,59.2,,60,0,0,0,0,0,0
2019,Joe Staley,3644,T,7,SF,434,0,257,177,449,0,0,0,0,72.7,77,64.6,2,2,3,7,2,0
2019,Greg Olsen,3647,TE,14,CAR,318,0,49,269,1,0,0,0,2,66.9,70.1,49.4,2,0,0,2,0,0
2019,Ryan Kalil,3675,C,7,NYJ,343,0,216,127,0,0,354,0,0,55.5,68.2,55.5,0,1,6,7,5,2
2019,Marshal Yanda,3702,G,15,BLT,968,0,491,477,0,0,0,990,0,85.9,84.9,79.5,1,0,8,9,0,0
2019,Zak DeOssie,3732,LS,1,NYG,1,0,1,0,0,0,0,0,0,60,62.1,,0,0,0,0,0,0
2019,Matt Moore,4018,QB,6,KC,166,104,0,62,0,0,0,0,0,63.3,,60,2,1,1,4,0,0
2019,Matt Ryan,4317,QB,15,ATL,1051,732,0,319,0,0,0,0,0,75.8,,60.9,10,6,11,27,3,0
2019,Joe Flacco,4332,QB,8,DEN,524,315,0,209,0,0,0,0,0,67.2,,60,5,1,3,9,1,0
2019,Duane Brown,4340,T,12,SEA,793,0,451,342,807,1,0,0,0,74.1,76.3,64.4,1,2,14,17,2,0
2019,DeSean Jackson,4363,WR,3,PHI,25,0,0,25,0,0,0,0,0,81.7,,58,0,0,0,0,1,0
2019,Matthew Slater,4467,WR,9,NE,20,0,0,20,0,0,0,0,0,59.3,,58.4,0,0,0,0,0,0
2019,Brett Kern,4580,P,3,TEN,2,2,0,0,0,0,0,0,0,62.4,,,0,0,0,0,0,0
2019,Wesley Woodyard,4583,LB,2,TEN,2,0,2,0,0,0,0,0,0,60,88.8,,0,0,0,0,0,0
2019,Chris Clark,4623,T,7,HST,342,0,227,115,118,0,0,0,236,53.2,56.6,47.6,2,3,17,22,3,0
2019,J.J. Jansen,4712,LS,2,CAR,2,0,1,1,0,0,0,0,0,60,60.3,60,0,0,0,0,0,0
2019,Danny Amendola,4717,WR,15,DET,161,1,0,160,0,0,0,0,0,71.5,,65.6,0,0,0,0,1,0
2019,Matthew Stafford,4924,QB,8,DET,531,336,0,195,0,0,0,0,0,82.6,,60,3,1,0,4,3,0
2019,Andre Smith,4929,T,6,CIN,254,0,169,85,248,0,0,0,12,51,58.7,46,3,1,11,15,4,0
2019,Michael Crabtree,4933,WR,2,ARZ,5,0,0,5,0,0,0,0,0,56.7,,82.7,0,0,0,0,0,0
2019,Alex Mack,4944,C,16,ATL,1156,0,803,353,0,0,1192,0,0,72.1,76.3,72.1,2,8,19,29,9,0
2019,LeSean McCoy,4976,HB,13,KC,27,0,16,11,0,0,0,0,0,65.5,63,60.2,0,0,1,1,1,0
2019,Jared Cook,5012,TE,14,NO,137,0,10,127,1,0,0,0,0,75.9,44.7,41.8,0,0,1,1,6,1
2019,Thomas Morstead,5088,P,2,NO,1,0,1,0,0,0,0,0,0,59.3,62,,0,0,0,0,0,0
2019,A.Q. Shipley,5150,C,16,ARZ,1041,0,675,366,0,0,1062,0,0,57.6,71,50.7,2,0,13,15,4,0
2019,Julian Edelman,5156,WR,16,NE,342,2,2,338,0,0,0,0,0,72,71.4,57.6,0,0,0,0,7,0
2019,Chase Daniel,5214,QB,3,CHI,123,79,0,44,0,0,0,0,0,67.4,,60.3,2,0,3,5,1,0
2019,Ramon Foster,5229,G,14,PIT,822,0,505,317,0,844,0,0,0,59,67,51.9,4,2,27,33,2,2
2019,Brian Hoyer,5277,QB,4,IND,123,75,0,48,0,0,0,0,0,68.4,,60,0,0,0,0,0,0
2019,Demar Dotson,5410,T,15,TB,1045,0,676,369,0,0,0,0,1065,71,72.4,67.3,5,3,26,34,10,0
2019,Russell Okung,5531,T,6,LAC,257,0,143,114,262,0,0,0,0,62.4,71.6,56.4,0,1,4,5,6,1
2019,Tyson Alualu,5535,DI,1,PIT,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,2,1
2019,Mike Iupati,5542,G,16,SEA,1015,0,616,399,0,1034,0,1,0,60.3,60.1,60.3,5,2,17,24,8,2
2019,Maurkice Pouncey,5543,C,13,PIT,777,0,489,288,0,0,793,0,0,51.5,57.7,50.3,0,4,14,18,4,1
2019,Demaryius Thomas,5547,WR,11,NYJ,149,0,1,148,0,0,0,0,0,65.9,62.4,36.7,0,0,0,0,2,1
2019,Bryan Bulaga,5548,T,16,GB,898,0,568,330,2,1,0,1,923,77.8,73.1,80.1,4,4,18,26,6,1
2019,Rodger Saffold,5558,G,16,TEN,928,0,538,390,0,958,0,0,0,71.4,75.7,68,6,2,12,20,3,1
2019,Golden Tate,5585,WR,11,NYG,170,0,0,170,0,0,0,0,0,73.9,,66,0,0,0,0,1,0
2019,Jared Veldheer,5594,T,1,GB,35,0,24,11,0,0,0,0,35,69.2,83.6,56.1,0,0,0,0,0,0
2019,John Jerry,5598,T,9,CIN,445,0,314,131,451,0,0,10,0,55.6,54.9,55.3,8,2,17,27,2,1
2019,Emmanuel Sanders,5606,WR,17,SF,312,1,1,310,0,0,0,0,0,78.5,62.4,63.5,0,0,0,0,7,0
2019,Colt McCoy,5609,QB,1,WAS,56,37,0,19,0,0,0,0,0,44.7,,60,3,0,1,4,0,0
2019,Andre Roberts,5612,WR,12,BUF,58,0,0,58,0,0,0,0,0,53.1,,66.7,0,0,0,0,1,0
2019,Jimmy Graham,5619,TE,16,GB,181,0,21,160,0,0,0,0,0,55,70.9,58.3,1,0,0,1,3,0
2019,Marshall Newhouse,5692,T,13,NE,729,0,441,288,654,0,0,0,72,62.6,61.9,56.2,6,8,18,32,3,2
2019,Sam Young,5702,T,1,SF,11,0,1,10,0,0,0,0,10,56.7,63.8,53.7,0,0,0,0,0,0
2019,Antonio Brown,5718,WR,1,NE,6,0,0,6,0,0,0,0,0,90,,60.4,0,0,0,0,0,0
2019,Ted Larsen,5728,G,7,CHI,168,0,104,64,0,0,0,166,0,55.4,43.3,58.4,1,1,4,6,0,0
2019,J'Marcus Webb,5741,T,11,MIA,543,0,372,171,405,0,0,0,134,34.4,32,37.1,7,6,26,39,8,3
2019,Jon Weeks,5800,LS,1,HST,1,0,0,1,0,0,0,0,0,60,,60,0,0,0,0,0,0
2019,Ben Garland,5839,G,8,SF,236,0,129,107,0,1,232,8,0,59.1,62.8,59.3,1,0,3,4,1,0
2019,Morgan Cox,6020,LS,3,BLT,3,0,1,2,0,0,0,0,0,60,62.1,60,0,0,0,0,0,0
2019,James Develin,6142,FB,2,NE,45,0,5,40,0,0,0,0,0,51.7,80.9,48.5,0,0,0,0,0,0
2019,Cam Newton,6153,QB,2,CAR,137,99,0,38,0,0,0,0,0,50.4,,60.2,0,0,0,0,0,0
2019,Julio Jones,6158,WR,15,ATL,200,0,0,200,0,0,0,0,1,90.6,,80.4,0,0,0,0,2,0
