year,team_name,pass_snaps,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
2019,BLT,509,11,11,55,77,91.4
2019,KC,626,13,21,77,111,90.1
2019,ARZ,633,15,6,108,129,88.6
2019,NO,613,10,24,97,131,88.5
2019,DAL,639,8,30,108,146,87.9
2019,OAK,564,21,15,83,119,87.6
2019,DEN,566,21,24,79,124,87.2
2019,TB,707,20,30,112,162,87.1
2019,NE,651,20,23,109,152,86.8
2019,CHI,650,15,26,117,158,86.7
2019,TEN,532,27,22,70,119,86.3
2019,BUF,596,17,19,111,147,86.2
2019,HST,638,19,16,124,159,86.1
2019,PIT,561,15,15,114,144,85.8
2019,GB,635,18,21,123,162,85.8
2019,CLV,595,20,13,118,151,85.6
2019,DET,640,19,22,125,166,85.5
2019,JAX,684,25,17,140,182,84.9
2019,WAS,545,20,20,106,146,84.8
2019,PHI,679,18,35,135,188,84.8
2019,SF,526,21,19,99,139,84.8
2019,ATL,753,29,46,129,204,84.5
2019,NYG,681,25,35,132,192,84.1
2019,IND,576,15,34,120,169,84
2019,MIN,504,20,22,101,143,83.8
2019,SEA,608,27,22,121,170,83.8
2019,LA,664,15,28,164,207,83.3
2019,CIN,673,38,22,138,198,82.5
2019,CAR,714,37,23,161,221,81.9
2019,NYJ,584,24,31,135,190,81.7
2019,LAC,636,26,50,133,209,81.5
2019,MIA,712,31,54,151,236,81.2
