year,player,player_id,position,player_game_count,team_name,pass_snaps,attempts,pass_block_percentage,sacks_allowed,hits_allowed,hurries_allowed,pressures_allowed,pbe
2019,Scott Simonson,8954,TE,5,NYG,27,5,18.5,0,0,0,0,100
2019,Michael Burton,9601,FB,7,WAS,17,3,17.6,0,0,0,0,100
2019,Joe Walker,10885,LB,1,ARZ,1,1,100,0,0,0,0,100
2019,Dwayne Washington,10870,HB,4,NO,4,3,75,0,0,0,0,100
2019,Tyler Larsen,9304,G,4,CAR,13,13,100,0,0,0,0,100
2019,Jerome Cunningham,9400,TE,2,WAS,8,2,25,0,0,0,0,100
2019,Elandon Roberts,10848,LB,4,NE,7,1,14.3,0,0,0,0,100
2019,Derek Watt,10832,FB,16,LAC,41,4,9.8,0,0,0,0,100
2019,Danny Vitale,10831,FB,15,GB,80,13,16.3,0,0,0,0,100
2019,Andy Janovich,10810,FB,7,DEN,55,10,18.2,0,0,0,0,100
2019,Marqui Christian,10801,S,3,LA,3,1,33.3,0,0,0,0,100
2019,Jonathan Williams,10790,HB,5,IND,38,4,10.5,0,0,0,0,100
2019,Paul Perkins,10783,HB,2,DET,8,2,25,0,0,0,0,100
2019,Phillip Dorsett,9462,WR,14,NE,366,1,0.3,0,0,0,0,100
2019,Stephone Anthony,9464,LB,2,NO,2,2,100,0,0,0,0,100
2019,Tajae Sharpe,10774,WR,15,TEN,231,2,0.9,0,0,0,0,100
2019,Devontae Booker,10770,HB,8,DEN,23,1,4.3,0,0,0,0,100
2019,Ameer Abdullah,9487,HB,16,MIN,97,12,12.4,0,0,0,0,100
2019,Demarcus Robinson,10760,WR,16,KC,470,1,0.2,0,0,0,0,100
2019,Tyler Ervin,10753,HB,4,GB,17,1,5.9,0,0,0,0,100
2019,Pharoh Cooper,10751,WR,13,ARZ,150,1,0.7,0,0,0,0,100
2019,Hassan Ridgeway,10750,DI,1,PHI,1,1,100,0,0,0,0,100
2019,Jacoby Brissett,10725,QB,15,IND,504,1,0.2,0,0,0,0,100
2019,Kevin Byard,10698,S,2,TEN,2,1,50,0,0,0,0,100
2019,Tyler Boyd,10689,WR,16,CIN,628,1,0.2,0,0,0,0,100
2019,Chris Conley,9509,WR,16,JAX,585,2,0.3,0,0,0,0,100
2019,Kamalei Correa,10676,ED,2,TEN,2,2,100,0,0,0,0,100
2019,Sterling Shepard,10674,WR,10,NYG,391,1,0.3,0,0,0,0,100
2019,Will Fuller V,10655,WR,11,HST,330,1,0.3,0,0,0,0,100
2019,Tyrell Williams,10154,WR,14,OAK,412,1,0.2,0,0,0,0,100
2019,Justin Hardy,9540,WR,15,ATL,111,1,0.9,0,0,0,0,100
2019,Josh Lambo,10133,K,1,JAX,1,1,100,0,0,0,0,100
2019,Adam Humphries,10075,WR,12,TEN,266,2,0.8,0,0,0,0,100
2019,Javorius Allen,9558,HB,5,NYG,19,6,31.6,0,0,0,0,100
2019,Rick Lovato,10007,LS,1,PHI,1,1,100,0,0,0,0,100
2019,Jake Kumerow,9883,WR,13,GB,183,1,0.5,0,0,0,0,100
2019,Jay Ajayi,9582,HB,2,PHI,8,1,12.5,0,0,0,0,100
2019,Nick O'Leary,9627,TE,12,JAX,179,41,22.9,0,0,0,0,100
2019,James O'Shaughnessy,9606,TE,5,JAX,122,9,7.4,0,0,0,0,100
2019,Dennis Gardeck,66928,LB,1,ARZ,1,1,100,0,0,0,0,100
2019,Tanner Hudson,66924,TE,8,TB,68,4,5.9,0,0,0,0,100
2019,Justin Watson,66915,WR,8,TB,147,1,0.7,0,0,0,0,100
2019,Brandon Zylstra,66438,WR,6,CAR,50,1,2,0,0,0,0,100
2019,Dan Arnold,51842,TE,5,ARZ,69,2,2.9,0,0,0,0,100
2019,Kenny Young,51029,LB,2,LA,2,2,100,0,0,0,0,100
2019,Travin Howard,50959,LB,3,LA,3,3,100,0,0,0,0,100
2019,Andre Smith,50897,LB,1,CAR,1,1,100,0,0,0,0,100
2019,Josey Jewell,50720,LB,1,DEN,1,1,100,0,0,0,0,100
2019,Austin Calitro,50640,LB,2,JAX,2,2,100,0,0,0,0,100
2019,Ogbonnia Okoronkwo,50130,ED,1,LA,1,1,100,0,0,0,0,100
2019,Natrez Patrick,49805,ED,3,LA,3,3,100,0,0,0,0,100
2019,Wesley Woodyard,4583,LB,2,TEN,2,2,100,0,0,0,0,100
2019,Andrew Wingard,49268,S,2,JAX,2,1,50,0,0,0,0,100
2019,J.J. Jansen,4712,LS,1,CAR,1,1,100,0,0,0,0,100
2019,Nick Scott,49012,S,3,LA,3,1,33.3,0,0,0,0,100
2019,Vita Vea,48956,DI,2,TB,2,1,50,0,0,0,0,100
2019,LeSean McCoy,4976,HB,13,KC,159,14,8.8,0,0,0,0,100
2019,Patrick Ricard,48862,DI,16,BLT,77,20,26,0,0,0,0,100
2019,Thomas Morstead,5088,P,2,NO,2,1,50,0,0,0,0,100
2019,Julian Edelman,5156,WR,16,NE,614,2,0.3,0,0,0,0,100
2019,Malik Reed,48567,ED,1,DEN,1,1,100,0,0,0,0,100
2019,Justin Hollins,48498,LB,1,DEN,1,1,100,0,0,0,0,100
2019,A.J. Brown,48327,WR,16,TEN,389,1,0.3,0,0,0,0,100
2019,Deebo Samuel,48274,WR,15,SF,394,3,0.8,0,0,0,0,100
2019,D.J. Moore,48267,WR,15,CAR,580,2,0.3,0,0,0,0,100
2019,Demaryius Thomas,5547,WR,11,NYJ,288,1,0.3,0,0,0,0,100
2019,Robert Foster,48230,WR,11,BUF,135,1,0.7,0,0,0,0,100
2019,Tre'Quan Smith,48228,WR,11,NO,285,3,1.1,0,0,0,0,100
2019,Jared Veldheer,5594,T,1,GB,23,23,100,0,0,0,0,100
2019,Auden Tate,48192,WR,12,CIN,412,6,1.5,0,0,0,0,100
2019,Emmanuel Sanders,5606,WR,17,SF,496,1,0.2,0,0,0,0,100
2019,Keelan Doss,48143,WR,8,OAK,97,1,1,0,0,0,0,100
2019,Allen Lazard,48135,WR,15,GB,297,3,1,0,0,0,0,100
2019,Stanley Morgan Jr.,48110,WR,9,CIN,69,1,1.4,0,0,0,0,100
2019,Malik Turner,48078,WR,15,SEA,129,4,3.1,0,0,0,0,100
2019,Travis Fulgham,48023,WR,3,DET,36,2,5.6,0,0,0,0,100
