year,player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
2019,Darryl Johnson,37479,ED,15,BUF,7,1,0,0,0,0,0,39.6,0,7,
2019,Kyle Wilber,7113,LB,6,OAK,16,2,0,0,0,0,0,39.6,0,8,
2019,Jordan Lucas,10838,S,11,KC,29,3,0,0,0,0,0,39.6,0,9.7,
2019,Al Woods,5646,DI,14,SEA,0,1,0,0,0,0,0,39.6,,0,
2019,Clelin Ferrell,25955,ED,15,OAK,10,2,0,0,0,0,0,39.6,0,5,
2019,Kurt Coleman,5767,S,3,BUF,32,1,0,0,0,0,0,39.6,0,32,
2019,Ronald Blair III,10776,ED,9,SF,2,1,0,0,0,0,0,39.6,0,2,
2019,Josh Mauro,9003,ED,13,OAK,3,1,0,0,0,0,0,39.6,0,3,
2019,Kenny Ladler,9103,S,1,WAS,34,1,0,0,0,0,0,39.6,0,34,
2019,Vita Vea,48956,DI,16,TB,8,1,0,0,0,0,0,39.6,0,8,
2019,Shilique Calhoun,10709,ED,15,NE,6,1,0,0,0,0,0,39.6,0,6,
2019,Arik Armstead,9450,ED,16,SF,4,1,0,0,0,0,0,39.6,0,4,
2019,Robert Quinn,6166,ED,14,DAL,2,2,0,0,0,0,0,39.6,0,1,
2019,Anthony Chickillo,9645,ED,11,PIT,7,1,0,0,0,0,0,39.6,0,7,
2019,Cameron Heyward,6183,DI,16,PIT,0,1,0,0,0,0,0,39.6,,0,
2019,Fletcher Cox,7018,DI,16,PHI,8,1,0,0,0,0,0,39.6,0,8,
2019,Nasir Adderley,33880,S,2,LAC,8,1,0,0,0,0,0,39.6,0,8,
2019,Mark Nzeocha,9669,LB,2,SF,9,1,0,0,0,0,1,0,0,9,
2019,Trey Edmunds,38329,HB,1,PIT,1,1,0,0,0,0,1,0,0,1,
2019,Mario Addison,6558,ED,15,CAR,23,1,0,0,0,0,0,39.6,0,23,
2019,Marcus Davenport,50291,ED,13,NO,28,1,0,0,0,0,0,39.6,0,28,
2019,DeMarcus Walker,11806,DI,10,DEN,0,1,0,0,0,0,0,39.6,,0,
2019,Johnathan Cyprien,7814,S,5,ATL,23,1,0,0,0,0,0,39.6,0,23,
2019,Damion Square,8042,DI,16,LAC,2,1,0,0,0,0,0,39.6,0,2,
2019,Sheldon Richardson,7794,DI,16,CLV,11,1,0,0,0,0,0,39.6,0,11,
2019,Ezekiel Ansah,8094,ED,11,SEA,22,3,0,0,0,0,0,39.6,0,7.3,
2019,Matthew Slater,4467,WR,3,NE,3,1,0,0,0,0,0,39.6,0,3,
2019,Jonathan Allen,11772,DI,15,WAS,3,1,0,0,0,0,0,39.6,0,3,
2019,Barkevious Mingo,7787,ED,7,HST,6,1,0,0,0,0,0,39.6,0,6,
2019,Lerentee McCray,8159,ED,7,JAX,1,1,0,0,0,0,0,39.6,0,1,
2019,Genard Avery,49699,ED,8,PHI,2,1,0,0,0,0,0,39.6,0,2,
2019,Duke Shelley,49569,CB,3,CHI,4,1,0,0,0,0,0,39.6,0,4,
2019,Cody Davis,8458,S,8,JAX,57,2,0,0,0,0,0,39.6,0,28.5,
2019,Jerry Hughes,5556,ED,16,BUF,14,2,0,0,0,0,0,39.6,0,7,
2019,Dorian O'Daniel,51487,LB,2,KC,5,1,0,0,0,0,0,39.6,0,5,
2019,Ka'Dar Hollman,49446,S,1,GB,3,1,0,0,0,0,0,39.6,0,3,
2019,Adrian Colbert,11983,S,6,MIA,210,3,2,11,2,1,0,112.5,0.05,70,105
2019,Earl Thomas III,5539,S,15,BLT,504,13,5,84,15,0,2,21.5,0.17,38.8,100.8
2019,Marcus Epps,51391,S,8,PHI,93,1,1,13,-2,0,0,118.8,0.14,93,93
2019,Quandre Diggs,9633,S,10,SEA,367,8,4,54,52,0,3,32.3,0.15,45.9,91.8
2019,Rayshawn Jenkins,11868,S,16,LAC,515,11,6,161,21,0,3,60,0.31,46.8,85.8
2019,Duron Harmon,7872,S,16,NE,411,9,5,54,9,0,2,33.8,0.13,45.7,82.2
2019,Tre Boston,8763,S,16,CAR,619,16,8,125,19,2,3,76.3,0.2,38.7,77.4
2019,Marcus Maye,11794,S,16,NYJ,644,20,9,195,61,1,1,76,0.3,32.2,71.6
2019,Tarvarius Moore,49178,S,8,SF,142,8,2,23,29,0,0,39.6,0.16,17.8,71
2019,Delano Hill,11849,S,9,SEA,175,5,3,66,21,0,0,104.2,0.38,35,58.3
2019,Andrew Adams,11240,S,12,TB,392,10,7,59,10,1,1,78.8,0.15,39.2,56
2019,Montae Nicholson,11878,S,13,WAS,499,16,9,78,29,1,2,50.5,0.16,31.2,55.4
2019,Armani Watts,51264,S,5,KC,55,2,1,13,0,0,0,70.8,0.24,27.5,55
2019,Marcus Williams,11797,S,15,NO,597,21,11,130,104,1,4,47.8,0.22,28.4,54.3
2019,Jeremy Reaves,50406,S,5,WAS,50,3,1,20,7,0,0,57.6,0.4,16.7,50
2019,Anthony Harris,9895,S,14,MIN,548,17,11,156,49,0,6,54.7,0.28,32.2,49.8
2019,Marcus Gilchrist,6202,S,3,JAX,44,2,1,8,8,0,0,60.4,0.18,22,44
2019,Carl Nassib,10699,ED,14,TB,44,2,1,0,3,0,0,56.3,0,22,44
2019,Juan Thornhill,50426,S,16,KC,575,25,14,127,58,4,3,69.9,0.22,23,41.1
2019,Amani Hooker,51378,S,16,TEN,285,13,7,81,33,0,0,72.9,0.28,21.9,40.7
2019,Deionte Thompson,25444,S,8,ARZ,162,4,4,47,10,0,0,115.6,0.29,40.5,40.5
2019,Tyus Bowser,11802,ED,16,BLT,78,5,2,19,17,0,0,51.3,0.24,15.6,39
2019,Rodney McLeod,7271,S,16,PHI,605,30,16,163,57,1,2,52.5,0.27,20.2,37.8
2019,Minkah Fitzpatrick,51206,S,16,PIT,560,23,15,216,73,3,5,95.6,0.39,24.3,37.3
2019,Malik Hooker,11770,S,13,IND,473,20,13,177,73,4,2,93.1,0.37,23.7,36.4
2019,Will Harris,51336,S,16,DET,433,16,12,166,78,3,0,147.4,0.38,27.1,36.1
2019,Clayton Fejedelem,10879,S,9,CIN,72,2,2,15,11,0,0,97.9,0.21,36,36
2019,Antoine Bethea,3152,S,16,NYG,611,25,17,328,129,5,1,133.8,0.54,24.4,35.9
2019,Jimmie Ward,8665,S,13,SF,462,23,13,153,37,3,0,116.5,0.33,20.1,35.5
2019,Jordan Poyer,8000,S,16,BUF,558,22,17,231,80,3,2,111.9,0.41,25.4,32.8
2019,Curtis Riley,10109,S,10,OAK,161,8,5,112,28,2,0,145.8,0.7,20.1,32.2
2019,Darnell Savage,34247,S,14,GB,481,25,15,188,47,3,2,89.7,0.39,19.2,32.1
2019,Kareem Orr,50513,CB,1,TEN,32,3,1,6,0,0,0,42.4,0.19,10.7,32
2019,John Simon,7911,ED,16,NE,32,2,1,1,0,1,1,56.3,0.03,16,32
2019,Tedric Thompson,11866,S,6,SEA,250,12,8,126,16,0,2,61.8,0.5,20.8,31.3
2019,Darian Stewart,5820,S,6,TB,94,5,3,37,20,0,0,82.9,0.39,18.8,31.3
2019,Troy Apke,49260,S,9,WAS,94,3,3,14,2,0,1,46.5,0.15,31.3,31.3
2019,Erik Harris,10346,S,15,OAK,496,26,16,224,89,3,3,88.1,0.45,19.1,31
2019,Harrison Smith,7641,S,15,MIN,550,30,18,167,80,0,3,35.7,0.3,18.3,30.6
2019,Kamalei Correa,10676,ED,16,TEN,61,4,2,11,6,0,0,56.3,0.18,15.3,30.5
2019,Xavier Woods,11946,S,15,DAL,576,26,19,159,128,0,2,56.4,0.28,22.2,30.3
2019,Micah Hyde,7941,S,16,BUF,571,30,19,202,73,1,1,80.1,0.35,19,30.1
2019,Devin McCourty,5552,S,16,NE,555,30,19,130,94,1,5,44.4,0.23,18.5,29.2
2019,Clayton Geathers,9542,S,14,IND,291,12,10,70,43,1,1,84,0.24,24.3,29.1
2019,Jaquan Johnson,51433,S,1,BUF,29,1,1,9,14,0,0,104.2,0.31,29,29
2019,Karl Joseph,10648,S,9,OAK,313,14,11,235,58,1,1,112.8,0.75,22.4,28.5
2019,Damarious Randall,9463,S,11,CLV,370,21,13,141,41,3,0,121.2,0.38,17.6,28.5
2019,Jaquiski Tartt,9479,S,12,SF,365,25,13,98,42,1,0,75.1,0.27,14.6,28.1
2019,Eric Weddle,3653,S,16,LA,576,28,21,186,138,3,0,128,0.32,20.6,27.4
2019,Kevin Byard,10698,S,16,TEN,651,36,24,249,79,4,5,83.9,0.38,18.1,27.1
2019,Steven Parker,51220,S,12,MIA,189,10,7,100,51,3,2,102.1,0.53,18.9,27
2019,Julian Stanford,7372,LB,1,BUF,27,1,1,5,1,0,0,87.5,0.19,27,27
2019,Ronnie Harrison,49206,S,14,JAX,455,27,17,273,165,2,2,90.5,0.6,16.9,26.8
2019,Morris Claiborne,7012,CB,8,KC,107,7,4,41,14,0,0,74.1,0.38,15.3,26.8
2019,Tashaun Gipson Sr.,7288,S,14,HST,503,26,19,269,118,0,3,66.5,0.53,19.3,26.5
2019,Eddie Jackson,11867,S,16,CHI,605,42,23,256,103,2,2,69.1,0.42,14.4,26.3
2019,Orlando Scandrick,4457,CB,3,PHI,51,4,2,17,4,0,0,61.5,0.33,12.8,25.5
2019,Donovan Olumba,52165,CB,1,DAL,25,1,1,6,0,1,0,131.3,0.24,25,25
2019,Ha Ha Clinton-Dix,8656,S,16,CHI,601,36,24,220,94,1,2,69.2,0.37,16.7,25
2019,Jamal Adams,11761,S,14,NYJ,484,33,20,150,58,2,1,79.1,0.31,14.7,24.2
2019,Bobby McCain,9578,S,9,MIA,266,14,11,136,45,3,2,107.1,0.51,19,24.2
2019,Justin Reid,49048,S,15,HST,554,35,23,239,145,2,2,80.5,0.43,15.8,24.1
2019,Justin Simmons,10732,S,16,DEN,599,47,25,239,85,0,4,32.1,0.4,12.7,24
2019,Tae Hayes,35173,CB,2,MIA,72,16,3,55,17,0,0,41.4,0.76,4.5,24
2019,Will Redmond,10702,S,9,GB,163,9,7,119,56,1,0,155.8,0.73,18.1,23.3
2019,Tony Jefferson,8361,S,5,BLT,162,12,7,169,105,1,0,130.6,1.04,13.5,23.1
2019,Jessie Bates III,49162,S,16,CIN,555,34,24,394,197,2,3,92,0.71,16.3,23.1
2019,Parry Nickerson,50511,CB,1,JAX,23,2,1,10,4,0,0,64.6,0.43,11.5,23
2019,DeShon Elliott,28854,S,3,BLT,23,1,1,22,16,0,0,118.8,0.96,23,23
2019,Jordan Whitehead,49196,S,14,TB,547,41,24,338,116,4,1,107.6,0.62,13.3,22.8
2019,Vince Biegel,11863,ED,15,MIA,67,4,3,24,13,0,1,50,0.36,16.8,22.3
2019,Trey Flowers,9534,ED,15,DET,22,1,1,5,1,0,0,87.5,0.23,22,22
2019,Andrew Sendejo,6118,S,13,MIN,261,17,12,139,62,2,3,94.6,0.53,15.4,21.8
2019,Montre Hartage,49390,S,4,MIA,86,6,4,34,20,1,0,120.8,0.4,14.3,21.5
2019,Andrew Wingard,49268,S,9,JAX,64,3,3,47,16,1,0,158.3,0.73,21.3,21.3
2019,Kyle Phillips,36340,ED,15,NYJ,21,1,1,36,23,0,0,118.8,1.71,21,21
2019,Mike Adams,1972,S,4,HST,42,2,2,11,13,1,0,129.2,0.26,21,21
2019,Lorenzo Carter,50126,ED,15,NYG,42,4,2,17,5,0,0,61.5,0.4,10.5,21
2019,Terrell Edmunds,51334,S,16,PIT,562,37,27,354,129,2,0,120.8,0.63,15.2,20.8
