year,player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
2019,Terrell Suggs,1326,ED,15,KC,690,429,229,32,64.1,76.1,28.9,66.9,29,38,8,4,26,0,24,9,11,25,4,6,6,120,20,85,37,0,0,0,118.8,6,0
2019,Mike Adams,1972,S,4,HST,68,0,24,44,70.9,65.1,80.2,,67.7,0,0,0,0,0,2,1,0,2,0,2,2,11,5.5,13,8,1,0,0,129.2,0,0
2019,Thomas Davis Sr.,2231,LB,16,LAC,805,19,384,402,61.7,67.4,47.8,71.4,55.7,3,2,0,1,0,80,26,19,39,0,71,52,412,7.9,307,27,1,0,2,92,3,0
2019,Lorenzo Alexander,2476,ED,16,BUF,494,211,195,88,64.6,52.6,61.3,69.5,65.7,30,3,7,20,4,32,9,4,16,1,17,15,109,7.3,67,15,1,0,2,113,1,0
2019,Johnathan Joseph,2969,CB,14,HST,622,2,208,412,64,48.7,37.2,75.9,65,0,0,0,0,0,46,4,12,11,0,78,48,627,13.1,210,60,2,1,11,90.1,3,2
2019,Domata Peko Sr.,3068,DI,7,BLT,140,63,75,2,59.5,63.2,34.1,55.6,61.7,7,0,0,7,0,10,3,2,7,0,0,0,0,,0,,0,0,0,0,1,0
2019,Antoine Bethea,3152,S,16,NYG,1107,7,450,650,69.4,81.2,70.3,63.9,62.4,0,0,0,0,0,86,15,13,18,0,25,17,328,19.3,129,45,5,1,5,133.8,1,0
2019,Tramon Williams,3558,CB,16,GB,761,10,247,504,75.1,45,73.8,54.3,82.2,2,0,1,1,0,31,9,4,10,0,57,35,460,13.1,226,61,2,2,5,84,5,0
2019,Eric Weddle,3653,S,16,LA,1031,6,411,614,69,63.4,79.7,73,70.5,3,0,1,2,0,80,21,8,19,0,28,21,186,8.9,138,18,3,0,2,128,2,1
2019,Brandon Mebane,3701,DI,13,LAC,408,208,200,0,48.7,51.7,45.2,48.2,60.1,8,1,1,6,0,17,5,4,12,0,0,0,0,,0,,0,0,0,0,1,0
2019,Dominique Rodgers-Cromartie,4330,CB,2,WAS,62,0,29,33,42.6,51.3,32.2,,41.5,0,0,0,0,0,5,1,2,0,0,7,6,66,11,20,16,0,0,0,106,0,0
2019,Aqib Talib,4334,CB,5,LA,334,0,129,205,55.4,52.4,33.2,,55.8,0,0,0,0,0,11,2,5,2,0,25,13,163,12.5,41,30,3,0,2,112.2,2,2
2019,Calais Campbell,4364,DI,16,JAX,818,515,301,2,90.3,90.6,29.6,80.9,69.2,71,6,19,46,1,41,11,13,35,2,0,0,0,,0,,0,0,0,0,8,0
2019,Brandon Carr,4454,CB,16,BLT,749,36,220,493,67.5,60.3,53.8,68,66.8,15,2,7,6,0,44,2,9,16,0,58,36,344,9.6,143,33,3,0,4,95.8,3,1
2019,Orlando Scandrick,4457,CB,3,PHI,83,5,22,56,91.7,73.8,56.4,99.9,64.3,3,2,0,1,0,5,0,1,5,2,4,2,17,8.5,4,15,0,0,0,61.5,0,0
2019,Matthew Slater,4467,WR,3,NE,3,0,0,3,44.4,,90.6,,47.9,0,0,0,0,0,0,0,0,0,0,1,0,0,,0,,0,0,0,39.6,0,0
2019,Wesley Woodyard,4583,LB,14,TEN,325,22,121,182,56.7,72.4,44.4,62.1,45.4,4,1,1,2,0,32,8,6,15,1,19,17,243,14.3,134,46,1,0,1,136.3,0,0
2019,Cameron Wake,4907,ED,9,TEN,195,181,12,2,83.5,65.3,44.6,77.8,60.2,31,3,8,20,1,1,0,1,3,0,0,0,0,,0,,0,0,0,0,0,0
2019,Malcolm Jenkins,4937,S,16,PHI,1015,74,342,599,67.2,67.7,68.8,65.5,67.5,16,5,5,6,0,63,9,9,32,4,50,30,364,12.1,158,53,1,0,6,89.1,4,1
2019,Clay Matthews,4949,ED,13,LA,614,295,253,66,54.2,57.6,31.3,63.4,30,42,8,6,28,2,25,7,12,17,2,9,8,82,10.3,35,19,0,0,0,104.6,3,0
2019,Patrick Chung,4957,S,13,NE,642,39,223,380,54.9,54.8,62.2,48.3,56,2,0,0,2,0,42,10,6,17,0,44,31,328,10.6,169,33,1,0,3,99.4,1,1
2019,Jason McCourty,5127,CB,12,NE,474,3,141,330,74.4,60.7,78.3,53.4,79.6,0,0,0,0,0,36,2,2,20,0,49,28,260,9.3,91,45,0,1,3,63.3,4,0
2019,Clinton McDonald,5173,DI,9,ARZ,122,80,40,2,45.7,45.9,51.4,56.3,58.3,4,0,0,4,0,6,2,1,3,0,0,0,0,,0,,0,0,0,0,1,1
2019,Steve McLendon,5232,DI,16,NYJ,465,238,226,1,81.2,81.3,70.8,67.8,64.7,18,3,4,11,0,27,5,1,23,0,0,0,0,,0,,0,0,0,0,2,0
2019,Michael Bennett,5273,DI,15,DAL,559,386,167,6,65.7,78.4,41.1,62,65.3,42,7,9,26,0,19,4,5,22,0,0,0,0,,0,,0,0,0,0,8,1
2019,Ndamukong Suh,5527,DI,16,TB,874,614,258,2,69.7,74.4,47,60.3,69.3,39,3,10,26,2,28,11,4,25,0,0,0,0,,0,,0,0,1,0,5,0
2019,Gerald McCoy,5528,DI,16,CAR,697,423,274,0,72,77.1,40.5,68.9,,42,8,8,26,2,21,8,6,25,0,0,0,0,,0,,0,0,0,0,8,0
2019,Joe Haden,5532,CB,16,PIT,1055,1,442,612,70.3,60.6,48.8,56.2,71.3,0,0,0,0,0,63,3,12,20,1,79,42,468,11.1,139,23,6,5,10,70,3,0
2019,Tyson Alualu,5535,DI,16,PIT,432,215,217,0,80.1,79.9,36.9,68.2,63.8,16,1,2,13,2,20,16,6,16,1,0,0,0,,0,,0,0,0,0,2,1
2019,Brandon Graham,5538,ED,16,PHI,775,512,250,13,84.8,76.5,43.2,73.6,71.2,67,9,11,47,0,35,7,8,38,1,0,0,0,,0,,0,0,0,0,2,0
2019,Earl Thomas III,5539,S,15,BLT,891,57,286,548,76.7,55.1,58.1,66.5,84.7,13,2,3,8,0,35,14,9,11,1,13,5,84,16.8,15,34,0,2,1,21.5,3,0
2019,Jason Pierre-Paul,5540,ED,10,TB,586,408,168,10,66.6,74.3,48.1,67.7,40.5,44,9,7,28,3,16,2,6,22,2,3,3,23,7.7,9,11,0,0,0,98.6,6,1
