year,player,player_id,position,player_game_count,team_name,pass_snaps,pass_rush_snaps,pass_rush_percent,sacks,hits,hurries,pressures,prp,lhs_pass_rush_snaps,lhs_pass_rush_percent,lhs_sacks,lhs_hits,lhs_hurries,lhs_pressures,lhs_prp,rhs_pass_rush_snaps,rhs_pass_rush_percent,rhs_sacks,rhs_hits,rhs_hurries,rhs_pressures,rhs_prp
2019,Dre Kirkpatrick,7023,CB,6,CIN,163,1,0.6,1,0,0,1,100,0,0,0,0,0,0,,1,100,1,0,0,1,100
2019,Jimmy Smith,6179,CB,9,BLT,261,1,0.4,1,0,0,1,100,0,0,0,0,0,0,,1,100,1,0,0,1,100
2019,James Bradberry,10696,CB,15,CAR,572,2,0.3,0,0,2,2,50,1,50,0,0,1,1,50,1,50,0,0,1,1,50
2019,Joshua Kalu,51203,CB,3,TEN,30,1,3.3,0,0,1,1,50,0,,0,0,0,0,,0,,0,0,0,0,
2019,Emmanuel Moseley,50430,CB,15,SF,344,1,0.3,0,1,0,1,50,1,100,0,1,0,1,50,0,0,0,0,0,0,
2019,Justin Hardee,18348,CB,2,NO,31,1,3.2,0,0,1,1,50,1,100,0,0,1,1,50,0,0,0,0,0,0,
2019,Darius Phillips,49507,CB,6,CIN,74,3,4.1,0,0,3,3,50,2,66.7,0,0,2,2,50,1,33.3,0,0,1,1,50
2019,Jordan Lucas,10838,S,11,KC,30,1,3.3,0,1,0,1,50,0,0,0,0,0,0,,1,100,0,1,0,1,50
2019,Chidobe Awuzie,11815,CB,16,DAL,608,1,0.2,0,1,0,1,50,1,100,0,1,0,1,50,0,0,0,0,0,0,
2019,Will Harris,51336,S,16,DET,437,4,0.9,1,0,2,3,50,1,25,0,0,1,1,50,3,75,1,0,1,2,50
2019,Phillip Gaines,8722,CB,4,HST,81,1,1.2,0,0,1,1,50,1,100,0,0,1,1,50,0,0,0,0,0,0,
2019,Troy Hill,9881,CB,11,LA,308,1,0.3,0,1,0,1,50,0,0,0,0,0,0,,1,100,0,1,0,1,50
2019,Kentrell Brothers,10794,LB,5,MIN,63,2,3.2,1,0,0,1,50,1,50,1,0,0,1,100,1,50,0,0,0,0,0
2019,J.C. Jackson,42781,CB,16,NE,437,2,0.5,0,0,2,2,50,1,50,0,0,1,1,50,1,50,0,0,1,1,50
2019,Johnathan Abram,34646,S,1,OAK,25,2,8,0,0,2,2,50,0,0,0,0,0,0,,2,100,0,0,2,2,50
2019,Ahkello Witherspoon,11821,CB,10,SF,338,1,0.3,0,0,1,1,50,0,0,0,0,0,0,,1,100,0,0,1,1,50
2019,Eli Apple,10644,CB,15,NO,592,1,0.2,0,1,0,1,50,0,0,0,0,0,0,,1,100,0,1,0,1,50
2019,Tre Herndon,50380,CB,15,JAX,502,1,0.2,0,0,1,1,50,0,0,0,0,0,0,,1,100,0,0,1,1,50
2019,Orlando Scandrick,4457,CB,3,PHI,56,5,8.9,2,0,1,3,50,3,60,2,0,0,2,66.7,2,40,0,0,1,1,25
2019,Alex Brown,28605,CB,1,KC,9,1,11.1,0,1,0,1,50,1,100,0,1,0,1,50,0,0,0,0,0,0,
2019,Isaiah Oliver,50393,CB,16,ATL,544,1,0.2,0,1,0,1,50,0,0,0,0,0,0,,1,100,0,1,0,1,50
2019,Marcus Epps,51391,S,8,PHI,94,1,1.1,0,0,1,1,50,0,,0,0,0,0,,0,,0,0,0,0,
2019,Xavien Howard,10672,CB,5,MIA,147,1,0.7,0,0,1,1,50,1,100,0,0,1,1,50,0,0,0,0,0,0,
2019,Jordan Dangerfield,8468,S,1,PIT,1,1,100,0,1,0,1,50,1,100,0,1,0,1,50,0,0,0,0,0,0,
2019,Marshon Lattimore,11766,CB,14,NO,516,1,0.2,0,0,1,1,50,0,0,0,0,0,0,,1,100,0,0,1,1,50
2019,Antonio Hamilton,11353,CB,6,NYG,73,2,2.7,0,0,2,2,50,2,100,0,0,2,2,50,0,0,0,0,0,0,
