year,player,player_id,position,player_game_count,team_name,run_snaps,tackles,assists,misses,stops,stop_percent
2019,KhaDarel Hodge,26104,WR,1,CLV,1,1,0,0,1,100
2019,Jack Cichy,50787,LB,1,TB,1,1,0,0,1,100
2019,Zach Pascal,12303,WR,1,IND,1,1,0,0,1,100
2019,Darrell Daniels,12122,TE,1,ARZ,1,1,0,0,1,100
2019,Dennis Gardeck,66928,LB,2,ARZ,2,1,1,0,1,50
2019,Brandon Watson,51088,CB,1,JAX,2,1,0,0,1,50
2019,Kavon Frazier,10846,S,3,DAL,6,3,0,0,2,33.3
2019,Rudy Ford,11963,S,1,PHI,3,1,1,0,1,33.3
2019,Devante Bond,10817,ED,4,CHI,6,2,0,0,2,33.3
2019,Jonathan Wynn,48459,DI,1,DET,3,1,0,0,1,33.3
2019,Torry McTyer,49357,CB,2,CIN,3,1,0,0,1,33.3
2019,Cortez Broughton,38524,DI,2,LAC,11,5,0,0,3,27.3
2019,Kevin Givens,28308,DI,1,SF,4,1,0,0,1,25
2019,Kemoko Turay,21702,ED,3,IND,9,2,1,0,2,22.2
2019,Kerry Wynn,8938,ED,2,CIN,5,1,0,0,1,20
2019,Daren Bates,8077,LB,2,TEN,5,1,1,0,1,20
2019,Alex Anzalone,11831,LB,2,NO,5,1,0,0,1,20
2019,Neiko Thorpe,7716,CB,2,SEA,5,2,0,0,1,20
2019,Tanner Vallejo,11950,LB,2,ARZ,21,5,1,0,4,19
2019,Daeshon Hall,11832,ED,5,PHI,16,3,0,0,3,18.8
2019,Taylor Stallworth,48935,DI,4,NO,28,5,0,0,5,17.9
2019,Mike Pennel,9316,DI,8,KC,59,15,6,1,10,16.9
2019,Genard Avery,49699,ED,4,PHI,6,1,0,0,1,16.7
2019,Natrez Patrick,49805,ED,2,LA,6,2,0,0,1,16.7
2019,Tim Williams,11833,ED,3,GB,12,2,0,0,2,16.7
2019,Jordan Kunaszyk,38548,LB,1,CAR,6,1,0,0,1,16.7
2019,Tyler Matakevich,10880,LB,5,PIT,6,1,0,0,1,16.7
2019,Chris Odom,12031,ED,4,WAS,13,3,1,0,2,15.4
2019,Nate Orchard,9484,ED,5,WAS,39,8,1,1,6,15.4
2019,Kevin Minter,7826,LB,8,TB,72,13,2,2,11,15.3
2019,Adam Butler,12214,DI,16,NE,96,14,1,1,14,14.6
2019,Mike Purcell,8530,DI,13,DEN,203,37,13,8,29,14.3
2019,Corey Liuget,6170,DI,10,BUF,77,11,3,0,11,14.3
2019,Justin Ellis,8742,DI,4,BLT,28,5,0,0,4,14.3
2019,Gerald Willis III,27584,DI,2,MIA,7,2,0,0,1,14.3
2019,Brandin Bryant,11280,DI,4,CLV,21,3,1,1,3,14.3
2019,Josiah Tauaefa,49714,LB,1,NYG,14,3,0,0,2,14.3
2019,Zach Cunningham,11812,LB,16,HST,331,68,23,7,47,14.2
2019,Pernell McPhee,6317,ED,7,BLT,74,13,2,1,10,13.5
2019,Kevin Pierre-Louis,8767,LB,6,CHI,67,13,6,3,9,13.4
