year,player,player_id,position,player_game_count,team_name,coverage_snaps,targets,receptions,yards,yards_after_catch,touchdowns,interceptions,qb_rating_against,yards_per_coverage_snap,coverage_snaps_per_target,coverage_snaps_per_reception
2019,Darius Phillips,49507,CB,3,CIN,13,1,0,0,0,0,0,39.6,0,13,
2019,Duke Shelley,49569,CB,3,CHI,3,1,0,0,0,0,0,39.6,0,3,
2019,Andrew Adams,11240,S,10,TB,26,1,0,0,0,0,0,39.6,0,26,
2019,Jermaine Grace,12081,LB,1,ATL,1,1,0,0,0,0,0,39.6,0,1,
2019,Justin Hardee,18348,CB,1,NO,2,1,0,0,0,0,0,39.6,0,2,
2019,Ryan Smith,10742,CB,1,TB,4,1,0,0,0,0,0,39.6,0,4,
2019,David Long Jr.,27377,CB,4,LA,20,1,0,0,0,0,0,39.6,0,20,
2019,Albert McClellan,6022,LB,1,NYJ,2,1,0,0,0,0,0,39.6,0,2,
2019,Johnathan Cyprien,7814,S,2,ATL,2,1,0,0,0,0,0,39.6,0,2,
2019,Johnson Bademosi,7374,CB,2,NO,7,1,0,0,0,0,0,39.6,0,7,
2019,Sam Hubbard,48457,ED,6,CIN,10,1,0,0,0,0,0,39.6,0,10,
2019,Holton Hill,50414,CB,3,MIN,5,1,0,0,0,0,0,39.6,0,5,
2019,Kyle Wilber,7113,LB,4,OAK,5,2,0,0,0,0,0,39.6,0,2.5,
2019,Isaac Yiadom,49355,CB,5,DEN,8,1,0,0,0,0,0,39.6,0,8,
2019,Simeon Thomas,51583,CB,6,WAS,11,1,0,0,0,0,0,39.6,0,11,
2019,Tyler Matakevich,10880,LB,1,PIT,1,1,0,0,0,0,0,39.6,0,1,
2019,Dominique Rodgers-Cromartie,4330,CB,1,WAS,1,1,0,0,0,0,0,39.6,0,1,
2019,C.J. Mosley,8652,LB,2,NYJ,2,1,0,0,0,0,0,39.6,0,2,
2019,John Johnson III,11847,S,6,LA,30,2,0,0,0,0,0,39.6,0,15,
2019,Matthew Slater,4467,WR,1,NE,1,1,0,0,0,0,0,39.6,0,1,
2019,Elandon Roberts,10848,LB,3,NE,3,2,0,0,0,0,0,39.6,0,1.5,
2019,Miles Killebrew,10745,LB,3,DET,5,1,0,0,0,0,0,39.6,0,5,
2019,Bashaud Breeland,8737,CB,6,KC,9,1,0,0,0,0,0,39.6,0,9,
2019,Alex Okafor,7885,ED,2,KC,3,1,0,0,0,0,0,39.6,0,3,
2019,Greg Mabin,12068,CB,4,CIN,9,1,0,0,0,0,0,39.6,0,9,
2019,Jaquiski Tartt,9479,S,12,SF,62,7,1,12,10,0,0,39.6,0.19,8.9,62
2019,Minkah Fitzpatrick,51206,S,13,PIT,51,2,1,3,1,1,0,95.8,0.06,25.5,51
2019,Sidney Jones,11798,CB,4,PHI,41,4,1,21,15,0,0,49,0.51,10.3,41
2019,Malcolm Butler,9040,CB,8,TEN,36,3,1,19,9,0,0,56.3,0.53,12,36
2019,Tony Jefferson,8361,S,5,BLT,34,1,1,9,0,0,0,104.2,0.26,34,34
2019,Amani Hooker,51378,S,12,TEN,34,4,1,12,1,0,0,39.6,0.35,8.5,34
2019,Jabrill Peppers,11780,S,11,NYG,64,5,2,21,2,0,0,52.9,0.33,12.8,32
2019,Marcus Maye,11794,S,16,NYJ,90,8,3,75,20,1,0,112,0.83,11.3,30
2019,Alexander Johnson,15267,LB,11,DEN,30,1,1,2,0,0,0,79.2,0.07,30,30
2019,Will Redmond,10702,S,8,GB,27,2,1,3,0,1,0,95.8,0.11,13.5,27
2019,Troy Hill,9881,CB,11,LA,27,1,1,12,12,0,0,116.7,0.44,27,27
2019,Anthony Harris,9895,S,14,MIN,102,5,4,28,3,0,0,90,0.27,20.4,25.5
2019,Earl Thomas III,5539,S,14,BLT,51,2,2,39,11,0,0,118.8,0.76,25.5,25.5
2019,Juan Thornhill,50426,S,16,KC,93,8,4,38,17,0,1,24,0.41,11.6,23.3
2019,Orlando Scandrick,4457,CB,3,PHI,46,4,2,17,4,0,0,61.5,0.37,11.5,23
2019,Neville Hewitt,9836,LB,8,NYJ,23,6,1,11,5,0,0,39.6,0.48,3.8,23
2019,Charvarius Ward,43034,CB,12,KC,22,1,1,6,0,1,0,131.3,0.27,22,22
2019,Kevin Byard,10698,S,16,TEN,107,8,5,54,13,2,2,82.3,0.5,13.4,21.4
2019,Micah Hyde,7941,S,16,BUF,104,9,5,47,32,1,1,67.6,0.45,11.6,20.8
2019,Trayvon Mullen,41968,CB,10,OAK,20,2,1,6,1,0,0,56.3,0.3,10,20
2019,Jalen Mills,10867,CB,6,PHI,20,5,1,13,17,0,0,39.6,0.65,4,20
2019,Malcolm Jenkins,4937,S,16,PHI,180,17,9,70,46,0,0,63.4,0.39,10.6,20
2019,Rayshawn Jenkins,11868,S,13,LAC,20,1,1,4,0,0,0,83.3,0.2,20,20
2019,Jalen Ramsey,10639,CB,11,LA,59,5,3,19,4,0,1,28.3,0.32,11.8,19.7
2019,Quandre Diggs,9633,S,9,SEA,39,3,2,31,32,0,1,61.1,0.79,13,19.5
2019,Tashaun Gipson Sr.,7288,S,13,HST,77,6,4,66,29,0,0,103.5,0.86,12.8,19.3
2019,Eddie Jackson,11867,S,16,CHI,134,16,7,55,35,0,0,52.9,0.41,8.4,19.1
2019,Jimmy Smith,6179,CB,7,BLT,19,5,1,4,0,1,0,79.2,0.21,3.8,19
2019,Duron Harmon,7872,S,8,NE,19,2,1,4,2,0,1,16.7,0.21,9.5,19
2019,Duke Dawson Jr.,51576,CB,10,DEN,183,13,10,112,57,0,0,102.1,0.61,14.1,18.3
2019,Curtis Riley,10109,S,8,OAK,18,2,1,35,11,1,0,135.4,1.94,9,18
2019,B.W. Webb,7896,CB,13,CIN,106,11,6,71,36,0,0,74.4,0.67,9.6,17.7
2019,Jordan Poyer,8000,S,13,BUF,52,4,3,33,11,0,0,99,0.63,13,17.3
2019,Luke Kuechly,7015,LB,14,CAR,52,3,3,30,31,0,0,108.3,0.58,17.3,17.3
2019,Ken Webster,12955,CB,6,MIA,17,2,1,1,4,0,0,56.3,0.06,8.5,17
2019,Keion Crossen,49454,S,4,HST,17,1,1,25,22,0,0,118.8,1.47,17,17
2019,Ryan Lewis,12017,CB,7,MIA,17,4,1,11,5,0,0,39.6,0.65,4.3,17
2019,Will Harris,51336,S,13,DET,51,4,3,28,4,1,0,133.3,0.55,12.8,17
2019,Darqueze Dennard,8659,CB,9,CIN,235,26,14,134,76,0,0,68.4,0.57,9,16.8
2019,Andrew Sendejo,6118,S,10,MIN,50,6,3,31,-2,0,0,65.3,0.62,8.3,16.7
2019,Kenny Vaccaro,7796,S,16,TEN,80,9,5,43,15,0,0,68.3,0.54,8.9,16
2019,Darian Thompson,10705,S,6,DAL,32,2,2,17,8,0,0,102.1,0.53,16,16
2019,Karl Joseph,10648,S,7,OAK,32,2,2,39,9,0,0,118.8,1.22,16,16
2019,Jamal Adams,11761,S,14,NYJ,78,6,5,47,5,1,0,138.9,0.6,13,15.6
2019,Mike Ford,50535,CB,6,DET,31,5,2,30,5,1,0,100,0.97,6.2,15.5
2019,Damarious Randall,9463,S,11,CLV,61,8,4,45,22,0,0,67.2,0.74,7.6,15.3
2019,Shaun Dion Hamilton,49706,LB,10,WAS,15,1,1,8,10,0,0,100,0.53,15,15
2019,Dont'a Hightower,7030,LB,9,NE,15,2,1,5,4,0,0,56.3,0.33,7.5,15
2019,Tarvarius Moore,49178,S,6,SF,15,1,1,8,10,0,0,100,0.53,15,15
2019,Joe Thomas,9272,LB,12,DAL,30,3,2,6,0,0,0,70.1,0.2,10,15
2019,Sheldrick Redwine,50458,S,7,CLV,30,2,2,5,14,0,0,79.2,0.17,15,15
2019,Justin Simmons,10732,S,16,DEN,103,15,7,32,23,0,2,13.9,0.31,6.9,14.7
2019,Eric Murray,10740,CB,8,CLV,162,16,11,112,45,0,0,88.5,0.69,10.1,14.7
2019,Tramon Williams,3558,CB,16,GB,358,42,25,328,185,1,1,82.2,0.92,8.5,14.3
2019,Rodney McLeod,7271,S,16,PHI,85,10,6,43,23,0,0,70,0.51,8.5,14.2
2019,Brandon Wilson,11962,S,7,CIN,28,2,2,31,18,0,0,118.8,1.11,14,14
2019,Tae Hayes,35173,CB,2,MIA,14,4,1,34,5,0,0,62.5,2.43,3.5,14
2019,Ronnie Harrison,49206,S,12,JAX,42,5,3,62,20,0,0,103.7,1.48,8.4,14
2019,Samson Ebukam,11880,ED,8,LA,14,2,1,5,8,0,0,56.3,0.36,7,14
2019,D.J. Hayden,7793,CB,15,JAX,335,38,24,195,110,0,0,76.1,0.58,8.8,14
2019,Wesley Woodyard,4583,LB,8,TEN,14,1,1,6,4,0,0,91.7,0.43,14,14
2019,Darnell Savage,34247,S,14,GB,137,13,10,88,24,1,1,88,0.64,10.5,13.7
2019,Tramaine Brock Sr.,5903,CB,14,TEN,216,25,16,228,103,2,0,120.1,1.06,8.6,13.5
2019,Nickell Robey-Coleman,8483,CB,16,LA,431,53,32,272,144,1,0,80.1,0.63,8.1,13.5
2019,Eric Rowe,9480,CB,16,MIA,175,23,13,177,74,1,0,95.7,1.01,7.6,13.5
2019,Cameron Sutton,11850,CB,16,PIT,107,15,8,62,17,0,0,63.8,0.58,7.1,13.4
2019,Chandon Sullivan,49349,CB,10,GB,80,13,6,89,34,0,1,37,1.11,6.2,13.3
2019,Bradley McDougald,8220,S,14,SEA,93,11,7,64,31,0,0,79.4,0.69,8.5,13.3
2019,Jermaine Carter,28838,LB,5,CAR,13,1,1,7,9,0,0,95.8,0.54,13,13
2019,Dylan Cole,24304,LB,5,HST,13,1,1,4,0,0,0,83.3,0.31,13,13
2019,Kevin Johnson,9449,CB,9,BUF,91,11,7,113,51,0,0,97.9,1.24,8.3,13
2019,Chris Jones,49339,CB,5,ARZ,13,2,1,24,0,0,0,93.8,1.85,6.5,13
2019,Clay Matthews,4949,ED,11,LA,13,1,1,19,5,0,0,118.8,1.46,13,13
2019,Anthony Averett,50365,CB,6,BLT,26,4,2,37,15,0,0,82.3,1.42,6.5,13
2019,Donte Jackson,49377,CB,6,CAR,13,1,1,18,4,0,0,118.8,1.38,13,13
2019,Ryan Connelly,49840,LB,4,NYG,13,1,1,5,0,0,0,87.5,0.38,13,13
2019,Brian Poole,11052,CB,14,NYJ,417,51,32,237,131,1,1,72.1,0.57,8.2,13
2019,Joe Schobert,10733,LB,13,CLV,39,7,3,16,14,1,0,89.9,0.41,5.6,13
2019,Denzel Ward,49558,CB,12,CLV,38,7,3,75,19,0,0,82.4,1.97,5.4,12.7
2019,Emmanuel Moseley,50430,CB,9,SF,38,5,3,40,17,0,0,85.4,1.05,7.6,12.7
2019,Dre Greenlaw,51503,LB,13,SF,63,5,5,44,32,0,0,103.3,0.7,12.6,12.6
2019,Phillip Gaines,8722,CB,2,HST,25,4,2,29,2,1,0,113.5,1.16,6.3,12.5
2019,Blidi Wreh-Wilson,7851,CB,8,ATL,25,3,2,29,11,1,0,137.5,1.16,8.3,12.5
2019,Chauncey Gardner-Johnson,49371,S,14,NO,200,27,16,158,77,2,1,85.1,0.79,7.4,12.5
2019,Quinton Dunbar,10073,CB,9,WAS,25,4,2,22,7,0,1,27.1,0.88,6.3,12.5
2019,Nick Vigil,10721,LB,15,CIN,50,7,4,50,12,0,0,79.5,1,7.1,12.5
2019,Harrison Smith,7641,S,15,MIN,62,6,5,54,20,0,1,64.6,0.87,10.3,12.4
2019,Bradley Roby,8666,CB,10,HST,149,17,12,144,61,0,0,96.2,0.97,8.8,12.4
2019,Jordan Whitehead,49196,S,14,TB,99,11,8,101,24,1,0,131.3,1.02,9,12.4
2019,Benardrick McKinney,9476,LB,12,HST,37,3,3,17,8,0,0,90.3,0.46,12.3,12.3
2019,Marcell Harris,51408,S,7,SF,49,7,4,47,16,1,0,117.3,0.96,7,12.3
2019,Devin McCourty,5552,S,14,NE,61,5,5,40,27,1,0,139.6,0.66,12.2,12.2
2019,Delano Hill,11849,S,5,SEA,12,1,1,13,10,0,0,118.8,1.08,12,12
2019,Stephon Gilmore,7016,CB,16,NE,120,20,10,161,77,1,2,54.4,1.34,6,12
2019,Montae Nicholson,11878,S,11,WAS,24,3,2,27,4,0,0,95.1,1.13,8,12
2019,Tedric Thompson,11866,S,3,SEA,12,1,1,41,1,0,0,118.8,3.42,12,12
2019,Marcus Peters,9451,CB,13,BLT,48,5,4,33,22,1,0,133.8,0.69,9.6,12
2019,James Bradberry,10696,CB,9,CAR,12,1,1,15,0,0,0,118.8,1.25,12,12
2019,Kamalei Correa,10676,ED,6,TEN,12,1,1,11,6,0,0,112.5,0.92,12,12
2019,T.J. Carrie,8853,CB,14,CLV,202,23,17,154,100,0,0,91.6,0.76,8.8,11.9
2019,Carlton Davis,49335,CB,13,TB,47,12,4,11,14,1,0,70.1,0.23,3.9,11.8
2019,Will Parks,10853,S,13,DEN,211,26,18,222,89,5,0,134.9,1.05,8.1,11.7
2019,Shakial Taylor,33464,CB,4,DEN,35,5,3,36,22,0,0,82.1,1.03,7,11.7
2019,Marqui Christian,10801,S,13,LA,80,10,7,67,35,3,0,127.9,0.84,8,11.4
2019,Patrick Chung,4957,S,12,NE,101,15,9,104,40,0,0,81,1.03,6.7,11.2
2019,Anthony Brown,10823,CB,8,DAL,123,15,11,137,58,0,0,101.3,1.11,8.2,11.2
2019,Javien Elliott,11418,CB,11,CAR,256,29,23,196,115,0,1,80.5,0.77,8.8,11.1
2019,Steven Parker,51220,S,4,MIA,11,2,1,8,10,0,1,20.8,0.73,5.5,11
2019,Jourdan Lewis,11846,CB,15,DAL,297,41,27,372,181,2,2,90.7,1.25,7.2,11
2019,Kevin Minter,7826,LB,4,TB,11,2,1,6,0,0,0,56.3,0.55,5.5,11
2019,Vontaze Burfict,7280,LB,3,OAK,11,1,1,8,11,0,0,100,0.73,11,11
2019,Johnathan Joseph,2969,CB,11,HST,33,6,3,41,19,0,0,72.2,1.24,5.5,11
2019,Kendall Fuller,10718,CB,11,KC,220,27,20,245,104,3,0,138.7,1.11,8.1,11
2019,Rashad Fenton,49329,CB,7,KC,88,16,8,87,22,1,1,61.2,0.99,5.5,11
2019,Rock Ya-Sin,49564,CB,12,IND,22,5,2,21,3,0,0,52.9,0.95,4.4,11
2019,Marquise Blair,56263,S,4,SEA,22,5,2,24,15,0,0,55.4,1.09,4.4,11
2019,Landon Collins,9466,S,15,WAS,120,14,11,111,52,1,0,123.5,0.93,8.6,10.9
2019,Adrian Phillips,9177,S,7,LAC,43,5,4,26,18,0,0,88.3,0.6,8.6,10.8
2019,Kareem Jackson,5545,S,13,DEN,118,17,11,122,18,1,0,105.5,1.03,6.9,10.7
2019,Vonn Bell,10695,S,13,NO,74,11,7,70,36,1,0,111.9,0.95,6.7,10.6
2019,Devin Bush,27375,LB,16,PIT,85,13,8,94,70,1,1,77.1,1.11,6.5,10.6
2019,Jahleel Addae,8117,S,14,HST,42,6,4,43,5,1,0,127.1,1.02,7,10.5
2019,Preston Brown,8708,LB,8,JAX,21,2,2,19,20,0,0,106.3,0.9,10.5,10.5
2019,Akeem King,9682,S,6,SEA,42,6,4,51,23,0,0,93.1,1.21,7,10.5
2019,D.J. Reed Jr.,26940,CB,5,SF,52,6,5,26,15,0,0,84.7,0.5,8.7,10.4
2019,Jonathan Jones,11217,CB,15,NE,303,46,29,360,159,2,0,101.7,1.19,6.6,10.4
2019,Tre Herndon,50380,CB,9,JAX,31,7,3,98,36,1,0,129.5,3.16,4.4,10.3
2019,Kendall Sheffield,34105,CB,14,ATL,264,36,26,275,136,1,0,103.4,1.04,7.3,10.2
2019,Jimmie Ward,8665,S,12,SF,81,11,8,108,29,2,0,143.2,1.33,7.4,10.1
2019,Tahir Whitehead,7135,LB,15,OAK,71,12,7,94,71,1,0,111.1,1.32,5.9,10.1
2019,Troy Apke,49260,S,5,WAS,10,1,1,6,0,0,0,91.7,0.6,10,10
2019,T.J. Watt,11785,ED,10,PIT,20,3,2,5,3,0,1,30.6,0.25,6.7,10
2019,Malcolm Smith,6394,LB,2,DAL,10,1,1,38,19,0,0,118.8,3.8,10,10
2019,Amani Oruwariye,50533,CB,6,DET,30,6,3,55,14,1,2,81.9,1.83,5,10
2019,Marshon Lattimore,11766,CB,10,NO,20,6,2,68,59,0,0,77.1,3.4,3.3,10
2019,Ha Ha Clinton-Dix,8656,S,14,CHI,60,10,6,42,23,0,0,69.6,0.7,6,10
2019,Eric Kendricks,9478,LB,12,MIN,30,8,3,40,18,0,0,54.2,1.33,3.8,10
2019,Chris Harris Jr.,6457,CB,9,DEN,30,3,3,22,5,0,0,97.2,0.73,10,10
2019,Jimmy Moreland,28704,CB,14,WAS,223,28,23,224,98,1,0,111.9,1,8,9.7
2019,Leonard Floyd,10643,ED,9,CHI,19,2,2,8,9,0,0,83.3,0.42,9.5,9.5
2019,Kenny Moore II,51596,CB,11,IND,210,26,22,150,56,1,2,71.5,0.71,8.1,9.5
2019,Bud Dupree,9455,ED,8,PIT,19,3,2,18,5,0,0,82.6,0.95,6.3,9.5
2019,Matthew Adams,38526,LB,7,IND,19,2,2,19,25,0,0,106.3,1,9.5,9.5
2019,Nevin Lawson,8768,CB,9,OAK,95,14,10,110,36,1,0,118.2,1.16,6.8,9.5
2019,Jermaine Whitehead,9698,S,8,CLV,47,6,5,53,25,2,0,143.1,1.13,7.8,9.4
2019,Chuck Clark,11941,S,13,BLT,66,10,7,61,13,0,0,85.8,0.92,6.6,9.4
2019,Mike Hughes,34057,CB,11,MIN,103,18,11,75,41,0,0,70.4,0.73,5.7,9.4
2019,Avonte Maddox,50543,CB,12,PHI,292,48,31,336,168,2,0,99,1.15,6.1,9.4
2019,Tony McRae,11358,CB,7,CIN,56,10,6,68,34,0,0,80.4,1.21,5.6,9.3
2019,William Jackson III,10658,CB,10,CIN,28,4,3,52,24,0,0,116.7,1.86,7,9.3
2019,Coty Sensabaugh,7115,CB,4,WAS,65,9,7,90,28,1,0,145.4,1.38,7.2,9.3
2019,Vince Williams,7988,LB,10,PIT,28,4,3,15,1,0,0,80.2,0.54,7,9.3
2019,Michael Thomas,7279,S,12,NYG,56,7,6,78,17,0,0,113.1,1.39,8,9.3
2019,Leighton Vander Esch,50950,LB,8,DAL,46,8,5,56,15,0,0,83.3,1.22,5.8,9.2
2019,Jaylen Watkins,8736,S,10,LAC,55,7,6,48,41,0,0,95.2,0.87,7.9,9.2
2019,Ross Cockrell,8744,CB,11,CAR,155,24,17,138,83,1,0,99,0.89,6.5,9.1
2019,Khari Willis,51304,S,12,IND,73,10,8,59,22,0,0,91.3,0.81,7.3,9.1
