year,player,player_id,position,player_game_count,team_name,snaps,run_snaps,run_tackles,run_assists,run_misses,run_stops,run_tackle_efficiency,pass_snaps,pass_tackles,pass_assists,pass_misses,pass_stops,pass_tackle_efficiency,combined_tackle_efficiency
2019,Mario Edwards Jr.,9468,DI,14,NO,280,116,5,2,0,3,1.00E+03,164,0,0,0,3,,1.00E+03
2019,Stephone Anthony,9464,LB,2,NO,24,11,1,0,0,1,1.00E+03,13,0,0,0,0,,1.00E+03
2019,Jalyn Holmes,48400,DI,6,MIN,71,31,2,1,0,2,1.00E+03,40,1,0,0,1,1.00E+03,1.00E+03
2019,Emeke Egbule,45378,ED,7,LAC,23,9,1,0,0,1,1.00E+03,14,1,0,0,0,1.00E+03,1.00E+03
2019,Trumaine Johnson,7067,CB,7,NYJ,292,114,3,1,0,2,1.00E+03,178,20,0,0,6,1.00E+03,1.00E+03
2019,Joe Jackson,44615,ED,5,DAL,68,21,3,0,0,2,1.00E+03,47,0,1,0,0,1.00E+03,1.00E+03
2019,Tuzar Skipper,44583,ED,6,PIT,39,14,0,1,0,0,1.00E+03,25,0,0,0,1,,1.00E+03
2019,Kyle Wilber,7113,LB,8,OAK,60,31,0,2,0,0,1.00E+03,29,1,0,0,0,1.00E+03,1.00E+03
2019,Coty Sensabaugh,7115,CB,5,WAS,146,53,1,0,0,0,1.00E+03,93,8,1,0,2,1.00E+03,1.00E+03
2019,Frank Herron,39383,DI,3,DET,100,46,4,3,0,2,1.00E+03,54,0,0,0,0,,1.00E+03
2019,Folorunso Fatukasi,38558,DI,14,NYJ,367,196,15,6,0,14,1.00E+03,171,1,0,0,1,1.00E+03,1.00E+03
2019,Jordan Kunaszyk,38548,LB,1,CAR,7,6,1,0,0,1,1.00E+03,1,0,0,0,0,,1.00E+03
2019,Cortez Broughton,38524,DI,2,LAC,20,11,5,0,0,3,1.00E+03,9,0,0,0,0,,1.00E+03
2019,Bryan Mone,38461,DI,4,SEA,83,42,2,1,0,1,1.00E+03,41,0,0,0,0,,1.00E+03
2019,Linden Stephens,38426,CB,2,MIA,29,11,1,0,0,0,1.00E+03,18,2,0,0,0,1.00E+03,1.00E+03
2019,Miles Brown,37161,DI,9,ARZ,111,59,3,1,0,2,1.00E+03,52,0,0,0,0,,1.00E+03
2019,Albert Huggins,36862,DI,4,PHI,41,15,1,1,0,1,1.00E+03,26,0,1,0,0,1.00E+03,1.00E+03
2019,Austin Bryant,36248,ED,4,DET,129,42,3,2,0,3,1.00E+03,87,1,1,0,0,1.00E+03,1.00E+03
2019,Johnson Bademosi,7374,CB,4,NO,32,11,1,0,0,0,1.00E+03,21,2,0,0,1,1.00E+03,1.00E+03
2019,Jalen Guyton,34164,WR,1,LAC,1,0,0,0,0,0,,1,1,0,0,0,1.00E+03,1.00E+03
2019,T.J. Edwards,30737,LB,12,PHI,110,80,10,5,0,7,1.00E+03,30,4,0,0,2,1.00E+03,1.00E+03
2019,Neiko Thorpe,7716,CB,4,SEA,20,5,2,0,0,1,1.00E+03,15,2,0,0,1,1.00E+03,1.00E+03
2019,Ahmad Gooden,29951,ED,3,DEN,24,10,0,1,0,0,1.00E+03,14,1,0,0,0,1.00E+03,1.00E+03
2019,Barkevious Mingo,7787,ED,8,HST,74,39,1,0,0,0,1.00E+03,35,0,0,0,0,,1.00E+03
2019,Chris Board,29456,LB,7,BLT,62,28,2,2,0,2,1.00E+03,34,1,0,0,0,1.00E+03,1.00E+03
2019,Joejuan Williams,29113,CB,6,NE,77,26,0,0,0,0,,51,2,0,0,1,1.00E+03,1.00E+03
2019,DeShon Elliott,28854,S,4,BLT,36,11,0,2,0,0,1.00E+03,25,3,0,0,0,1.00E+03,1.00E+03
2019,Rob McCray,28474,ED,1,CLV,23,11,1,0,0,1,1.00E+03,12,0,0,0,0,,1.00E+03
2019,Kevin Givens,28308,DI,1,SF,10,4,1,0,0,1,1.00E+03,6,0,0,0,0,,1.00E+03
2019,Gerald Willis III,27584,DI,2,MIA,18,7,2,0,0,1,1.00E+03,11,0,0,0,0,,1.00E+03
2019,Mazzi Wilkins,27582,CB,3,TB,11,2,0,0,0,0,,9,3,0,0,1,1.00E+03,1.00E+03
2019,Johnathan Cyprien,7814,S,5,ATL,35,11,2,0,0,1,1.00E+03,24,2,0,0,0,1.00E+03,1.00E+03
2019,David Long Jr.,27377,CB,5,LA,101,22,1,0,0,1,1.00E+03,79,7,0,0,2,1.00E+03,1.00E+03
