year,player,player_id,position,player_game_count,team_name,targets,deep_targets,deep_receptions,deep_drops,deep_yards,deep_catchable,deep_touchdowns,target_rate,drop_rate,catch_rate
2019,Chad Beebe,21528,WR,3,MIN,2,0,0,0,0,0,0,0,,
2019,Xavier Grimble,9092,TE,2,PIT,3,0,0,0,0,0,0,0,,
2019,Mark Walton,45996,HB,7,MIA,19,0,0,0,0,0,0,0,,
2019,Benny Snell Jr.,45954,HB,8,PIT,4,0,0,0,0,0,0,0,,
2019,Josh Jacobs,45953,HB,13,OAK,26,0,0,0,0,0,0,0,,
2019,Qadree Ollison,45934,HB,4,ATL,2,0,0,0,0,0,0,0,,
2019,Todd Gurley II,9443,HB,15,LA,45,0,0,0,0,0,0,0,,
2019,Melvin Gordon III,9448,HB,12,LAC,52,0,0,0,0,0,0,0,,
2019,Ito Smith,45932,HB,5,ATL,14,0,0,0,0,0,0,0,,
2019,Myles Gaskin,45914,HB,7,MIA,10,0,0,0,0,0,0,0,,
2019,Devine Ozigbo,45903,HB,3,JAX,5,0,0,0,0,0,0,0,,
2019,T.J. Yeldon,9469,HB,5,BUF,15,0,0,0,0,0,0,0,,
2019,Justice Hill,45865,HB,16,BLT,14,0,0,0,0,0,0,0,,
2019,Ameer Abdullah,9487,HB,16,MIN,19,0,0,0,0,0,0,0,,
2019,Ty Sambrailo,9492,T,1,ATL,1,0,0,0,0,0,0,0,,
2019,Clive Walford,9501,TE,7,MIA,8,0,0,0,0,0,0,0,,
2019,Tevin Coleman,9506,HB,14,SF,28,0,0,0,0,0,0,0,,
2019,Travis Homer,45859,HB,3,SEA,12,0,0,0,0,0,0,0,,
2019,Chase Edmonds,45851,HB,10,ARZ,19,0,0,0,0,0,0,0,,
2019,Tyler Kroft,9518,TE,11,BUF,13,0,0,0,0,0,0,0,,
2019,Ty Montgomery,9527,WR,15,NYJ,17,0,0,0,0,0,0,0,,
2019,Jon Hilliman,45826,HB,3,NYG,4,0,0,0,0,0,0,0,,
2019,Ryquell Armstead,45810,HB,13,JAX,21,0,0,0,0,0,0,0,,
2019,Javorius Allen,9558,HB,5,NYG,2,0,0,0,0,0,0,0,,
2019,Mike Davis,9559,HB,5,CAR,8,0,0,0,0,0,0,0,,
2019,MyCole Pruitt,9576,TE,15,TEN,7,0,0,0,0,0,0,0,,
2019,Jay Ajayi,9582,HB,2,PHI,1,0,0,0,0,0,0,0,,
2019,C.J. Uzomah,9590,TE,16,CIN,36,0,0,0,0,0,0,0,,
2019,Michael Burton,9601,FB,6,WAS,1,0,0,0,0,0,0,0,,
2019,Geremy Davis,9619,WR,5,LAC,3,0,0,0,0,0,0,0,,
2019,Ben Koyack,9662,TE,11,JAX,2,0,0,0,0,0,0,0,,
2019,Geoff Swaim,9679,TE,6,JAX,16,0,0,0,0,0,0,0,,
2019,Nick Chubb,45783,HB,16,CLV,45,0,0,0,0,0,0,0,,
2019,Zach Zenner,9761,HB,2,MIA,3,0,0,0,0,0,0,0,,
2019,Eric Tomlinson,9786,TE,5,OAK,1,0,0,0,0,0,0,0,,
2019,Royce Freeman,45747,HB,16,DEN,48,0,0,0,0,0,0,0,,
2019,Darren Sproles,2347,HB,6,PHI,10,0,0,0,0,0,0,0,,
2019,Malcolm Brown,9902,HB,13,LA,5,0,0,0,0,0,0,0,,
2019,Kalen Ballage,45741,HB,12,MIA,19,0,0,0,0,0,0,0,,
2019,Bo Scarbrough,45731,HB,6,DET,2,0,0,0,0,0,0,0,,
2019,Chris Manhertz,10211,TE,14,CAR,1,0,0,0,0,0,0,0,,
2019,Roosevelt Nix,10269,FB,2,PIT,2,0,0,0,0,0,0,0,,
