year,player,player_id,position,player_game_count,team_name,targets,receptions,drops,catchable,drop_rate
2019,Wendell Smallwood,10787,HB,11,WAS,13,9,0,9,0
2019,Trevor Davis,10797,WR,8,MIA,10,8,0,8,0
2019,Gunner Olszewski,95015,WR,4,NE,4,2,0,2,0
2019,Stephen Carlson,94365,TE,9,CLV,6,5,0,5,0
2019,Ashton Dulin,91479,WR,9,IND,2,2,0,2,0
2019,Jason Moore,91472,WR,8,LAC,5,2,0,2,0
2019,Deonte Harris,91470,WR,11,NO,6,6,0,6,0
2019,Jesper Horsted,91465,TE,6,CHI,10,8,0,8,0
2019,Diontae Spencer,91248,WR,10,DEN,8,6,0,6,0
2019,Codey McElroy,66966,TE,1,TB,1,1,0,1,0
2019,Ryan Switzer,11888,WR,7,PIT,10,8,0,8,0
2019,James O'Shaughnessy,9606,TE,5,JAX,20,14,0,14,0
2019,Geremy Davis,9619,WR,5,LAC,3,3,0,3,0
2019,Ben Koyack,9662,TE,11,JAX,2,1,0,1,0
2019,Geoff Swaim,9679,TE,6,JAX,16,13,0,13,0
2019,DeAndrew White,9697,WR,7,CAR,8,4,0,4,0
2019,Dion Dawkins,11818,T,1,BUF,1,1,0,1,0
2019,Eric Tomlinson,9786,TE,5,OAK,1,1,0,1,0
2019,Adam Shaheen,11800,TE,8,CHI,12,9,0,9,0
2019,Zay Jones,11792,WR,15,OAK,43,27,0,27,0
2019,Deshaun Watson,11767,QB,2,HST,1,1,0,1,0
2019,Darius Jennings,10038,WR,8,TEN,5,2,0,2,0
2019,Daniel Brown,10144,TE,13,NYJ,9,7,0,7,0
2019,Marvin Hall,11440,WR,9,DET,10,7,0,7,0
2019,Chris Manhertz,10211,TE,14,CAR,1,1,0,1,0
2019,Roosevelt Nix,10269,FB,2,PIT,2,2,0,2,0
2019,Ross Travis,10320,TE,3,NYJ,5,4,0,4,0
2019,Elijhaa Penny,11300,HB,14,NYG,2,2,0,2,0
2019,Laquon Treadwell,10657,WR,13,MIN,16,9,0,9,0
2019,Tra Carson,11104,HB,2,DET,4,4,0,4,0
2019,Joshua Perkins,11051,TE,4,PHI,12,9,0,9,0
2019,J.D. McKissic,11047,HB,16,DET,39,34,0,34,0
2019,Larry Fitzgerald,1724,WR,16,ARZ,104,75,0,75,0
2019,Kalif Raymond,11028,WR,8,TEN,12,9,0,9,0
2019,Kevin Byard,10698,S,1,TEN,1,1,0,1,0
2019,Peyton Barber,10927,HB,16,TB,20,16,0,16,0
2019,C.J. Prosise,10724,HB,8,SEA,11,10,0,10,0
2019,Nick Vannett,10728,TE,16,PIT,21,17,0,17,0
2019,Chris Moore,10741,WR,8,BLT,5,3,0,3,0
2019,Dwayne Washington,10870,HB,1,NO,1,1,0,1,0
2019,Tyler Ervin,10753,HB,4,GB,4,2,0,2,0
2019,Elandon Roberts,10848,LB,3,NE,1,1,0,1,0
2019,Mike Thomas,10840,WR,6,LA,5,2,0,2,0
2019,Seth DeValve,10772,TE,11,JAX,17,12,0,12,0
2019,Tajae Sharpe,10774,WR,15,TEN,35,25,0,25,0
2019,Cody Core,10833,WR,9,NYG,3,3,0,3,0
2019,Paul Perkins,10783,HB,1,DET,1,1,0,1,0
2019,Andy Janovich,10810,FB,7,DEN,5,5,0,5,0
2019,Jonathan Williams,10790,HB,5,IND,5,5,0,5,0
2019,Dan Arnold,51842,TE,5,ARZ,13,8,0,8,0
2019,Christian Wilkins,50293,DI,2,MIA,1,1,0,1,0
