year,player,player_id,position,player_game_count,team_name,route_snaps,targets,target_percent,slot_snaps,slot_snap_percent,slot_targets,slot_target_percent,slot_receptions,slot_drops,slot_yards,slot_yprr,slot_touchdowns,slot_drop_rate,slot_catch_rate
2019,Eric Tomlinson,9786,TE,5,OAK,18,1,5.6,2,11.1,1,50,1,0,1,0.5,0,0,100
2019,Tevin Coleman,9506,HB,14,SF,170,28,16.5,13,7.6,2,15.4,2,0,68,5.23,0,0,100
2019,Tony Pollard,27126,HB,15,DAL,81,20,24.7,22,27.2,7,31.8,7,0,50,2.27,0,0,100
2019,Jordan Wilkins,26618,HB,13,IND,85,11,12.9,6,7.1,1,16.7,1,0,4,0.67,0,0,100
2019,John Ursua,26586,WR,1,SEA,6,1,16.7,5,83.3,1,20,1,0,11,2.2,0,0,100
2019,Diontae Spencer,91248,WR,10,DEN,42,8,19,15,35.7,2,13.3,2,0,-2,-0.13,0,0,100
2019,Krishawn Hogan,12014,WR,7,NO,26,1,3.8,14,53.8,1,7.1,1,0,4,0.29,0,0,100
2019,Jalen Richard,11395,HB,16,OAK,204,42,20.6,8,3.9,2,25,2,0,10,1.25,0,0,100
2019,Blake Bell,9550,TE,15,KC,125,13,10.4,6,4.8,1,16.7,1,0,10,1.67,0,0,100
2019,Miles Sanders,40555,HB,16,PHI,317,62,19.6,20,6.3,3,15,3,0,19,0.95,0,0,100
2019,Darwin Thompson,83791,HB,10,KC,53,10,18.9,5,9.4,1,20,1,0,-1,-0.2,0,0,100
2019,Da'Mari Scott,39588,WR,5,NYG,24,3,12.5,5,20.8,1,20,1,0,11,2.2,0,0,100
2019,Zach Zenner,9761,HB,2,MIA,15,3,20,3,20,1,33.3,1,0,6,2,0,0,100
2019,Cody Hollister,12052,WR,1,TEN,2,2,100,1,50,1,100,1,0,2,2,0,0,100
2019,Ben Koyack,9662,TE,11,JAX,62,2,3.2,15,24.2,1,6.7,1,0,9,0.6,0,0,100
2019,Rashard Davis,38044,WR,1,TEN,1,1,100,1,100,1,100,1,0,16,16,0,0,100
2019,Bobo Wilson,12067,WR,5,TB,68,11,16.2,9,13.2,1,11.1,1,0,14,1.56,0,0,100
2019,Zach Gentry,36049,TE,3,PIT,22,1,4.5,2,9.1,1,50,1,0,4,2,0,0,100
2019,Geremy Davis,9619,WR,5,LAC,52,3,5.8,20,38.5,1,5,1,0,13,0.65,0,0,100
2019,Darrel Williams,13014,HB,11,KC,104,18,17.3,4,3.8,1,25,1,0,8,2,0,0,100
2019,Damien Williams,9205,HB,11,KC,193,36,18.7,15,7.8,2,13.3,2,0,15,1,0,0,100
2019,C.J. Uzomah,9590,TE,16,CIN,254,36,14.2,33,13,1,3,1,0,8,0.24,0,0,100
2019,Rico Gafford,29622,WR,4,OAK,30,2,6.7,14,46.7,1,7.1,1,0,49,3.5,1,0,100
2019,Jason Sanders,29578,K,1,MIA,1,1,100,1,100,1,100,1,0,1,1,1,0,100
2019,Chad Beebe,21528,WR,3,MIN,19,2,10.5,11,57.9,2,18.2,2,0,70,6.36,0,0,100
2019,Jeff Wilson Jr.,29413,HB,7,SF,12,5,41.7,2,16.7,1,50,1,0,7,3.5,0,0,100
2019,Patrick Laird,28219,HB,8,MIA,158,28,17.7,9,5.7,1,11.1,1,0,12,1.33,0,0,100
2019,Sony Michel,27589,HB,16,NE,102,19,18.6,3,2.9,1,33.3,1,0,19,6.33,0,0,100
2019,Rashaad Penny,27414,HB,10,SEA,63,10,15.9,3,4.8,1,33.3,1,0,7,2.33,0,0,100
2019,Jeff Heuerman,9525,TE,14,DEN,145,20,13.8,17,11.7,1,5.9,1,0,7,0.41,0,0,100
2019,Darius Slayton,25578,WR,14,NYG,471,80,17,21,4.5,3,14.3,3,0,36,1.71,1,0,100
2019,Marcell Ateman,23670,WR,10,OAK,82,9,11,18,22,1,5.6,1,0,34,1.89,0,0,100
2019,Tanner Hudson,66924,TE,7,TB,64,5,7.8,23,35.9,1,4.3,1,0,12,0.52,0,0,100
2019,LeSean McCoy,4976,HB,13,KC,145,32,22.1,13,9,2,15.4,2,0,12,0.92,0,0,100
2019,Troymaine Pope,11473,HB,2,LAC,14,3,21.4,3,21.4,1,33.3,1,0,13,4.33,1,0,100
2019,Joshua Perkins,11051,TE,4,PHI,74,12,16.2,36,48.6,5,13.9,5,0,46,1.28,0,0,100
2019,Andre Roberts,5612,WR,12,BUF,46,7,15.2,19,41.3,1,5.3,1,0,7,0.37,0,0,100
2019,Michael Walker,48213,WR,3,JAX,8,3,37.5,5,62.5,1,20,1,0,6,1.2,0,0,100
2019,Miles Boykin,48209,WR,16,BLT,180,22,12.2,18,10,1,5.6,1,0,9,0.5,1,0,100
2019,J.D. McKissic,11047,HB,16,DET,154,39,25.3,22,14.3,7,31.8,7,0,68,3.09,0,0,100
2019,Kyle Rudolph,6195,TE,15,MIN,338,46,13.6,41,12.1,2,4.9,2,0,18,0.44,2,0,100
2019,C.J. Ham,11347,FB,16,MIN,96,24,25,3,3.1,2,66.7,2,0,1,0.33,0,0,100
2019,Mike Thomas,10840,WR,6,LA,19,5,26.3,9,47.4,1,11.1,1,0,9,1,0,0,100
2019,Luke Stocker,6256,TE,15,ATL,106,14,13.2,6,5.7,1,16.7,1,0,2,0.33,0,0,100
2019,Lee Smith,6311,TE,12,BUF,52,5,9.6,5,9.6,2,40,2,0,15,3,0,0,100
2019,Cody Core,10833,WR,9,NYG,41,3,7.3,7,17.1,1,14.3,1,0,9,1.29,0,0,100
2019,Dwayne Harris,6328,WR,2,OAK,5,1,20,3,60,1,33.3,1,0,7,2.33,0,0,100
2019,Virgil Green,6356,TE,15,LAC,142,11,7.7,45,31.7,1,2.2,1,0,10,0.22,0,0,100
