year,player,player_id,position,player_game_count,team_name,targets,receptions,yards,routes,yprr
2019,Ty Sambrailo,9492,T,1,ATL,1,1,35,1,35
2019,David Blough,46508,QB,1,DET,1,1,19,1,19
2019,Rashard Davis,38044,WR,1,TEN,1,1,16,1,16
2019,Codey McElroy,66966,TE,1,TB,1,1,30,2,15
2019,Nick Scott,49012,S,2,LA,1,1,23,2,11.5
2019,Kevin Byard,10698,S,1,TEN,1,1,11,1,11
2019,Cody Davis,8458,S,1,JAX,1,1,7,1,7
2019,Cody Hollister,12052,WR,1,TEN,2,2,13,2,6.5
2019,Elandon Roberts,10848,LB,3,NE,1,1,38,6,6.33
2019,Dwayne Washington,10870,HB,1,NO,1,1,6,1,6
2019,Nick Bellore,6515,FB,4,SEA,2,2,23,4,5.75
2019,Deontay Burnett,47477,WR,1,PHI,4,2,48,11,4.36
2019,DeSean Jackson,4363,WR,3,PHI,10,9,159,38,4.18
2019,Khari Blasingame,44889,HB,5,TEN,5,4,54,13,4.15
2019,Antonio Brown,5718,WR,1,NE,8,4,56,14,4
2019,Marvin Hall,11440,WR,9,DET,10,7,261,68,3.84
2019,Chad Beebe,21528,WR,3,MIN,2,2,70,19,3.68
2019,Kalif Raymond,11028,WR,8,TEN,12,9,170,54,3.15
2019,Deon Yelder,29556,TE,4,KC,4,3,50,16,3.13
2019,George Kittle,11901,TE,14,SF,106,85,1053,338,3.12
2019,Deshaun Watson,11767,QB,2,HST,1,1,6,2,3
2019,D'Ernest Johnson,45734,HB,3,CLV,7,6,71,24,2.96
2019,Olamide Zaccheaus,44920,WR,9,ATL,4,3,115,39,2.95
2019,Mark Andrews,47436,TE,15,BLT,97,64,852,295,2.89
2019,Michael Thomas,10681,WR,16,NO,180,149,1725,599,2.88
2019,Jeff Wilson Jr.,29413,HB,7,SF,5,3,34,12,2.83
2019,Ross Travis,10320,TE,3,NYJ,5,4,51,18,2.83
2019,Austin Ekeler,12164,HB,16,LAC,104,92,993,362,2.74
2019,Stefon Diggs,9579,WR,15,MIN,91,63,1132,421,2.69
2019,A.J. Brown,48327,WR,16,TEN,84,52,1051,393,2.67
2019,Tyler Higbee,10744,TE,15,LA,86,69,734,282,2.6
2019,Devontae Booker,10770,HB,8,DEN,9,6,57,22,2.59
2019,Will Dissly,30762,TE,6,SEA,26,23,262,105,2.5
2019,Tyreek Hill,10799,WR,12,KC,87,58,860,351,2.45
2019,Julio Jones,6158,WR,15,ATL,149,99,1394,572,2.44
