year,player,player_id,position,player_game_count,team_name,attempts,yards,deep_attempts,deep_yards,breakaway_percent
2019,Derrick Henry,10679,HB,15,TEN,303,1539,18,505,32.8
2019,Ezekiel Elliott,10638,HB,16,DAL,301,1357,12,251,18.5
2019,Nick Chubb,45783,HB,16,CLV,298,1494,20,574,38.4
2019,Christian McCaffrey,11763,HB,16,CAR,287,1387,13,438,31.6
2019,Chris Carson,12004,HB,15,SEA,278,1230,14,317,25.8
2019,Joe Mixon,11803,HB,16,CIN,278,1137,14,306,26.9
2019,Leonard Fournette,11759,HB,15,JAX,264,1151,13,431,37.4
2019,Dalvin Cook,11796,HB,14,MIN,250,1135,13,333,29.3
2019,Sony Michel,27589,HB,16,NE,247,912,8,156,17.1
2019,Marlon Mack,11898,HB,14,IND,247,1091,13,324,29.7
2019,Le'Veon Bell,7829,HB,15,NYJ,244,791,2,34,4.3
2019,Carlos Hyde,8692,HB,16,HST,243,1038,8,264,25.4
2019,David Montgomery,45719,HB,16,CHI,242,889,5,133,15
2019,Josh Jacobs,45953,HB,13,OAK,242,1150,16,371,32.3
2019,Aaron Jones,11937,HB,16,GB,235,1078,13,295,27.4
2019,Phillip Lindsay,12660,HB,16,DEN,224,1011,11,271,26.8
2019,Todd Gurley II,9443,HB,15,LA,223,857,8,157,18.3
2019,Saquon Barkley,45791,HB,13,NYG,216,1001,9,331,33.1
2019,Adrian Peterson,3623,HB,15,WAS,211,898,12,261,29.1
2019,Mark Ingram II,6180,HB,15,BLT,201,1014,11,291,28.7
2019,Devonta Freeman,8738,HB,14,ATL,184,656,5,105,16
2019,Miles Sanders,40555,HB,16,PHI,178,811,7,244,30.1
2019,Ronald Jones,34001,HB,16,TB,172,724,9,228,31.5
2019,Alvin Kamara,11822,HB,14,NO,171,797,10,227,28.5
2019,Kenyan Drake,10707,HB,14,ARZ,169,820,8,226,27.6
2019,Frank Gore,2282,HB,15,BUF,165,604,7,167,27.6
2019,Melvin Gordon III,9448,HB,12,LAC,162,612,7,131,21.4
2019,Peyton Barber,10927,HB,15,TB,154,470,3,48,10.2
2019,Devin Singletary,40485,HB,12,BUF,152,775,14,282,36.4
2019,Latavius Murray,7962,HB,16,NO,146,637,8,165,25.9
2019,Tevin Coleman,9506,HB,14,SF,137,544,8,197,36.2
2019,Lamar Jackson,46416,QB,15,BLT,135,776,14,330,42.5
2019,Raheem Mostert,9783,HB,15,SF,135,766,14,291,38
2019,Gus Edwards,46027,HB,16,BLT,133,711,7,209,29.4
2019,Austin Ekeler,12164,HB,16,LAC,132,557,7,160,28.7
2019,Royce Freeman,45747,HB,16,DEN,131,496,1,26,5.2
