year,player,player_id,position,player_game_count,team_name,attempts,receptions,total_attempts,yco_attempt,rush_tackles_avoided,rec_tackles_avoided,elusive
2019,Christian McCaffrey,11763,HB,16,CAR,287,116,403,2.62,49,26,48.8
2019,Ezekiel Elliott,10638,HB,16,DAL,301,54,355,3.23,48,10,52.8
2019,Leonard Fournette,11759,HB,15,JAX,265,76,341,3.34,42,24,64.7
2019,Nick Chubb,45783,HB,16,CLV,298,36,334,3.77,66,13,89.1
2019,Derrick Henry,10679,HB,15,TEN,303,18,321,4.18,58,5,82.1
2019,Chris Carson,12004,HB,15,SEA,278,37,315,3.63,62,12,85.2
2019,Joe Mixon,11803,HB,16,CIN,278,35,313,3.15,52,9,61.5
2019,Le'Veon Bell,7829,HB,15,NYJ,245,66,311,2.67,41,18,50.6
2019,Dalvin Cook,11796,HB,14,MIN,250,53,303,3.06,42,19,61.7
2019,Aaron Jones,11937,HB,16,GB,235,50,285,3.19,43,8,57.1
2019,Saquon Barkley,45791,HB,13,NYG,217,52,269,3.23,42,11,63.6
2019,David Montgomery,45719,HB,16,CHI,242,25,267,2.33,47,8,48
2019,Josh Jacobs,45953,HB,13,OAK,242,20,262,3.48,69,9,103.6
2019,Marlon Mack,11898,HB,14,IND,247,14,261,2.81,39,1,43
2019,Sony Michel,27589,HB,16,NE,247,12,259,2.55,36,3,38.4
2019,Phillip Lindsay,12660,HB,16,DEN,224,35,259,2.71,43,6,51.2
2019,Carlos Hyde,8692,HB,16,HST,245,10,255,2.78,41,3,47.9
2019,Todd Gurley II,9443,HB,15,LA,223,31,254,2.78,43,4,51.4
2019,Alvin Kamara,11822,HB,14,NO,171,81,252,3.18,42,14,70.6
2019,Devonta Freeman,8738,HB,14,ATL,184,59,243,2.43,31,6,37
2019,Mark Ingram II,6180,HB,15,BLT,202,26,228,3.08,39,5,59.5
2019,Miles Sanders,40555,HB,16,PHI,178,50,228,3.25,27,7,48.4
2019,Adrian Peterson,3623,HB,15,WAS,211,17,228,3,37,8,59.3
2019,Austin Ekeler,12164,HB,16,LAC,132,92,224,3.23,30,22,74.9
2019,Kenyan Drake,10707,HB,14,ARZ,171,49,220,2.69,29,10,47.7
2019,Melvin Gordon III,9448,HB,12,LAC,162,42,204,2.46,28,10,45.9
2019,Ronald Jones,34001,HB,16,TB,172,31,203,2.96,34,7,59.8
2019,Devin Singletary,40485,HB,12,BUF,152,29,181,3,36,6,69.6
2019,Latavius Murray,7962,HB,16,NO,146,34,180,3.18,21,13,60
2019,Frank Gore,2282,HB,16,BUF,165,13,178,2.44,16,2,24.7
2019,Royce Freeman,45747,HB,16,DEN,132,43,175,2.6,15,7,32.7
