year,player,player_id,position,player_game_count,team_name,grades_fgep_kicker,pat_made,pat_attempts,pat_percent,one_made,one_attempts,one_percent,twenty_made,twenty_attempts,twenty_percent,thirty_made,thirty_attempts,thirty_percent,forty_made,forty_attempts,forty_percent,fifty_made,fifty_attempts,fifty_percent
2019,Adam Vinatieri,226,K,12,IND,28.8,22,28,78.6,0,0,,6,7,85.7,6,6,100,3,7,42.9,2,5,40
2019,Matt Bryant,1223,,7,ATL,36.8,14,15,93.3,0,0,,1,1,100,3,4,75,3,3,100,2,6,33.3
2019,Mike Nugent,2264,,4,NE,47.5,15,16,93.8,0,0,,3,4,75,2,3,66.7,0,1,0,0,0,
2019,Robbie Gould,2607,K,13,SF,59.7,41,42,97.6,0,0,,9,9,100,8,10,80,6,8,75,0,4,0
2019,Stephen Gostkowski,3063,K,4,NE,33.1,11,15,73.3,0,0,,3,3,100,3,3,100,1,2,50,0,0,
2019,Matt Prater,3471,K,16,DET,74.7,35,36,97.2,0,0,,11,11,100,2,3,66.7,6,9,66.7,7,8,87.5
2019,Nick Folk,3794,,7,NE,64.8,12,12,100,1,1,100,5,5,100,3,3,100,4,7,57.1,1,1,100
2019,Mason Crosby,3809,K,15,GB,71.8,40,41,97.6,1,1,100,2,2,100,11,11,100,7,8,87.5,1,2,50
2019,Stephen Hauschka,4655,K,16,BUF,57.8,30,32,93.8,0,0,,5,5,100,7,8,87.5,9,10,90,1,5,20
2019,Ryan Succop,5180,K,6,TEN,32.1,24,25,96,0,0,,0,0,,1,1,100,0,4,0,0,1,0
2019,Dan Bailey,6796,K,15,MIN,63.7,40,44,90.9,0,0,,10,10,100,9,9,100,5,7,71.4,3,3,100
2019,Kai Forbath,6860,,4,DAL,73.7,11,12,91.7,0,0,,2,2,100,1,1,100,7,7,100,1,1,100
2019,Randy Bullock,7154,K,16,CIN,67.1,24,25,96,0,0,,10,10,100,6,6,100,10,12,83.3,1,3,33.3
2019,Greg Zuerlein,7163,K,16,LA,64.6,42,42,100,0,0,,7,7,100,7,8,87.5,5,11,45.5,5,7,71.4
2019,Justin Tucker,7604,K,16,BLT,84.2,57,59,96.6,0,0,,8,8,100,9,9,100,10,11,90.9,1,1,100
2019,Dustin Hopkins,7958,K,16,WAS,53.8,21,22,95.5,0,0,,7,8,87.5,8,9,88.9,8,10,80,2,3,66.7
2019,Brandon McManus,8437,K,16,DEN,67.7,25,26,96.2,0,0,,6,6,100,9,9,100,10,12,83.3,4,7,57.1
2019,Brett Maher,8585,K,13,DAL,60.9,36,36,100,0,0,,9,9,100,6,8,75,1,5,20,4,8,50
2019,Cairo Santos,8932,K,5,TEN,47.6,12,12,100,0,0,,0,0,,1,3,33.3,2,3,66.7,1,3,33.3
2019,Chris Boswell,8990,K,16,PIT,79.7,28,28,100,1,1,100,11,11,100,7,7,100,9,10,90,1,2,50
2019,Cody Parkey,9030,,2,TEN,60.8,5,6,83.3,0,0,,0,0,,0,0,,2,2,100,1,1,100
2019,Ty Long,9728,K,4,LAC,59.9,9,9,100,0,0,,0,0,,2,3,66.7,4,5,80,1,1,100
2019,Josh Lambo,10133,K,16,JAX,81.3,19,20,95,0,0,,12,12,100,9,9,100,8,9,88.9,4,4,100
2019,Jason Myers,10207,K,16,SEA,49.7,40,44,90.9,0,0,,6,6,100,11,11,100,4,7,57.1,2,4,50
2019,Wil Lutz,11096,K,16,NO,76.3,48,49,98,1,1,100,9,9,100,6,6,100,13,15,86.7,3,5,60
2019,Ka'imi Fairbairn,11161,K,16,HST,42,40,45,88.9,0,0,,5,5,100,8,8,100,4,6,66.7,3,6,50
2019,Aldrick Rosas,11331,K,16,NYG,38.6,35,39,89.7,0,0,,6,6,100,5,6,83.3,1,4,25,0,1,0
2019,Sam Ficken,11437,K,14,NYJ,47.6,23,26,88.5,0,0,,2,2,100,7,8,87.5,7,11,63.6,3,6,50
2019,Jake Elliott,11908,K,16,PHI,62.9,35,37,94.6,0,0,,7,7,100,8,8,100,5,7,71.4,2,4,50
2019,Zane Gonzalez,11979,K,16,ARZ,69.6,34,35,97.1,0,0,,12,12,100,12,13,92.3,5,8,62.5,2,2,100
2019,Harrison Butker,11988,K,16,KC,71.8,45,48,93.8,0,0,,9,9,100,9,10,90,13,13,100,3,6,50
2019,Younghoe Koo,12042,,8,ATL,62.5,15,16,93.8,0,0,,6,6,100,9,10,90,7,9,77.8,1,1,100
2019,Austin Seibert,13701,K,16,CLV,48.3,30,35,85.7,0,0,,6,6,100,9,9,100,9,12,75,1,2,50
2019,Greg Joseph,22842,K,2,TEN,67.5,9,9,100,0,0,,0,0,,0,0,,0,0,,0,0,
2019,Daniel Carlson,28121,K,16,OAK,42,34,36,94.4,0,0,,8,8,100,5,6,83.3,6,10,60,0,2,0
2019,Kaare Vedvik,28782,P,1,NYJ,29.8,0,1,0,0,0,,0,0,,0,0,,0,1,0,0,0,
2019,Jason Sanders,29578,K,15,MIA,58.3,29,30,96.7,0,0,,7,7,100,8,9,88.9,5,9,55.6,3,5,60
2019,Chase McLaughlin,33285,K,11,IND,68.2,26,26,100,1,1,100,5,5,100,4,4,100,5,10,50,3,3,100
2019,Joey Slye,39235,K,16,CAR,58.9,31,35,88.6,0,0,,4,5,80,5,5,100,8,11,72.7,8,11,72.7
2019,Michael Badgley,39417,K,8,LAC,62.8,19,19,100,0,0,,5,5,100,2,2,100,6,8,75,0,1,0
2019,Eddy Pineiro,44140,K,16,CHI,51.7,27,29,93.1,1,1,100,8,8,100,9,10,90,3,7,42.9,2,2,100
2019,Matt Gay,57643,K,16,TB,47.3,43,48,89.6,0,0,,6,6,100,5,7,71.4,11,14,78.6,5,8,62.5
