year,player,player_id,position,player_game_count,team_name,grades_kickoff_kicker,attempts,average_distance,average_starting_field_position,onside_kicks,percent_returned,kicks_returned,return_yards,average_yards_per_return,touchbacks,fair_catches,attempts_with_hangtime,average_hangtime
2019,Matt Bryant,1223,,1,ATL,60,5,60.8,29.6,0,100,5,125,25,0,0,4,3.77
2019,Robbie Gould,2607,K,1,SF,60,1,37,42,0,100,1,14,14,0,0,0,
2019,Stephen Gostkowski,3063,K,4,NE,69.7,26,70.7,26.2,0,19.2,5,153,30.6,21,0,24,3.79
2019,Matt Prater,3471,K,4,DET,50.1,19,63.2,32.7,1,52.6,10,357,35.7,8,0,14,4.08
2019,Nick Folk,3794,,1,NE,60,1,41,30,0,100,1,5,5,0,0,1,3.72
2019,Mason Crosby,3809,K,16,GB,67.5,79,67.8,25.2,0,36.7,29,702,24.2,49,0,71,3.92
2019,Stephen Hauschka,4655,K,16,BUF,60.1,73,66,26.4,2,42.5,31,681,22,42,0,66,3.83
2019,Thomas Morstead,5088,P,1,NO,60,1,46,16,0,100,1,12,12,0,0,1,3.97
2019,Ryan Succop,5180,K,3,TEN,55.2,17,60.5,25.5,1,82.4,14,299,21.4,3,0,15,3.8
2019,Britton Colquitt,5192,P,1,MIN,60,1,63,33,0,100,1,16,16,0,0,1,5.08
2019,Matt Bosher,6344,P,2,ATL,60,6,58.5,31.7,1,33.3,2,13,6.5,4,0,5,3.8
2019,Dan Bailey,6796,K,16,MIN,90.1,87,69.6,25.4,1,23,20,511,25.6,66,0,84,4.1
2019,Kai Forbath,6860,,3,DAL,38.1,23,66.3,27.7,0,26.1,6,141,23.5,15,0,16,3.91
2019,Bryan Anger,7072,P,1,HST,60,1,73,20,0,100,1,13,13,0,0,1,4.49
2019,Randy Bullock,7154,K,16,CIN,59.1,71,64.2,26.1,5,29.6,21,400,19,46,0,59,3.95
2019,Greg Zuerlein,7163,K,16,LA,72.9,83,70.5,26.1,0,20.5,17,467,27.5,64,0,75,3.99
