year,player,player_id,position,player_game_count,team_name,grades_punter,attempts,yards,average_yards_per_attempt,average_net_yards,long,inside_twenties,blocks,percent_returned,returns,return_yards,average_yards_per_return,touchbacks,out_of_bounds,downeds,fair_catches,attempts_with_hangtime,average_hangtime
2019,Andy Lee,1906,P,14,ARZ,60.5,61,2914,47.77,41.21,64,26,1,50.8,31,279,9,4,6,5,15,61,4.31
2019,Dustin Colquitt,2316,P,16,KC,63.5,48,2126,44.29,40.35,68,26,1,39.6,19,89,4.7,3,1,11,14,48,4.4
2019,Sam Koch,3148,P,15,BLT,67,40,1855,46.38,39.8,62,25,1,37.5,15,143,9.5,4,6,5,10,40,4.2
2019,Brett Kern,4580,P,16,TEN,90.3,78,3672,47.08,43.12,70,41,0,38.5,30,269,9,2,19,8,19,78,4.23
2019,Kevin Huber,5066,P,16,CIN,63.9,75,3394,45.25,42.11,63,37,0,33.3,25,136,5.4,5,6,9,30,75,4.31
2019,Thomas Morstead,5088,P,16,NO,71,60,2770,46.17,43.07,64,34,0,40,24,166,6.9,1,7,7,21,60,4.3
2019,Britton Colquitt,5192,P,15,MIN,74.1,62,2802,45.19,42.65,59,24,0,37.1,23,158,6.9,0,6,9,24,62,4.47
2019,Matt Bosher,6344,P,3,ATL,61.5,9,377,41.89,36.7,52,2,1,22.2,2,10,5,0,0,0,7,9,4.61
2019,Chris Jones,6798,P,16,DAL,68.7,50,2079,41.58,36.96,58,20,1,36,18,154,8.6,2,3,9,18,50,4.48
2019,Bryan Anger,7072,P,13,HST,70.6,45,2094,46.53,44.47,71,28,0,37.8,17,53,3.1,2,1,9,16,45,4.43
2019,Johnny Hekker,7252,P,16,LA,69.4,66,3122,47.3,42.31,69,31,1,34.8,23,187,8.1,5,14,10,14,66,4.31
2019,Sam Martin,7947,P,16,DET,60.2,76,3445,45.33,41.79,62,38,0,38.2,29,129,4.4,7,5,13,22,76,4.33
2019,Ryan Allen,8242,P,8,ATL,62.2,28,1172,41.86,37.5,59,17,0,28.6,8,62,7.8,3,4,5,8,28,3.91
2019,Tress Way,8358,P,16,WAS,71.3,79,3919,49.61,44.11,79,35,0,49.4,39,354,9.1,4,5,12,19,79,4.36
2019,Pat O'Donnell,8826,P,16,CHI,55.3,80,3586,44.83,40.73,75,29,1,43.8,35,247,7.1,2,4,13,26,80,4.23
2019,Kasey Redfern,9155,P,3,ATL,60.2,9,371,41.22,36.89,54,3,0,55.6,5,39,7.8,0,1,0,3,9,4.41
2019,Michael Palardy,9277,P,16,CAR,59.7,75,3452,46.03,38.73,62,31,0,53.3,40,487,12.2,3,9,7,16,75,4.33
2019,Bradley Pinion,9598,P,16,TB,70.6,57,2464,43.23,38.28,63,26,0,43.9,25,222,8.9,3,2,9,18,57,4.48
2019,Ty Long,9728,K,15,LAC,52.8,48,2256,47,40.92,60,22,0,68.8,33,252,7.6,2,2,3,8,48,4.06
2019,Matt Wile,9972,P,2,ATL,63.7,6,290,48.33,44.67,60,3,0,66.7,4,22,5.5,0,2,0,0,6,4.53
