year,player,player_id,position,player_game_count,team_name,grades_return,total_attempts,grades_kick_return,kickoff_attempts,kickoff_yards,kickoff_long,kickoff_ypa,kickoff_touchdowns,kickoff_fair_catches,kickoff_muffed_returns,grades_punt_return,punt_attempts,punt_yards,punt_long,punt_ypa,punt_touchdowns,punt_fair_catches,punt_muffed_returns
2019,Larry Fitzgerald,1724,WR,16,ARZ,61.2,1,61.2,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2019,Darren Sproles,2347,HB,6,PHI,53.8,11,60,0,0,0,,0,0,0,51.9,11,86,17,7.8,0,7,1
2019,Ted Ginn Jr.,3625,WR,16,NO,57.5,1,57.7,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2019,Greg Olsen,3647,TE,14,CAR,61.2,1,61.2,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2019,Danny Amendola,4717,WR,15,DET,64.2,10,60,0,0,0,,0,0,0,65.9,10,55,15,5.5,0,8,0
2019,Julian Edelman,5156,WR,16,NE,60.2,1,59.9,1,19,19,19,0,0,0,60.5,0,0,0,,0,0,0
2019,Demaryius Thomas,5547,WR,11,NYJ,58.7,1,58.7,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2019,Golden Tate,5585,WR,11,NYG,64.8,10,,0,0,0,,0,0,0,66.4,10,97,17,9.7,0,7,0
2019,Andre Roberts,5612,WR,13,BUF,78.1,53,75.8,25,664,66,26.6,0,0,0,69.4,28,223,22,8,0,15,0
2019,Marcus Sherels,6017,CB,8,MIA,62.2,17,61.5,5,66,21,13.2,0,0,0,61.9,12,56,15,4.7,0,7,0
2019,Kyle Rudolph,6195,TE,16,MIN,61.2,1,61.2,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2019,Randall Cobb,6216,WR,15,DAL,62.6,6,58.8,2,11,11,5.5,0,0,0,64.5,4,34,14,8.5,0,9,0
2019,Dwayne Harris,6328,WR,3,OAK,72.8,7,72.3,4,149,72,37.3,0,0,0,63.5,3,14,11,4.7,0,2,0
2019,Chris Hogan,6468,WR,7,CAR,65.3,5,61.2,1,21,21,21,0,0,0,63.5,4,20,8,5,0,3,0
2019,Patrick DiMarco,6997,FB,16,BUF,59.9,1,59.9,1,24,24,24,0,0,0,,0,0,0,,0,0,0
2019,Mohamed Sanu,7084,WR,15,NE,67.1,10,,0,0,0,,0,0,0,69.4,10,56,14,5.6,0,9,0
2019,Brandon Bolden,7469,HB,15,NE,62.1,23,61.9,23,515,38,22.4,0,0,0,,0,0,0,,0,0,0
2019,Barkevious Mingo,7787,ED,16,HST,61.2,1,61.2,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2019,Tavon Austin,7789,WR,14,DAL,65.7,17,,0,0,0,,0,0,0,67.6,17,84,15,4.9,0,9,0
2019,Cordarrelle Patterson,7810,WR,16,CHI,84.2,28,81.8,28,825,102,29.5,1,0,0,,0,0,0,,0,0,0
2019,Giovani Bernard,7818,HB,16,CIN,59.9,1,59.9,1,14,14,14,0,0,0,,0,0,0,,0,0,0
2019,Robert Woods,7822,WR,15,LA,61.2,1,61.2,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2019,Micah Hyde,7941,S,16,BUF,74.6,5,77.3,2,47,45,23.5,1,0,0,62,3,16,10,5.3,0,5,0
2019,Kenjon Barner,7963,HB,14,ATL,65,52,62.2,17,406,47,23.9,0,0,0,65.3,35,267,78,7.6,1,1,3
2019,Rex Burkhead,7971,HB,13,NE,64.5,1,61.2,1,0,0,0,0,0,0,60.1,0,0,0,,0,1,0
2019,LaRoy Reynolds,8500,LB,15,CIN,59.9,1,59.9,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2019,Jack Doyle,8520,TE,16,IND,61.2,1,61.2,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2019,Odell Beckham Jr.,8647,WR,16,CLV,50.5,1,,0,0,0,,0,0,0,54.6,1,-6,-6,-6,0,0,0
2019,Davante Adams,8688,WR,12,GB,59.9,1,59.9,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2019,Cody Latimer,8691,WR,15,NYG,62.4,24,62.1,24,570,50,23.8,0,1,0,,0,0,0,,0,0,0
2019,Jarvis Landry,8698,WR,16,CLV,63.5,5,,0,0,0,,0,0,0,64.7,5,53,18,10.6,0,8,0
2019,De'Anthony Thomas,8759,WR,14,BLT,55.9,43,59.9,17,321,31,18.9,0,0,0,53.6,26,148,20,5.7,0,8,1
2019,James White,8765,HB,15,NE,68.1,2,67.4,2,41,21,20.5,0,0,0,,0,0,0,,0,0,0
2019,T.J. Jones,8824,WR,3,NYG,64.4,8,,0,0,0,,0,0,0,65.9,8,96,60,12,0,2,2
2019,T.J. Carrie,8853,CB,16,CLV,61.2,1,61.2,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2019,Willie Snead IV,8999,WR,16,BLT,61.2,1,61.2,1,19,19,19,0,0,0,,0,0,0,,0,0,0
2019,Senorise Perry,9035,HB,11,BUF,59.9,1,59.9,1,2,2,2,0,0,0,,0,0,0,,0,0,0
2019,DeVante Parker,9447,WR,16,MIA,59.9,1,59.9,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2019,Nelson Agholor,9453,WR,11,PHI,60.8,2,,0,0,0,,0,0,0,61,2,7,4,3.5,0,0,0
2019,Ameer Abdullah,9487,HB,16,MIN,51.5,13,52.3,13,325,38,25,0,0,0,,0,0,0,,0,0,0
2019,Jordan Richards,9497,S,12,BLT,61.2,1,61.2,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2019,Tyler Lockett,9502,WR,16,SEA,57.9,27,52.9,14,279,33,19.9,0,0,0,67.1,13,66,20,5.1,0,10,0
2019,David Johnson,9519,HB,13,ARZ,59.9,1,59.9,1,24,24,24,0,0,0,,0,0,0,,0,0,0
2019,Ty Montgomery,9527,WR,16,NYJ,60.1,18,60.1,18,365,34,20.3,0,0,0,,0,0,0,,0,0,0
2019,Darren Waller,9637,TE,16,OAK,59.9,1,59.9,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2019,DeAndrew White,9697,WR,10,CAR,56.6,10,56.9,10,226,36,22.6,0,0,0,,0,0,0,,0,0,0
2019,Raheem Mostert,9783,HB,16,SF,,0,,0,-19,-19,,0,0,0,,0,0,0,,0,0,0
2019,DeAndre Carter,9859,WR,16,HST,44.9,36,54.8,14,308,31,22,0,0,0,42.2,22,214,23,9.7,0,18,1
2019,Damiere Byrd,9964,WR,11,ARZ,58.4,4,58.6,4,59,23,14.8,0,0,0,,0,0,0,,0,0,0
2019,Darius Jennings,10038,WR,8,TEN,60.7,9,60.7,9,196,26,21.8,0,0,0,,0,0,0,,0,0,0
2019,Adam Humphries,10075,WR,12,TEN,64.2,12,,0,0,0,,0,0,0,65.5,12,78,21,6.5,0,19,1
2019,Daniel Brown,10144,TE,16,NYJ,61.2,1,61.2,1,0,0,0,0,0,0,,0,0,0,,0,0,0
2019,Vernon Hargreaves III,10645,CB,15,HST,60.2,0,,0,0,0,,0,0,0,60.1,0,0,0,,0,1,0
2019,Tyler Boyd,10689,WR,16,CIN,60.6,1,,0,0,0,,0,0,0,60.7,1,-1,-1,-1,0,0,0
2019,Cyrus Jones,10694,CB,8,DEN,54.2,13,59.5,1,0,0,0,0,0,0,52.5,12,113,25,9.4,0,10,1
2019,Kenyan Drake,10707,HB,14,ARZ,58.4,1,58.5,1,15,15,15,0,0,0,,0,0,0,,0,0,0
2019,Chris Moore,10741,WR,14,BLT,55.5,4,55.9,4,81,26,20.3,0,0,0,,0,0,0,,0,0,0
2019,Pharoh Cooper,10751,WR,13,ARZ,72.1,42,63.9,25,561,39,22.4,0,0,0,75.3,17,129,29,7.6,0,14,0
2019,Tyler Ervin,10753,HB,10,GB,62.1,27,61.9,11,267,45,24.3,0,0,0,61,16,115,18,7.2,0,10,2
2019,Devontae Booker,10770,HB,16,DEN,65.3,5,64.8,5,112,32,22.4,0,0,0,,0,0,0,,0,0,0
2019,Wendell Smallwood,10787,HB,15,WAS,59.9,1,59.9,1,14,14,14,0,0,0,,0,0,0,,0,0,0
2019,LeShaun Sims,10791,CB,14,TEN,57.2,1,,0,0,0,,0,0,0,58.4,1,11,11,11,0,0,0
2019,Trevor Davis,10797,WR,14,MIA,61.9,45,54.5,23,506,52,22,0,0,0,70.2,22,145,32,6.6,0,21,1
2019,Tyreek Hill,10799,WR,12,KC,60.6,1,,0,0,0,,0,0,0,60.7,1,0,0,0,0,0,0
2019,Rashard Higgins,10806,WR,10,CLV,59.9,1,59.9,1,8,8,8,0,0,0,,0,0,0,,0,0,0
2019,Jakeem Grant,10820,WR,10,MIA,53.6,28,69.9,23,578,101,25.1,1,0,0,26,5,6,5,1.2,0,0,2
2019,Mike Thomas,10840,WR,16,LA,60.2,1,,0,0,0,,0,0,0,60.1,1,3,3,3,0,0,0
2019,Dwayne Washington,10870,HB,16,NO,59.4,1,59.5,1,12,12,12,0,1,0,,0,0,0,,0,0,0
2019,Chester Rogers,10918,WR,12,IND,58.8,17,41.7,3,27,13,9,0,0,0,68.6,14,137,21,9.8,0,17,0
2019,Kalif Raymond,11028,WR,8,TEN,70.5,22,68.7,18,403,45,22.4,0,0,0,64.8,4,45,14,11.3,0,7,0
2019,J.D. McKissic,11047,HB,16,DET,59.4,1,59.5,1,17,17,17,0,0,0,,0,0,0,,0,0,0
2019,J.P. Holtz,11062,TE,15,CHI,59.6,2,59.7,2,27,16,13.5,0,0,0,,0,0,0,,0,0,0
2019,Marcus Johnson,11074,WR,8,IND,59.9,1,59.9,1,14,14,14,0,0,0,,0,0,0,,0,0,0
2019,Alex Erickson,11107,WR,16,CIN,53.7,29,60.2,4,79,26,19.8,0,0,0,51.1,25,157,17,6.3,0,16,2
2019,Jason Vander Laan,11266,TE,2,NO,59.9,1,59.9,1,8,8,8,0,0,0,,0,0,0,,0,0,0
2019,C.J. Ham,11347,FB,16,MIN,39.9,3,41.7,3,33,17,11,0,0,0,,0,0,0,,0,0,0
2019,Johnny Holton,11354,WR,16,PIT,57.8,3,58,3,55,21,18.3,0,0,0,,0,0,0,,0,0,0
2019,Jaydon Mickens,11371,WR,1,TB,60.8,0,,0,0,0,,0,0,0,61,0,0,0,,0,2,0
2019,Jalen Richard,11395,HB,16,OAK,59.4,15,59.7,9,188,29,20.9,0,0,0,59.4,6,21,12,3.5,0,5,0
2019,Marvin Hall,11440,WR,9,DET,56,3,59.9,1,12,12,12,0,0,0,54.9,2,16,14,8,0,1,0
2019,Troymaine Pope,11473,HB,14,LAC,49.9,16,60.1,15,308,34,20.5,0,0,0,37.2,1,0,0,0,0,6,1
2019,Adoree' Jackson,11773,CB,11,TEN,44.4,5,59.7,2,23,23,11.5,0,0,0,38.1,3,26,17,8.7,0,1,1
