year,player,player_id,position,player_game_count,team_name,snap_counts_total,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_coverage,grades_defense,grades_run_defense,grades_tackle,grades_pass_rush_defense,grades_coverage_defense,total_pressures,sacks,hits,hurries,batted_passes,tackles,assists,missed_tackles,stops,forced_fumbles,targets,receptions,yards,yards_per_reception,yards_after_catch,longest,touchdowns,interceptions,pass_break_ups,qb_rating_against,penalties,declined_penalties
2019,Mohamed Sanu,7084,WR,1,NE,1,0,0,1,62.5,,,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,1,1
2019,Nate Ebner,7193,S,1,NE,1,0,0,1,62.4,,60.2,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Tavon Austin,7789,WR,1,DAL,1,0,0,1,70.2,,,,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,3,0
2019,Travis Kelce,7844,TE,1,KC,1,0,0,1,60,,,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,9,2
2019,Justin Hardy,9540,WR,1,ATL,1,0,0,1,60.6,,,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,DeAndre Carter,9859,WR,1,HST,1,0,0,1,70.2,,,,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Kalif Raymond,11028,WR,1,TEN,1,0,0,1,70.2,,52.9,,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Mack Hollins,11873,WR,1,MIA,1,0,0,1,60,,24.6,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,5,2
2019,Ryan Switzer,11888,WR,1,PIT,1,0,0,1,60,,,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,T.J. Logan,11935,HB,1,TB,1,0,0,1,70.2,,90.7,,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Shalom Luani,11976,S,1,LAC,1,0,0,1,60,,79.5,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Dare Ogunbowale,12329,HB,1,TB,1,0,0,1,70.2,,90.6,,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Robert Jackson,28990,S,1,CLV,1,0,0,1,60.7,,81.7,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Richie James Jr.,28991,WR,1,SF,1,0,0,1,70.2,,30.9,,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,1,0
2019,Justin Jackson,29539,HB,1,LAC,1,0,0,1,70.2,,,,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Jalen Guyton,34164,WR,1,LAC,1,0,0,1,40.4,,68.9,,27.3,0,0,0,0,0,1,0,0,0,0,1,1,9,9,3,9,0,0,0,104.2,0,0
2019,Russell Gage,44771,WR,1,ATL,1,0,0,1,60.6,,52.5,,60,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,2,0
2019,Nyheim Hines,48103,HB,1,IND,1,0,0,1,70.2,,29.9,,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Justin Watson,66915,WR,1,TB,1,0,0,1,70.3,,65.5,,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Marcus Sherels,6017,CB,1,MIA,1,0,1,0,60,60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Brandon Bolden,7469,HB,1,NE,1,1,0,0,60,,43.7,60,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,1,0
2019,Jamize Olawale,7572,FB,1,DAL,1,1,0,0,60,,30.4,60,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Rex Burkhead,7971,HB,1,NE,1,1,0,0,60,,65.1,60,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,1,1
2019,Logan Thomas,8755,TE,1,DET,1,0,1,0,60,60,59.6,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,3,0
2019,Ameer Abdullah,9487,HB,1,MIN,1,0,1,0,60,60,79.8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,MyCole Pruitt,9576,TE,1,TEN,1,0,1,0,61.6,60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,2,0
2019,Rod Smith,9996,HB,1,OAK,1,0,1,0,60,60,81.7,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Adam Humphries,10075,WR,1,TEN,1,0,1,0,60,60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Chris Moore,10741,WR,1,BLT,1,0,1,0,59.9,60,28.8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Paul Perkins,10783,HB,1,DET,1,0,1,0,60,60,75.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Jakeem Grant,10820,WR,1,MIA,1,0,1,0,63.9,62.5,71.4,,,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,,0,0,0,0,2,1
2019,Derek Watt,10832,FB,1,LAC,1,1,0,0,60,,83.3,60,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Chester Rogers,10918,WR,1,IND,1,0,1,0,59.9,60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,1,0
2019,C.J. Ham,11347,FB,1,MIN,1,0,1,0,61.6,60,59.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Tarik Cohen,11874,HB,1,CHI,1,0,1,0,60,60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Brian Hill,11911,HB,1,ATL,1,1,0,0,60,,,60,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Darrell Daniels,12122,TE,1,ARZ,1,0,1,0,65.7,60,29.8,,,0,0,0,0,0,1,0,0,1,1,0,0,0,,0,,0,0,0,0,0,0
2019,Zach Pascal,12303,WR,1,IND,1,0,1,0,60.7,60,90.3,,,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0,2,1
2019,Dan Skipper,12307,T,1,DET,1,0,1,0,48,60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,1,0
2019,Darrel Williams,13014,HB,1,KC,1,1,0,0,60,,,60,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Dee Virgin,21515,CB,1,DET,1,0,1,0,51.5,60,64.8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Scott Quessenberry,23918,C,1,LAC,1,1,0,0,60,,,60,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,3,0
2019,KhaDarel Hodge,26104,WR,1,CLV,1,0,1,0,60,60,74.6,,,0,0,0,0,0,1,0,0,1,0,0,0,0,,0,,0,0,0,0,0,0
2019,Jordan Wilkins,26618,HB,1,IND,1,0,1,0,59.9,60,90.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Nick Bawden,27413,FB,1,DET,1,0,1,0,61.6,60,29.3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Nick Nelson,28495,CB,1,OAK,1,0,1,0,60,60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Mike Boone,31615,HB,1,MIN,1,0,1,0,60,60,69.9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Jaeden Graham,31849,TE,1,ATL,1,1,0,0,60,,80.3,60,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,2,0
2019,Trey Quinn,38276,WR,1,WAS,1,0,1,0,60,60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,1,0
2019,Preston Williams,38855,WR,1,MIA,1,0,1,0,60,60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,3,0
2019,Byron Pringle,42345,WR,1,KC,1,1,0,0,60,,65.4,60,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,2,0
2019,Dontrell Hilliard,45691,HB,1,CLV,1,0,1,0,60,60,90.3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,D'Ernest Johnson,45734,HB,1,CLV,1,0,1,0,60,60,87.9,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Chase Edmonds,45851,HB,1,ARZ,1,0,1,0,59.9,60,64,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Benny Snell Jr.,45954,HB,1,PIT,1,0,1,0,61.6,60,67.3,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Mark Walton,45996,HB,1,MIA,1,0,1,0,60,60,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0
2019,Tyler Conklin,47124,TE,1,MIN,1,0,1,0,60,60,78.2,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,3,1
