year,player,player_id,position,player_game_count,team_name,targets,receptions,caught_percent,yards,touchdowns,grades_offense,grades_pass_route,grades_hands_drop,grades_hands_fumble,grades_pass_block,yards_per_reception,yards_after_catch,yards_after_catch_per_reception,longest,first_downs,drops,interceptions,fumbles,avoided_tackles,targeted_qb_rating,penalties,declined_penalties
2019,Michael Thomas,10681,WR,16,NO,180,149,82.8,1725,9,90.4,90.7,90,66.9,,11.6,588,3.9,49,92,6,0,1,12,123.3,7,1
2019,Allen Robinson II,8696,WR,16,CHI,153,98,64.1,1147,7,80.8,81.1,90,83.5,65.1,11.7,263,2.7,49,63,3,5,0,6,88.3,4,1
2019,Julio Jones,6158,WR,15,ATL,149,99,66.4,1394,6,90.6,90.3,85.8,58.3,,14.1,360,3.6,54,76,6,5,1,8,95.9,2,0
2019,Keenan Allen,7857,WR,16,LAC,147,104,70.7,1199,6,80.3,81.2,82.4,84.1,70,11.5,378,3.6,45,63,5,8,0,7,86,3,0
2019,Julian Edelman,5156,WR,16,NE,147,100,68,1117,6,72,73.6,62.5,37.2,71.4,11.2,325,3.3,44,54,10,2,3,7,98.4,7,0
2019,DeAndre Hopkins,7808,WR,15,HST,146,104,71.2,1165,7,87.3,87.8,78.2,84.1,,11.2,384,3.7,43,68,6,1,0,10,107.8,3,1
2019,Tyler Boyd,10689,WR,16,CIN,142,90,63.4,1046,5,73,72.2,67.1,30,65.3,11.6,358,4,47,51,7,6,2,10,79.7,1,0
2019,Christian McCaffrey,11763,HB,16,CAR,135,116,85.9,1005,4,86.6,92.4,82.1,81.4,75.5,8.7,997,8.6,28,58,6,2,0,26,101.4,1,1
2019,Cooper Kupp,11824,WR,16,LA,132,94,71.2,1161,10,74.6,76.1,89.2,22.6,72,12.4,548,5.8,66,51,3,2,3,8,117,4,0
2019,Jarvis Landry,8698,WR,16,CLV,130,83,63.8,1174,6,78.2,80,75.3,85,,14.1,432,5.2,65,55,5,8,0,15,82.7,6,1
